ioc_code,num_athletes
AFG,6
ALB,8
ALG,45
ASA,2
AND,2
ANG,24
ANT,5
ARG,136
ARM,15
ARU,6
AUS,461
AUT,81
AZE,47
BAH,18
BRN,14
BAN,5
BAR,4
BEL,165
BIZ,1
BEN,5
BER,8
BHU,3
BOL,4
BIH,5
BOT,13
BRA,277
BRU,3
BUL,46
BUR,8
BDI,7
CPV,7
CAM,3
CMR,6
CAN,315
CAY,4
CAF,4
CHA,3
CHI,48
TPE,60
COL,88
COM,4
CGO,4
COK,2
CRC,6
CRO,73
CUB,61
CYP,15
CZE,112
CIV,13
PRK,16
TLS,4
COD,6
DEN,123
DJI,7
DMA,4
DOM,57
ECU,40
EGY,149
ESA,8
GEQ,3
ERI,13
EST,24
SWZ,3
ETH,32
FSM,3
FIJ,33
FIN,56
FRA,573
GAB,5
GAM,7
GEO,28
GER,427
GHA,8
GBR,327
GRE,101
GRN,6
GUM,8
GUA,16
GUI,24
GBS,6
GUY,5
HAI,7
HON,4
HKG,34
HUN,169
ISL,5
IND,110
INA,29
IRQ,22
IRL,133
IRI,39
ISR,87
ITA,380
JAM,63
JPN,410
JOR,12
KAZ,79
KEN,72
KIR,3
KOS,9
KUW,9
KGZ,16
LAO,4
LAT,29
LBN,10
LES,3
LBR,8
LBA,6
LIE,1
LTU,50
LUX,13
MAD,7
MAW,3
MAS,26
MDV,5
MLI,23
MLT,5
MHL,4
MTN,2
MRI,13
MEX,106
MON,6
MGL,32
MNE,19
MAR,60
MOZ,7
MYA,2
NAM,4
NRU,1
NEP,7
NED,276
NZL,195
NCA,7
NIG,7
NGR,85
MKD,7
NOR,105
OMA,4
PAK,7
PLW,3
PLE,8
PAN,8
PNG,6
PAR,28
CHN,388
PER,26
PHI,22
POL,214
POR,73
PUR,51
QAT,14
ROT,37
KOR,141
MDA,25
ROU,107
RWA,8
SKN,3
LCA,4
SAM,24
SMR,5
STP,3
KSA,9
SEN,11
SRB,112
SEY,3
SLE,5
SGP,23
SVK,28
SLO,90
SOL,3
SOM,1
RSA,138
SSD,14
ESP,382
SRI,6
VIN,4
SUD,4
SUR,5
SWE,117
SUI,127
SYR,6
TJK,14
THA,51
TOG,5
TGA,4
TTO,17
TUN,27
TKM,6
TUV,2
TUR,100
UGA,25
UKR,140
UAE,13
TAN,7
USA,592
URU,25
UZB,86
VAN,6
VEN,32
VIE,16
IVB,4
ISV,5
YEM,4
ZAM,28
ZIM,7
AIN,31
