Hectare,Shift,Date,Sighter Observed Weather Data,Temperature,Weather,Clear/Sunny,Cloudy,Precipitation,Windy,Humid
01A,AM,10072018,"70º F, Foggy",70º F,Foggy,No,Yes,No,No,No
01A,PM,10142018,"54º F, overcast",54º F,Overcast,No,Yes,No,No,No
01B,AM,10122018,"60º F, sunny",60º F,Sunny,Yes,No,No,No,No
01B,PM,10192018,"59.8º F, Sun, Cool",60º F,Sun,Yes,No,No,No,No
01C,PM,10132018,"55º F, Partly Cloudy",55º F,Partly Cloudy,No,Yes,No,No,No
01D,AM,10062018,"66º F, cloudy, light drizzle",66º F,Cloudy,No,Yes,Yes,No,No
01E,AM,10062018,"65º F approx, misty",65º F,Misty,No,Yes,Yes,No,No
01F,AM,10102018,"74º F, Partly cloudy, no wind",74º F,Partly Cloudy,No,Yes,No,No,No
01F,PM,10192018,"59º F, Clear",59º F,Clear,Yes,No,No,No,No
01G,PM,10102018,"77º F, Warm, sunny, humid",77º F,Sunny,Yes,No,No,No,Yes
01G,AM,10062018,"64º F, cloudy, light drizzle",64º F,Cloudy,No,Yes,Yes,No,No
01H,PM,10132018,"56º F, Cloudy",56º F,Cloudy,No,Yes,No,No,No
01H,AM,10122018,"59º F, mostly sunny, windy",59º F,Mostly Sunny,Yes,No,No,Yes,No
01I,AM,10072018,"71º F, Cloudy",71º F,Cloudy,No,Yes,No,No,No
02A,AM,10102018,"73º F, Cloudy, 85% humidity",73º F,Cloudy,No,Yes,No,No,Yes
02A,PM,10192018,"55º F, Sun",55º F,Sun,Yes,No,No,No,No
02C,AM,10102018,"70º F",70º F,,No,No,No,No,No
02D,AM,10072018,"71º F, cloudy",71º F,Cloudy,No,Yes,No,No,No
02D,PM,10122018,"61º F, sunny",61º F,Sunny,Yes,No,No,No,No
02E,AM,10102018,"73º F",73º F,,No,No,No,No,No
02E,PM,10142018,"58º F, overcast",58º F,Overcast,No,Yes,No,No,No
02F,AM,10062018,"64º F, slight wind, dew point 59, misty",64º F,Misty,No,Yes,Yes,No,No
02G,AM,10102018,"73º F, Overcast",73º F,Overcast,No,Yes,No,No,No
02G,PM,10072018,"80º F, Humid. Party. Cloudy.",80º F,Humid,No,Yes,No,No,Yes
02H,AM,10062018,"65º F, cloudy",65º F,Cloudy,No,Yes,No,No,No
02H,PM,10062018,"67º F, Cloudy, mist-rain",67º F,Cloudy,No,Yes,Yes,No,No
02I,AM,10062018,"65º F, overcast",65º F,Overcast,No,Yes,No,No,No
03A,PM,10172018,"60º F, mostly cloudy",60º F,Mostly Cloudy,No,Yes,No,No,No
03B,PM,10072018,"80º F, Cloudy. Humid",80º F,Cloudy,No,Yes,No,No,Yes
03C,AM,10072018,"71º F, Cloudy",71º F,Cloudy,No,Yes,No,No,No
03C,PM,10082018,"62º F, overcast",62º F,Overcast,No,Yes,No,No,No
03D,AM,10062018,"64º F, overcast, moist",64º F,Overcast,No,Yes,Yes,No,No
03D,PM,10102018,"77º F, Sunny, humid",77º F,Sunny,Yes,No,No,No,Yes
03E,AM,10062018,"cloudy, slight drizzle",,Cloudy,No,Yes,Yes,No,No
03E,PM,10082018,"65º F, overcast",65º F,Overcast,No,Yes,No,No,No
03F,AM,10062018,"66º F, overcast",66º F,Overcast,No,Yes,No,No,No
03G,AM,10082018,"67º F, overcast",67º F,Overcast,No,Yes,No,No,No
03G,PM,10132018,"57º F, Cloudy to Partly Cloudy, ""Crisp""",57º F,Cloudy to Partly Cloudy,No,Yes,No,No,No
03H,AM,10082018,"67º F, overcast",67º F,Overcast,No,Yes,No,No,No
03I,PM,10132018,"56º F, Partly Cloudy",56º F,Partly Cloudy,No,Yes,No,No,No
03I,AM,10102018,"74º F, Partly cloudy, minimal wind",74º F,Partly Cloudy,No,Yes,No,No,No
04A,AM,10072018,"70º F, Foggy",70º F,Foggy,No,Yes,No,No,No
04A,PM,10072018,"80º F, Cloudy. Humid",80º F,Cloudy,No,Yes,No,No,Yes
04B,PM,10182018,"48º F, Sun",48º F,Sun,Yes,No,No,No,No
04B,AM,10102018,"70º F Partly cloudy",70º F,Partly Cloudy,No,Yes,No,No,No
04C,PM,10102018,"77º F, Mostly sunny, humid",77º F,Mostly Sunny,Yes,No,No,No,Yes
04D,AM,10122018,"60º F, partly cloudy",60º F,Partly Cloudy,No,Yes,No,No,No
04D,PM,10082018,"65º F, overcast",65º F,Overcast,No,Yes,No,No,No
04E,AM,10202018,"55º F, Cloudy",55º F,Cloudy,No,Yes,No,No,No
04E,PM,10082018,"65º F, overcast",65º F,Overcast,No,Yes,No,No,No
04F,AM,10072018,"71º F, Coudy. Misty. Rain.",71º F,Cloudy,No,Yes,Yes,No,No
04G,PM,10072018,"77º F, Sunny",77º F,Sunny,Yes,No,No,No,No
04H,PM,10062018,"65º F, Very Overcast",65º F,Very Overcast,No,Yes,No,No,No
04I,AM,10062018,"65º F, overcast, misty",65º F,Overcast,No,Yes,Yes,No,No
04I,PM,10072018,"77º F, Sunny",77º F,Sunny,Yes,No,No,No,No
04H,AM,10062018,"64º F, overcast",64º F,Overcast,No,Yes,No,No,No
05A,AM,10062018,"64º F",64º F,No,No,No,No,No
05A,PM,10102018,"77º F, Mostly Sun, humid",77º F,Mostly Sunny,Yes,No,No,No,Yes
05B,AM,10082018,"66º F, overcast",66º F,Overcast,No,Yes,No,No,No
05B,PM,10132018,"55º F, Partly Cloudy",55º F,Partly Cloudy,No,Yes,No,No,No
05C,AM,10062018,"64º F, cloudy, light rain",64º F,Cloudy,No,Yes,Yes,No,No
05C,PM,10102018,"77º F, Mostly sunny",77º F,Mostly Sunny,Yes,No,No,No,No
05D,PM,10182018,"48º F, Sunny",48º F,Sunny,Yes,No,No,No,No
05D,AM,10202018,"55º F, Cloudy",55º F,Cloudy,No,Yes,No,No,No
05E,PM,10122018,"61º F, sunny",61º F,Sunny,Yes,No,No,No,No
05E,AM,10082018,"66º F, overcast, misty",66º F,Overcast,No,Yes,Yes,No,No
05F,AM,10072018,"71º F, Cloudy",71º F,Cloudy,No,Yes,No,No,No
05F,PM,10072018,"80º F, Humid. Cloudy.",80º F,Cloudy,No,Yes,No,No,Yes
05G,PM,10102018,"77º F Sunny humid",77º F,Sunny,Yes,No,No,No,Yes
05G,AM,10062018,"64º F, cloudy, misty",64º F,Cloudy,No,Yes,Yes,No,No
05H,AM,10072018,"70º F, Cloudy",70º F,Cloudy,No,Yes,No,No,No
05H,PM,10062018,"67º F, Cloudy, misting",67º F,Cloudy,No,Yes,Yes,No,No
05I,AM,10102018,"74º F",74º F,No,No,No,No,No
05I,PM,10082018,"65º F, dark and damp, drizzling",65º F,Cloudy,No,Yes,Yes,No,No
06A,PM,10122018,"sunny, chilly",,Sunny,Yes,No,No,No,No
06A,AM,10062018,"65º F, gray, misting",65º F,Cloudy,No,Yes,Yes,No,No
06B,PM,10172018,"61º F, mostly cloudy",61º F,Mostly Cloudy,No,Yes,No,No,No
06B,AM,10122018,"58º F, partly sunny, breezy",58º F,Partly Sunny,Yes,No,No,Yes,No
06C,PM,10202018,"65º F",65º F,No,No,No,No,No
06D,PM,10202018,"65º F",65º F,No,No,No,No,No
06D,AM,10082018,"66º F, cloudy",66º F,Cloudy,No,Yes,No,No,No
06E,PM,10102018,"77º F, Mostly sunny (humid) but lovely",77º F,Mostly Sunny,Yes,No,No,No,Yes
06F,PM,10082018,"65º F, drizzly",65º F,Drizzly,No,Yes,Yes,No,No
06F,AM,10062018,"64º F, Cloudy",64º F,Cloudy,No,Yes,No,No,No
06G,PM,10202018,"61º F, Sunny. Sun starting to go down",61º F,Sunny,Yes,No,No,No,No
06H,AM,10082018,"66º F, overcast, damp",66º F,Overcast,No,Yes,Yes,No,No
06H,PM,10202018,"63º F, Perfect",63º F,Perfect,Yes,No,No,No,No
06I,AM,10062018,"65º F, cloudy",65º F,Cloudy,No,Yes,No,No,No
06I,PM,10132018,"57º F, Cloudy",57º F,Cloudy,No,Yes,No,No,No
07A,PM,10072018,"79º F, Cloudy",79º F,Cloudy,No,Yes,No,No,No
07A,AM,10062018,"67º F, light drizzle",67º F,Drizzly,No,Yes,Yes,No,No
07B,AM,10082018,"67º F, misty",67º F,Misty,No,Yes,Yes,No,No
07B,PM,10062018,"Misty",,Misty,No,Yes,Yes,No,No
07C,AM,10122018,"58º F, partly cloudy, breezy",58º F,Partly Cloudy,No,Yes,No,Yes,No
07D,PM,10102018,"77º F, Humid, sunny",77º F,Sunny,Yes,No,No,No,Yes
07D,AM,10062018,"60s, cloudy, threatening to rain, misty",60º F,Cloudy,No,Yes,Yes,No,No
07E,AM,10062018,"64º F, Cloudy",64º F,Cloudy,No,Yes,No,No,No
07F,PM,10122018,"60º F, sunny",60º F,Sunny,Yes,No,No,No,No
07G,AM,10102018,"Muggy, cloudy, slightly damp",,Cloudy,No,Yes,Yes,No,Yes
07G,PM,10182018,"52º F, Sunny",52º F,Sunny,Yes,No,No,No,No
07H,PM,10062018,"68º F, drizzle",68º F,Drizzle,No,Yes,Yes,No,No
07I,AM,10122018,"59º F, sunny, very windy",59º F,Sunny,Yes,No,No,Yes,No
08A,PM,10142018,"58º F, cloudy, cool & crisp",58º F,Cloudy,No,Yes,No,No,No
08B,PM,10122018,"chilly, sunny",,Sunny,Yes,No,No,No,No
08C,AM,10072018,"68º F, Overcast. Humid.",68º F,Overcast,No,Yes,No,No,Yes
08D,PM,10072018,"80º F, Sunny",80º F,Sunny,Yes,No,No,No,No
08D,AM,10072018,"71º F, Overcast. Misty",71º F,Overcast,No,Yes,Yes,No,No
08E,AM,10132018,"46º F, rain",46º F,Rain,No,Yes,Yes,No,No
08E,PM,10082018,"cloudy, drizzling",,Drizzle,No,Yes,Yes,No,No
08F,PM,10122018,"60º F, sunny",60º F,Sunny,Yes,No,No,No,No
08F,AM,10142018,"52º F, Partly Cloudy, Mostly Sunny",52º F,Partly Cloudy,Yes,No,No,No,No
08G,AM,10122018,"",,No,No,No,No,No
08G,PM,10172018,"61º F, Sunny, Breezy",61º F,Sunny,Yes,No,No,Yes,No
08H,PM,10142018,"57º F, Cloudy",57º F,Cloudy,No,Yes,No,No,No
08H,AM,10172018,"50º F, clear, windy",50º F,Clear,Yes,No,No,Yes,No
08I,PM,10132018,"56º F, Partly Cloudy",56º F,Partly Cloudy,No,Yes,No,No,No
08I,AM,10062018,"77º F, Cloudy",77º F,Cloudy,No,Yes,No,No,No
09A,PM,10102018,"77º F (humid) but lovely",77º F,Humid,No,No,No,No,Yes
09B,AM,10102018,"70º F",70º F,None,No,No,No,No,No
09C,AM,10062018,"68º F, Cloudy",68º F,Cloudy,No,Yes,No,No,No
09C,PM,10062018,"65º F, Mostly Cloudy",65º F,Mostly Cloudy,No,Yes,No,No,No
09D,PM,10082018,"Drizzling",,Drizzling,No,Yes,Yes,No,No
09D,AM,10082018,"66º F, Overcast, Misty",66º F,Overcast,No,Yes,Yes,No,No
09E,AM,10082018,"Overcast, Damp",,Overcast,No,Yes,Yes,No,No
09E,PM,10142018,"57º F, Cloudy",57º F,Cloudy,No,Yes,No,No,No
09F,AM,10132018,"46º F, Rain",46º F,Rain,No,Yes,Yes,No,No
09F,PM,10142018,"57º F, Crisp & Mostly Cloudy",57º F,Mostly Cloudy,No,Yes,No,No,No
09G,PM,10072018,"81º F, Cloudy",81º F,Cloudy,No,Yes,No,No,No
09G,AM,10072018,"70º F, Humid, Cloudy",70º F,Cloudy,No,Yes,No,No,Yes
09H,PM,10182018,"52º F, Sunny",52º F,Sunny,Yes,No,No,No,No
09I,PM,10102018,"77º F, Mostly Sunny",77º F,Mostly Sunny,Yes,No,No,No,No
