birth_country,code,flag
USA,USA,🇺🇸
United Kingdom,GBR,🇬🇧
Germany,GER,🇩🇪
France,FRA,🇫🇷
Russian Empire,RUS,🇷🇺
Sweden,SWE,🇸🇪
Japan,JPN,🇯🇵
Canada,CAN,🇨🇦
the Netherlands,NLD,🇳🇱
Switzerland,SWZ,🇨🇭
Italy,ITA,🇮🇹
Russia,RUS,🇷🇺
Austria,AUT,🇦🇹
Norway,NOR,🇳🇴
Prussia,GER,🇩🇪
Denmark,DNK,🇩🇰
China,CHN,🇨🇳
Scotland,GBR,🇬🇧
India,IND,🇮🇳
Australia,AUS,🇦🇺
South Africa,ZAF,🇿🇦
Belgium,BEL,🇧🇪
Poland,POL,🇵🇱
Hungary,HUN,🇭🇺
Spain,ESP,🇪🇸
USSR,RUS,🇷🇺
Egypt,EGY,🇪🇬
West Germany,GER,🇩🇪
Ireland,IRL,🇮🇪
Northern Ireland,GBR,🇬🇧
British Mandate of Palestine,ISR,🇮🇱
Romania,ROU,🇷🇴
Argentina,ARG,🇦🇷
New Zealand,NZL,🇳🇿
Mexico,MEX,🇲🇽
Turkey,TUR,🇹🇷
Ottoman Empire,TUR,🇹🇷
British India,IND,🇮🇳
Portugal,PRT,🇵🇹
Luxembourg,LUX,🇱🇺
Liberia,LBR,🇱🇷
Chile,CHL,🇨🇱
Korea,KOR,🇰🇷
Colombia,COL,🇨🇴
East Timor,TL,🇹🇱
Finland,FIN,🇫🇮
Iran,IRN,🇮🇷
Guatemala,GTM,🇬🇹
Yemen,YEM,🇾🇪
Philippines,PHL,🇵🇭
Taiwan,TWN,🇹🇼
Vietnam,VNM,🇻🇳
Tibet,CHN,🇨🇳
Venezuela,VEN,🇻🇪
Trinidad and Tobago,TTO,🇹🇹
Saint Lucia,LCA,🇱🇨
Ukraine,UKR,🇺🇦
Peru,PER,🇵🇪
Belgian Congo,COD,🇨🇩
Pakistan,PAK,🇵🇰
Brazil,BRA,🇧🇷
British Protectorate of Palestine,ISR,🇮🇱
Burma,MMR,🇲🇲
Costa Rica,CRI,🇨🇷
Cyprus,CYP,🇨🇾
Czechoslovakia,CZE,🇨🇿
Ethiopia,ETH,🇪🇹
Nigeria,NGA,🇳🇬
Morocco,MAR,🇲🇦
Lebanon,LBN,🇱🇧
Austria-Hungary,AUT,🇦🇹
Austrian Empire,AUT,🇦🇹
Bavaria,GER,🇩🇪
Bosnia,BIH,🇧🇦
British West Indies,STL,🇱🇨
Bulgaria,BUL,🇧🇬
Crete,GRE,🇬🇷
East Friesland,GER,🇩🇪
Faroe Islands (Denmark),DEN,🇩🇰
Free City of Danzig,GER,🇩🇪
French Algeria,FRA,🇫🇷
French protectorate of Tunisia,FRA,🇫🇷
German-occupied Poland,GER,🇩🇪
Gold Coast,GHA,🇬🇭
"Guadeloupe, France",FRA,🇫🇷
Iceland,ICE,🇮🇸
Hesse-Kassel,GER,🇩🇪
Iraq,IRQ,🇮🇶
"Java, Dutch East Indies",NED,🇳🇱
Kenya,KEN,🇰🇪
Lithuania,LIT,🇱🇹
Madagascar,FRA,🇫🇷
Mecklenburg,GER,🇩🇪
Persia,GBR,🇬🇧
Schleswig,GER,🇩🇪
Southern Rhodesia,RSA,🇿🇦
Tuscany,ITA,🇮🇹
Württemberg,GER,🇩🇪
