id,knownName,givenName,familyName,fullName,fileName,gender,birth_date,birth_country,death_date,death_country,wikipedia,wikidata,sameAs,awardYear,category,categoryFullName,sortOrder,portion,dateAwarded,prizeStatus,motivation,prizeAmount,prizeAmountAdjusted,university_affiliation,age
160,Jacobus H. van 't Hoff,Jacobus H.,van 't Hoff,Jacobus Henricus van 't Hoff,hoff,male,1852-08-30,the Netherlands,1911-03-01,Germany,https://en.wikipedia.org/wiki/Jacobus_Henricus_van_'t_Hoff,"{'id': 'Q102822', 'url': 'https://www.wikidata.org/wiki/Q102822'}","['https://www.wikidata.org/wiki/Q102822', ""https://en.wikipedia.org/wiki/Jacobus_Henricus_van_'t_Hoff""]",1901,Chemistry,The Nobel Prize in Chemistry,1,1,1901-11-12,received,in recognition of the extraordinary services he has rendered by the discovery of the laws of chemical dynamics and osmotic pressure in solutions,150782,9704878,Berlin University,49.0
569,Sully Prudhomme,Sully,Prudhomme,Sully Prudhomme,prudhomme,male,1839-03-16,France,1907-09-07,France,https://en.wikipedia.org/wiki/Sully_Prudhomme,"{'id': 'Q42247', 'url': 'https://www.wikidata.org/wiki/Q42247'}","['https://www.wikidata.org/wiki/Q42247', 'https://en.wikipedia.org/wiki/Sully_Prudhomme']",1901,Literature,The Nobel Prize in Literature,1,1,1901-11-14,received,"in special recognition of his poetic composition, which gives evidence of lofty idealism, artistic perfection and a rare combination of the qualities of both heart and intellect",150782,9704878,,62.0
462,Henry Dunant,Henry,Dunant,Jean Henry Dunant,dunant,male,1828-05-08,Switzerland,1910-10-30,Switzerland,https://en.wikipedia.org/wiki/Henry_Dunant,"{'id': 'Q12091', 'url': 'https://www.wikidata.org/wiki/Q12091'}","['https://www.wikidata.org/wiki/Q12091', 'https://en.wikipedia.org/wiki/Henry_Dunant']",1901,Peace,The Nobel Peace Prize,1,1/2,1901-12-10,received,for his humanitarian efforts to help wounded soldiers and create international understanding,150782,9704878,,73.0
463,Frédéric Passy,Frédéric,Passy,Frédéric Passy,passy,male,1822-05-20,France,1912-06-12,France,https://en.wikipedia.org/wiki/Frédéric_Passy,"{'id': 'Q180409', 'url': 'https://www.wikidata.org/wiki/Q180409'}","['https://www.wikidata.org/wiki/Q180409', 'https://en.wikipedia.org/wiki/Frédéric_Passy']",1901,Peace,The Nobel Peace Prize,2,1/2,1901-12-10,received,"for his lifelong work for international peace conferences, diplomacy and arbitration",150782,9704878,,79.0
1,Wilhelm Conrad Röntgen,Wilhelm Conrad,Röntgen,Wilhelm Conrad Röntgen,rontgen,male,1845-03-27,Prussia,1923-02-10,Germany,https://en.wikipedia.org/wiki/Wilhelm_Röntgen,"{'id': 'Q35149', 'url': 'https://www.wikidata.org/wiki/Q35149'}","['https://www.wikidata.org/wiki/Q35149', 'https://en.wikipedia.org/wiki/Wilhelm_Röntgen']",1901,Physics,The Nobel Prize in Physics,1,1,1901-11-12,received,in recognition of the extraordinary services he has rendered by the discovery of the remarkable rays subsequently named after him,150782,9704878,Munich University,56.0
293,Emil von Behring,Emil,von Behring,Emil Adolf von Behring,behring,male,1854-03-15,Prussia,1917-03-31,Germany,https://en.wikipedia.org/wiki/Emil_Adolf_von_Behring,"{'id': 'Q76425', 'url': 'https://www.wikidata.org/wiki/Q76425'}","['https://www.wikidata.org/wiki/Q76425', 'https://en.wikipedia.org/wiki/Emil_Adolf_von_Behring']",1901,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1,1,1901-10-30,received,"for his work on serum therapy, especially its application against diphtheria, by which he has opened a new road in the domain of medical science and thereby placed in the hands of the physician a victorious weapon against illness and deaths",150782,9704878,Marburg University,47.0
161,Emil Fischer,Emil,Fischer,Hermann Emil Fischer,fischer,male,1852-10-09,Prussia,1919-07-15,Germany,https://en.wikipedia.org/wiki/Hermann_Emil_Fischer,"{'id': 'Q70554', 'url': 'https://www.wikidata.org/wiki/Q70554'}","['https://www.wikidata.org/wiki/Q70554', 'https://en.wikipedia.org/wiki/Hermann_Emil_Fischer']",1902,Chemistry,The Nobel Prize in Chemistry,1,1,1902-11-11,received,in recognition of the extraordinary services he has rendered by his work on sugar and purine syntheses,141847,9129789,Berlin University,50.0
571,Theodor Mommsen,Theodor,Mommsen,Christian Matthias Theodor Mommsen,mommsen,male,1817-11-30,Schleswig,1903-11-01,Germany,https://en.wikipedia.org/wiki/Theodor_Mommsen,"{'id': 'Q25351', 'url': 'https://www.wikidata.org/wiki/Q25351'}","['https://www.wikidata.org/wiki/Q25351', 'https://en.wikipedia.org/wiki/Theodor_Mommsen']",1902,Literature,The Nobel Prize in Literature,1,1,1902-11-13,received,"the greatest living master of the art of historical writing, with special reference to his monumental work, <I>A history of Rome</I>",141847,9129789,,85.0
464,Élie Ducommun,Élie,Ducommun,Élie Ducommun,ducommun,male,1833-02-19,Switzerland,1906-12-07,Switzerland,https://en.wikipedia.org/wiki/Élie_Ducommun,"{'id': 'Q122368', 'url': 'https://www.wikidata.org/wiki/Q122368'}","['https://www.wikidata.org/wiki/Q122368', 'https://en.wikipedia.org/wiki/Élie_Ducommun']",1902,Peace,The Nobel Peace Prize,1,1/2,1902-12-10,received,for his untiring and skilful directorship of the Bern Peace Bureau,141847,9129789,,69.0
465,Albert Gobat,Albert,Gobat,Charles Albert Gobat,gobat,male,1843-05-21,Switzerland,1914-03-16,Switzerland,https://en.wikipedia.org/wiki/Charles_Albert_Gobat,"{'id': 'Q179458', 'url': 'https://www.wikidata.org/wiki/Q179458'}","['https://www.wikidata.org/wiki/Q179458', 'https://en.wikipedia.org/wiki/Charles_Albert_Gobat']",1902,Peace,The Nobel Peace Prize,2,1/2,1902-12-10,received,for his eminently practical administration of the Inter-Parliamentary Union,141847,9129789,,59.0
