player,detail,peak_date,birth_year,gender
John Williams,Gold,1972,1953,M
Gunnar Jervill,Silver,1972,1945,M
Kyösti Laasonen,Bronze,1972,1945,M
Darrell Pace,Gold,1976,1956,M
Hiroshi Michinaga,Silver,1976,1956,M
Giancarlo Ferrari,Bronze,1976,1942,M
Tomi Poikolainen,Gold,1980,1961,M
Boris Isachenko,Silver,1980,1958,M
Giancarlo Ferrari,Bronze,1980,1942,M
Darrell Pace,Gold,1984,1956,M
Richard McKinney,Silver,1984,1953,M
Hiroshi Yamamoto,Bronze,1984,1962,M
Jay Barrs,Gold,1988,1962,M
Park Sung-soo,Silver,1988,1970,M
Vladimir Yesheyev,Bronze,1988,1958,M
Sébastien Flute,Gold,1992,1972,M
Chung Jae-hun,Silver,1992,1974,M
Simon Terry,Bronze,1992,1974,M
Justin Huish,Gold,1996,1975,M
Magnus Petersson,Silver,1996,1975,M
Oh Kyo-moon,Bronze,1996,1972,M
Simon Fairweather,Gold,2000,1969,M
Vic Wunderle,Silver,2000,1976,M
Wietse van Alten,Bronze,2000,1978,M
Marco Galiazzo,Gold,2004,1983,M
Hiroshi Yamamoto,Silver,2004,1962,M
Tim Cuddihy,Bronze,2004,1987,M
Viktor Ruban,Gold,2008,1981,M
Park Kyung-mo,Silver,2008,1975,M
Bair Badenov,Bronze,2008,1976,M
Oh Jin-hyek,Gold,2012,1981,M
Takaharu Furukawa,Silver,2012,1984,M
Dai Xiaoxiang,Bronze,2012,1990,M
Ku Bon-chan,Gold,2016,1993,M
Jean-Charles Valladont,Silver,2016,1989,M
Brady Ellison,Bronze,2016,1988,M
Mete Gazoz,Gold,2020,1999,M
Mauro Nespoli,Silver,2020,1987,M
Takaharu Furukawa,Bronze,2020,1984,M
Kim Woo-jin,Gold,2024,1992,M
Brady Ellison,Silver,2024,1988,M
Lee Woo-seok,Bronze,2024,1997,M
Doreen Wilber,Gold,1972,1930,F
Irena Szydłowska,Silver,1972,1928,F
Emma Gapchenko,Bronze,1972,1938,F
Luann Ryon,Gold,1976,1953,F
Valentyna Kovpan,Silver,1976,1950,F
Zebiniso Rustamova,Bronze,1976,1955,F
Keto Losaberidze,Gold,1980,1949,F
Natalya Butuzova,Silver,1980,1954,F
Päivi Meriluoto,Bronze,1980,1952,F
Seo Hyang-soon,Gold,1984,1967,F
Li Lingjuan,Silver,1984,1966,F
Kim Jin-ho,Bronze,1984,1961,F
Kim Soo-nyung,Gold,1988,1971,F
Wang Hee-kyung,Silver,1988,1970,F
Yun Young-sook,Bronze,1988,1971,F
Cho Youn-jeong,Gold,1992,1969,F
Kim Soo-nyung,Silver,1992,1971,F
Natalia Valeeva,Bronze,1992,1969,F
Kim Kyung-wook,Gold,1996,1970,F
He Ying,Silver,1996,1977,F
Olena Sadovnycha,Bronze,1996,1967,F
Yun Mi-jin,Gold,2000,1983,F
Kim Nam-soon,Silver,2000,1980,F
Kim Soo-nyung,Bronze,2000,1971,F
Park Sung-hyun,Gold,2004,1983,F
Lee Sung-jin,Silver,2004,1985,F
Alison Williamson,Bronze,2004,1971,F
Zhang Juanjuan,Gold,2008,1981,F
Park Sung-hyun,Silver,2008,1983,F
Yun Ok-hee,Bronze,2008,1985,F
Ki Bo-bae,Gold,2012,1988,F
Aída Román,Silver,2012,1988,F
Mariana Avitia,Bronze,2012,1993,F
Chang Hye-jin,Gold,2016,1987,F
Lisa Unruh,Silver,2016,1988,F
Ki Bo-bae,Bronze,2016,1988,F
An San,Gold,2020,2001,F
Elena Osipova,Silver,2020,1993,F
Lucilla Boari,Bronze,2020,1997,F
Lim Si-hyeon,Gold,2024,2003,F
Nam Su-hyeon,Silver,2024,2005,F
Lisa Barbelin,Bronze,2024,2000,F
