player,detail,peak_date,birth_year,gender
Edwin Flack,Gold,1896,1873,M
Nándor Dáni,Silver,1896,1871,M
Dimitrios Golemis,Bronze,1896,1874,M
Alfred Tysoe,Gold,1900,1874,M
John Cregan,Silver,1900,1878,M
David Hall,Bronze,1900,1875,M
Jim Lightbody,Gold,1904,1882,M
Howard Valentine,Silver,1904,1881,M
Emil Breitkreutz,Bronze,1904,1883,M
Mel Sheppard,Gold,1908,1883,M
Emilio Lunghi,Silver,1908,1887,M
Hanns Braun,Bronze,1908,1886,M
Ted Meredith,Gold,1912,1891,M
Mel Sheppard,Silver,1912,1883,M
Ira Davenport,Bronze,1912,1887,M
Albert Hill,Gold,1920,1889,M
Earl Eby,Silver,1920,1894,M
Bevil Rudd,Bronze,1920,1894,M
Douglas Lowe,Gold,1924,1902,M
Paul Martin,Silver,1924,1901,M
Schuyler Enck,Bronze,1924,1900,M
Douglas Lowe,Gold,1928,1902,M
Erik Byléhn,Silver,1928,1898,M
Hermann Engelhard,Bronze,1928,1903,M
Tommy Hampson,Gold,1932,1907,M
Alex Wilson,Silver,1932,1907,M
Phil Edwards,Bronze,1932,1907,M
John Woodruff,Gold,1936,1915,M
Mario Lanzi,Silver,1936,1914,M
Phil Edwards,Bronze,1936,1907,M
Mal Whitfield,Gold,1948,1924,M
Arthur Wint,Silver,1948,1920,M
Marcel Hansenne,Bronze,1948,1917,M
Mal Whitfield,Gold,1952,1924,M
Arthur Wint,Silver,1952,1920,M
Heinz Ulzheimer,Bronze,1952,1925,M
Tom Courtney,Gold,1956,1933,M
Derek Johnson,Silver,1956,1933,M
Audun Boysen,Bronze,1956,1929,M
Peter Snell,Gold,1960,1938,M
Roger Moens,Silver,1960,1930,M
George Kerr,Bronze,1960,1937,M
Peter Snell,Gold,1964,1938,M
Bill Crothers,Silver,1964,1940,M
Wilson Kiprugut,Bronze,1964,1938,M
Ralph Doubell,Gold,1968,1945,M
Wilson Kiprugut,Silver,1968,1938,M
Tom Farrell,Bronze,1968,1944,M
Dave Wottle,Gold,1972,1950,M
Yevhen Arzhanov,Silver,1972,1948,M
Mike Boit,Bronze,1972,1949,M
Alberto Juantorena,Gold,1976,1950,M
Ivo Van Damme,Silver,1976,1954,M
Rick Wohlhuter,Bronze,1976,1948,M
Steve Ovett,Gold,1980,1955,M
Sebastian Coe,Silver,1980,1956,M
Nikolay Kirov,Bronze,1980,1957,M
Joaquim Cruz,Gold,1984,1963,M
Sebastian Coe,Silver,1984,1956,M
Earl Jones,Bronze,1984,1964,M
Paul Ereng,Gold,1988,1966,M
Joaquim Cruz,Silver,1988,1963,M
Saïd Aouita,Bronze,1988,1959,M
William Tanui,Gold,1992,1964,M
Nixon Kiprotich,Silver,1992,1962,M
Johnny Gray,Bronze,1992,1960,M
Vebjørn Rodal,Gold,1996,1972,M
Hezekiél Sepeng,Silver,1996,1974,M
Frederick Onyancha,Bronze,1996,1969,M
Nils Schumann,Gold,2000,1978,M
Wilson Kipketer,Silver,2000,1972,M
Djabir Saïd-Guerni,Bronze,2000,1977,M
Yuriy Borzakovskiy,Gold,2004,1981,M
Mbulaeni Mulaudzi,Silver,2004,1980,M
Wilson Kipketer,Bronze,2004,1972,M
Wilfred Bungei,Gold,2008,1980,M
Ismail Ahmed Ismail,Silver,2008,1984,M
Alfred Kirwa Yego,Bronze,2008,1986,M
David Rudisha,Gold,2012,1988,M
Nijel Amos,Silver,2012,1994,M
Timothy Kitum,Bronze,2012,1994,M
David Rudisha,Gold,2016,1988,M
Taoufik Makhloufi,Silver,2016,1988,M
Clayton Murphy,Bronze,2016,1995,M
Emmanuel Korir,Gold,2020,1995,M
Ferguson Rotich,Silver,2020,1989,M
Patryk Dobek,Bronze,2020,1994,M
Emmanuel Wanyonyi,Gold,2024,2004,M
Marco Arop,Silver,2024,1998,M
Djamel Sedjati,Bronze,2024,1999,M
Lina Radke,Gold,1928,1903,F
Kinuye Hitomi,Silver,1928,1907,F
Inga Gentzel,Bronze,1928,1908,F
Lyudmila Shevtsova,Gold,1960,1934,F
Brenda Jones,Silver,1960,1936,F
Ursula Donath,Bronze,1960,1931,F
Ann Packer,Gold,1964,1942,F
Maryvonne Dupureur,Silver,1964,1937,F
Marise Chamberlain,Bronze,1964,1935,F
Madeline Manning,Gold,1968,1948,F
Ileana Silai,Silver,1968,1941,F
Mia Gommers,Bronze,1968,1939,F
