player,detail,peak_date,birth_year,gender
Bob Pettit,first,1955,1932,M
Dolph Schayes,second,1955,1928,M
Paul Arizin,first,1955,1928,M
Maurice Stokes,second,1955,1933,M
Neil Johnston,first,1955,1929,M
Clyde Lovellette,second,1955,1929,M
Bob Cousy,first,1955,1928,M
Slater Martin,second,1955,1925,M
Bill Sharman,first,1955,1926,M
Jack George,second,1955,1928,M
Paul Arizin,first,1956,1928,M
George Yardley,second,1956,1928,M
Dolph Schayes,first,1956,1928,M
Maurice Stokes,second,1956,1933,M
Bob Pettit,first,1956,1932,M
Neil Johnston,second,1956,1929,M
Bob Cousy,first,1956,1928,M
Dick Garmaker,second,1956,1932,M
Bill Sharman,first,1956,1926,M
Slater Martin,second,1956,1925,M
Dolph Schayes,first,1957,1928,M
Cliff Hagan,second,1957,1931,M
George Yardley,first,1957,1928,M
Maurice Stokes,second,1957,1933,M
Bob Pettit,first,1957,1932,M
Bill Russell,second,1957,1934,M
Bob Cousy,first,1957,1928,M
Tom Gola,second,1957,1933,M
Bill Sharman,first,1957,1926,M
Slater Martin,second,1957,1925,M
Bob Pettit,first,1958,1932,M
Paul Arizin,second,1958,1928,M
Elgin Baylor,first,1958,1934,M
Cliff Hagan,second,1958,1931,M
Bill Russell,first,1958,1934,M
Dolph Schayes,second,1958,1928,M
Bob Cousy,first,1958,1928,M
Slater Martin,second,1958,1925,M
Bill Sharman,first,1958,1926,M
Richie Guerin,second,1958,1932,M
Bob Pettit,first,1959,1932,M
Jack Twyman,second,1959,1934,M
Elgin Baylor,first,1959,1934,M
Dolph Schayes,second,1959,1928,M
Wilt Chamberlain,first,1959,1936,M
Bill Russell,second,1959,1934,M
Bob Cousy,first,1959,1928,M
Richie Guerin,second,1959,1932,M
Gene Shue,first,1959,1931,M
Bill Sharman,second,1959,1926,M
Elgin Baylor,first,1960,1934,M
Dolph Schayes,second,1960,1928,M
Bob Pettit,first,1960,1932,M
Tom Heinsohn,second,1960,1934,M
Wilt Chamberlain,first,1960,1936,M
Bill Russell,second,1960,1934,M
Bob Cousy,first,1960,1928,M
Larry Costello,second,1960,1931,M
Oscar Robertson,first,1960,1938,M
Gene Shue,second,1960,1931,M
Bob Pettit,first,1961,1932,M
Tom Heinsohn,second,1961,1934,M
Elgin Baylor,first,1961,1934,M
Jack Twyman,second,1961,1934,M
Wilt Chamberlain,first,1961,1936,M
Bill Russell,second,1961,1934,M
Jerry West,first,1961,1938,M
Richie Guerin,second,1961,1932,M
Oscar Robertson,first,1961,1938,M
Bob Cousy,second,1961,1928,M
Elgin Baylor,first,1962,1934,M
Tom Heinsohn,second,1962,1934,M
Bob Pettit,first,1962,1932,M
Bailey Howell,second,1962,1937,M
Bill Russell,first,1962,1934,M
Wilt Chamberlain,second,1962,1936,M
Oscar Robertson,first,1962,1938,M
Bob Cousy,second,1962,1928,M
Jerry West,first,1962,1938,M
Hal Greer,second,1962,1936,M
Elgin Baylor,first,1963,1934,M
Tom Heinsohn,second,1963,1934,M
Bob Pettit,first,1963,1932,M
Jerry Lucas,second,1963,1940,M
Wilt Chamberlain,first,1963,1936,M
Bill Russell,second,1963,1934,M
Oscar Robertson,first,1963,1938,M
John Havlicek,second,1963,1940,M
Jerry West,first,1963,1938,M
Hal Greer,second,1963,1936,M
Elgin Baylor,first,1964,1934,M
Bob Pettit,second,1964,1932,M
Jerry Lucas,first,1964,1940,M
Gus Johnson,second,1964,1938,M
Bill Russell,first,1964,1934,M
