player,detail,peak_date,birth_year,gender
Magnus Carlsen,2882,2014-05,1990,M
Garry Kasparov,2851,1999-07,1963,M
Fabiano Caruana,2844,2014-10,1992,M
Levon Aronian,2830,2014-03,1982,M
Wesley So,2822,2017-02,1993,M
Shakhriyar Mamedyarov,2820,2018-09,1985,M
Maxime Vachier-Lagrave,2819,2016-08,1990,M
Viswanathan Anand,2817,2011-03,1969,M
Vladimir Kramnik,2817,2016-10,1975,M
Veselin Topalov,2816,2015-07,1975,M
Hikaru Nakamura,2816,2015-10,1987,M
Ding Liren,2816,2018-11,1992,M
Alexander Grischuk,2810,2014-12,1983,M
Alireza Firouzja,2804,2021-12,2003,M
Anish Giri,2798,2015-10,1994,M
Arjun Erigaisi,2797,2024-10,2003,M
Ian Nepomniachtchi,2795,2023-03,1990,M
Dommaraju Gukesh,2794,2024-10,2006,M
Teimour Radjabov,2793,2012-11,1987,M
Alexander Morozevich,2788,2008-07,1977,M
Sergey Karjakin,2788,2011-07,1990,M
Vasyl Ivanchuk,2787,2007-10,1969,M
Bobby Fischer,2785,1972-07,1943,M
Nodirbek Abdusattorov,2783,2024-10,2004,M
Anatoly Karpov,2780,1994-07,1951,M
Boris Gelfand,2777,2013-11,1968,M
Richard Rapport,2776,2022-04,1996,M
Pentala Harikrishna,2770,2016-12,1986,M
Peter Svidler,2769,2013-05,1976,M
Leinier Domínguez,2768,2014-05,1983,M
Pavel Eljanov,2765,2016-03,1983,M
Yu Yangyi,2765,2018-09,1994,M
Ruslan Ponomariov,2764,2011-07,1983,M
Peter Leko,2763,2005-04,1979,M
Gata Kamsky,2763,2013-07,1974,M
Wang Hao,2763,2020-04,1989,M
Wei Yi,2763,2024-10,1999,M
Vugar Gashimov,2761,2012-01,1986,M
Michael Adams,2761,2013-09,1971,M
Vladislav Artemiev,2761,2019-06,1998,M
Dmitry Jakovenko,2760,2009-01,1983,M
Jan-Krzysztof Duda,2760,2021-12,1998,M
Evgeny Tomashevsky,2758,2015-09,1987,M
Li Chao,2758,2016-06,1989,M
Rameshbabu Praggnanandhaa,2757,2024-07,2005,M
Wang Yue,2756,2010-11,1987,M
Alexei Shirov,2755,2008-01,1972,M
Sergei Movsesian,2751,2009-01,1978,M
David Navara,2751,2015-05,1985,M
Nikita Vitiugov,2751,2019-11,1987,M
Radosław Wojtaszek,2750,2017-01,1987,M
Étienne Bacrot,2749,2013-11,1983,M
Vidit Gujrathi,2747,2024-02,1994,M
Dmitry Andreikin,2743,2016-06,1990,M
Vincent Keymer,2743,2024-01,2004,M
Parham Maghsoodloo,2742,2023-12,2000,M
Lê Quang Liêm,2741,2024-08,1991,M
Evgeny Bareev,2739,2003-10,1966,M
Maxim Matlakov,2738,2017-11,1991,M
Arkadij Naiditsch,2737,2013-12,1985,M
Viktor Bologan,2734,2012-08,1971,M
Baadur Jobava,2734,2012-09,1983,M
Vladimir Fedoseev,2733,2017-10,1995,M
Hans Niemann,2733,2024-09,2003,M
Vladimir Malakhov,2732,2010-07,1980,M
Ernesto Inarkiev,2732,2016-09,1985,M
Bu Xiangzhi,2731,2019-02,1985,M
Samuel Shankland,2731,2019-02,1991,M
Zoltán Almási,2726,2011-07,1976,M
Alexander Moiseenko,2726,2011-09,1980,M
Evgeny Alekseev,2725,2009-09,1985,M
Andrei Volokitin,2725,2013-03,1986,M
Ni Hua,2724,2009-04,1983,M
Francisco Vallejo Pons,2724,2011-07,1982,M
Anton Korobov,2723,2014-01,1985,M
Andrey Esipenko,2723,2022-03,2002,M
Krishnan Sasikiran,2720,2012-05,1981,M
Alexander Riazantsev,2720,2012-07,1985,M
Alexander Areshchenko,2720,2012-12,1986,M
Laurent Fressinet,2720,2015-06,1981,M
Daniil Dubov,2720,2021-12,1996,M
Ivan Cheparinov,2718,2018-08,1986,M
Amin Tabatabaei,2718,2024-07,2001,M
Lázaro Bruzón,2717,2012-10,1982,M
Yuriy Kryvoruchko,2717,2015-11,1986,M
Alexey Sarana,2717,2024-07,2000,M
Valery Salov,2715,1995-01,1964,M
Rustam Kasimdzhanov,2715,2015-05,1979,M
Kirill Alekseenko,2715,2019-11,1997,M
Jorden van Foreest,2715,2022-05,1999,M
Loek van Wely,2714,2001-10,1972,M
Denis Khismatullin,2714,2014-03,1984,M
