player,detail,peak_date,birth_year,gender
Robert Garrett,Gold,1896,1875,M
Panagiotis Paraskevopoulos,Silver,1896,1875,M
Sotirios Versis,Bronze,1896,1876,M
Rudolf Bauer,Gold,1900,1879,M
František Janda-Suk,Silver,1900,1878,M
Richard Sheldon,Bronze,1900,1878,M
Martin Sheridan,Gold,1904,1881,M
Ralph Rose,Silver,1904,1885,M
Nikolaos Georgantas,Bronze,1904,1880,M
Martin Sheridan,Gold,1908,1881,M
Merritt Giffin,Silver,1908,1887,M
Bill Horr,Bronze,1908,1880,M
Armas Taipale,Gold,1912,1890,M
Richard Byrd,Silver,1912,1892,M
James Duncan,Bronze,1912,1887,M
Elmer Niklander,Gold,1920,1890,M
Armas Taipale,Silver,1920,1890,M
Gus Pope,Bronze,1920,1898,M
Bud Houser,Gold,1924,1901,M
Vilho Niittymaa,Silver,1924,1896,M
Thomas Lieb,Bronze,1924,1899,M
Bud Houser,Gold,1928,1901,M
Antero Kivi,Silver,1928,1904,M
James Corson,Bronze,1928,1906,M
John Anderson,Gold,1932,1907,M
Henri LaBorde,Silver,1932,1909,M
Paul Winter,Bronze,1932,1906,M
Ken Carpenter,Gold,1936,1913,M
Gordon Dunn,Silver,1936,1912,M
Giorgio Oberweger,Bronze,1936,1913,M
Adolfo Consolini,Gold,1948,1917,M
Giuseppe Tosi,Silver,1948,1916,M
Fortune Gordien,Bronze,1948,1922,M
Sim Iness,Gold,1952,1930,M
Adolfo Consolini,Silver,1952,1917,M
James Dillion,Bronze,1952,1929,M
Al Oerter,Gold,1956,1936,M
Fortune Gordien,Silver,1956,1922,M
Des Koch,Bronze,1956,1932,M
Al Oerter,Gold,1960,1936,M
Rink Babka,Silver,1960,1936,M
Dick Cochran,Bronze,1960,1938,M
Al Oerter,Gold,1964,1936,M
Ludvík Daněk,Silver,1964,1937,M
Dave Weill,Bronze,1964,1941,M
Al Oerter,Gold,1968,1936,M
Lothar Milde,Silver,1968,1934,M
Ludvík Daněk,Bronze,1968,1937,M
Ludvík Daněk,Gold,1972,1937,M
Jay Silvester,Silver,1972,1937,M
Ricky Bruch,Bronze,1972,1946,M
Mac Wilkins,Gold,1976,1950,M
Wolfgang Schmidt,Silver,1976,1954,M
John Powell,Bronze,1976,1947,M
