player,detail,peak_date,birth_year,gender
George Sheldon,Gold,1904,1874,M
Georg Hoffmann,Silver,1904,1880,M
Frank Kehoe,Bronze,1904,1882,M
Hjalmar Johansson,Gold,1908,1874,M
Karl Malmström,Silver,1908,1875,M
Arvid Spångberg,Bronze,1908,1890,M
Erik Adlerz,Gold,1912,1892,M
Albert Zürner,Silver,1912,1890,M
Gustaf Blomgren,Bronze,1912,1887,M
Clarence Pinkston,Gold,1920,1900,M
Erik Adlerz,Silver,1920,1892,M
Harry Prieste,Bronze,1920,1896,M
Albert White,Gold,1924,1895,M
David Fall,Silver,1924,1902,M
Clarence Pinkston,Bronze,1924,1900,M
Pete Desjardins,Gold,1928,1907,M
Farid Simaika,Silver,1928,1907,M
Michael Galitzen,Bronze,1928,1909,M
Harold Smith,Gold,1932,1909,M
Michael Galitzen,Silver,1932,1909,M
Frank Kurtz,Bronze,1932,1911,M
Marshall Wayne,Gold,1936,1912,M
Elbert Root,Silver,1936,1915,M
Hermann Stork,Bronze,1936,1911,M
Samuel Lee,Gold,1948,1920,M
Bruce Harlan,Silver,1948,1926,M
Joaquín Capilla,Bronze,1948,1928,M
Samuel Lee,Gold,1952,1920,M
Joaquín Capilla,Silver,1952,1928,M
Günther Haase,Bronze,1952,1925,M
Joaquín Capilla,Gold,1956,1928,M
Gary Tobian,Silver,1956,1935,M
Richard Connor,Bronze,1956,1934,M
Bob Webster,Gold,1960,1938,M
Gary Tobian,Silver,1960,1935,M
Brian Phelps,Bronze,1960,1944,M
Bob Webster,Gold,1964,1938,M
Klaus Dibiasi,Silver,1964,1947,M
Tom Gompf,Bronze,1964,1939,M
Klaus Dibiasi,Gold,1968,1947,M
Álvaro Gaxiola,Silver,1968,1937,M
Win Young,Bronze,1968,1947,M
Klaus Dibiasi,Gold,1972,1947,M
Richard Rydze,Silver,1972,1950,M
Giorgio Cagnotto,Bronze,1972,1947,M
Klaus Dibiasi,Gold,1976,1947,M
Greg Louganis,Silver,1976,1960,M
Vladimir Aleynik,Bronze,1976,1952,M
Falk Hoffmann,Gold,1980,1952,M
Vladimir Aleynik,Silver,1980,1952,M
David Ambartsumyan,Bronze,1980,1956,M
Greg Louganis,Gold,1984,1960,M
Bruce Kimball,Silver,1984,1963,M
Li Kongzheng,Bronze,1984,1959,M
Greg Louganis,Gold,1988,1960,M
Xiong Ni,Silver,1988,1974,M
Jesús Mena,Bronze,1988,1968,M
Sun Shuwei,Gold,1992,1976,M
Scott Donie,Silver,1992,1968,M
Xiong Ni,Bronze,1992,1974,M
Dmitri Sautin,Gold,1996,1974,M
Jan Hempel,Silver,1996,1971,M
Xiao Hailiang,Bronze,1996,1977,M
Tian Liang,Gold,2000,1979,M
Hu Jia,Silver,2000,1983,M
Dmitri Sautin,Bronze,2000,1974,M
Hu Jia,Gold,2004,1983,M
Mathew Helm,Silver,2004,1980,M
Tian Liang,Bronze,2004,1979,M
Matthew Mitcham,Gold,2008,1988,M
Zhou Lüxin,Silver,2008,1988,M
Gleb Galperin,Bronze,2008,1985,M
David Boudia,Gold,2012,1989,M
Qiu Bo,Silver,2012,1993,M
Tom Daley,Bronze,2012,1994,M
Chen Aisen,Gold,2016,1995,M
German Sanchez,Silver,2016,1992,M
David Boudia,Bronze,2016,1989,M
Cao Yuan,Gold,2020,1995,M
Yang Jian,Silver,2020,1994,M
Tom Daley,Bronze,2020,1994,M
Cao Yuan,Gold,2024,1995,M
Rikuto Tamai,Silver,2024,2006,M
Noah Williams,Bronze,2024,2000,M
Greta Johansson,Gold,1912,1895,F
Lisa Regnell,Silver,1912,1887,F
Isabelle White,Bronze,1912,1894,F
Stefanie Clausen,Gold,1920,1900,F
Beatrice Armstrong,Silver,1920,1894,F
Eva Olliwier,Bronze,1920,1904,F
Caroline Smith,Gold,1924,1906,F
Elizabeth Becker-Pinkston,Silver,1924,1903,F
Hjördis Töpel,Bronze,1924,1904,F
Elizabeth Becker-Pinkston,Gold,1928,1903,F
Georgia Coleman,Silver,1928,1912,F
Laura Sjöqvist,Bronze,1928,1903,F
Dorothy Poynton-Hill,Gold,1932,1915,F
Georgia Coleman,Silver,1932,1912,F
Marion Roper,Bronze,1932,1910,F
Dorothy Poynton-Hill,Gold,1936,1915,F
Velma Dunn,Silver,1936,1918,F
Käthe Köhler,Bronze,1936,1913,F
Vicki Draves,Gold,1948,1924,F
Patsy Elsener,Silver,1948,1929,F
Birte Christoffersen,Bronze,1948,1924,F
Pat McCormick,Gold,1952,1930,F
Paula Jean Myers,Silver,1952,1934,F
Juno Stover-Irwin,Bronze,1952,1928,F
Pat McCormick,Gold,1956,1930,F
Juno Stover-Irwin,Silver,1956,1928,F
Paula Jean Myers-Pope,Bronze,1956,1934,F
Ingrid Krämer,Gold,1960,1943,F
Paula Jean Myers-Pope,Silver,1960,1934,F
Ninel Krutova,Bronze,1960,1926,F
Lesley Bush,Gold,1964,1947,F
Ingrid Engel-Krämer,Silver,1964,1943,F
Galina Alekseyeva,Bronze,1964,1947,F
Milena Duchková,Gold,1968,1952,F
Natalya Lobanova,Silver,1968,1947,F
Ann Peterson,Bronze,1968,1947,F
Ulrika Knape,Gold,1972,1955,F
Milena Duchková,Silver,1972,1952,F
Marina Janicke,Bronze,1972,1954,F
Elena Vaytsekhovskaya,Gold,1976,1958,F
Ulrika Knape,Silver,1976,1955,F
Deborah Wilson,Bronze,1976,1955,F
Martina Jäschke,Gold,1980,1960,F
Sirvard Emirzyan,Silver,1980,1966,F
Liana Tsotadze,Bronze,1980,1961,F
Zhou Jihong,Gold,1984,1965,F
Michele Mitchell,Silver,1984,1962,F
Wendy Wyland,Bronze,1984,1964,F
Xu Yanmei,Gold,1988,1971,F
Michele Mitchell,Silver,1988,1962,F
Wendy Williams,Bronze,1988,1967,F
Fu Mingxia,Gold,1992,1978,F
Yelena Miroshina,Silver,1992,1974,F
Mary Ellen Clark,Bronze,1992,1962,F
Fu Mingxia,Gold,1996,1978,F
Annika Walter,Silver,1996,1975,F
Mary Ellen Clark,Bronze,1996,1962,F
Laura Wilkinson,Gold,2000,1977,F
Li Na,Silver,2000,1984,F
Anne Montminy,Bronze,2000,1975,F
Chantelle Newbery,Gold,2004,1977,F
Lao Lishi,Silver,2004,1987,F
Loudy Tourky,Bronze,2004,1979,F
Chen Ruolin,Gold,2008,1992,F
Émilie Heymans,Silver,2008,1981,F
Wang Xin,Bronze,2008,1992,F
Chen Ruolin,Gold,2012,1992,F
Brittany Broben,Silver,2012,1995,F
Pandelela Rinong Pamg,Bronze,2012,1993,F
Ren Qian,Gold,2016,2001,F
Si Yajie,Silver,2016,1998,F
Meaghan Benfeito,Bronze,2016,1989,F
Quan Hongchan,Gold,2020,2007,F
