player,detail,peak_date,birth_year,gender
Carl Bonde,Gold,1912,1872,M
Gustaf Adolf Boltenstern,Silver,1912,1861,M
Hans von Blixen-Finecke,Bronze,1912,1886,M
Janne Lundblad,Gold,1920,1887,M
Bertil Sandström,Silver,1920,1887,M
Hans von Rosen,Bronze,1920,1888,M
Ernst Linder,Gold,1924,1868,M
Bertil Sandström,Silver,1924,1887,M
Xavier Lesage,Bronze,1924,1885,M
Carl Freiherr von Langen,Gold,1928,1887,M
Charles Marion,Silver,1928,1887,M
Ragnar Olson,Bronze,1928,1880,M
Xavier Lesage,Gold,1932,1885,M
Charles Marion,Silver,1932,1887,M
Hiram Tuttle,Bronze,1932,1883,M
Heinz Pollay,Gold,1936,1908,M
Friedrich Gerhard,Silver,1936,1884,M
Alois Podhajsky,Bronze,1936,1898,M
Hans Moser,Gold,1948,1901,M
André Jousseaume,Silver,1948,1894,M
Gustaf Adolf Boltenstern Jr.,Bronze,1948,1904,M
Henri Saint Cyr,Gold,1952,1902,M
Lis Hartel,Silver,1952,1921,F
André Jousseaume,Bronze,1952,1894,M
Henri Saint Cyr,Gold,1956,1902,M
Lis Hartel,Silver,1956,1921,F
Liselott Linsenhoff,Bronze,1956,1927,F
Sergei Filatov,Gold,1960,1926,M
Gustav Fischer,Silver,1960,1915,M
Josef Neckermann,Bronze,1960,1912,M
Henri Chammartin,Gold,1964,1918,M
Harry Boldt,Silver,1964,1930,M
Sergei Filatov,Bronze,1964,1926,M
Ivan Kizimov,Gold,1968,1928,M
Josef Neckermann,Silver,1968,1912,M
Reiner Klimke,Bronze,1968,1936,M
Liselott Linsenhoff,Gold,1972,1927,F
Yelena Petushkova,Silver,1972,1940,F
Josef Neckermann,Bronze,1972,1912,M
Christine Stückelberger,Gold,1976,1947,F
Harry Boldt,Silver,1976,1930,M
Reiner Klimke,Bronze,1976,1936,M
Elisabeth Theurer,Gold,1980,1956,F
Yuri Kovshov,Silver,1980,1951,M
Viktor Ugryumov,Bronze,1980,1939,M
Reiner Klimke,Gold,1984,1936,M
Anne Grethe Jensen,Silver,1984,1951,F
Otto Hofer,Bronze,1984,1944,M
Nicole Uphoff,Gold,1988,1967,F
Margit Otto-Crépin,Silver,1988,1945,F
Christine Stückelberger,Bronze,1988,1947,F
Nicole Uphoff,Gold,1992,1967,F
Isabell Werth,Silver,1992,1969,F
Klaus Balkenhol,Bronze,1992,1939,M
Isabell Werth,Gold,1996,1969,F
Anky van Grunsven,Silver,1996,1968,F
Sven Rothenberger,Bronze,1996,1966,M
Anky van Grunsven,Gold,2000,1968,F
Isabell Werth,Silver,2000,1969,F
Ulla Salzgeber,Bronze,2000,1958,F
Anky van Grunsven,Gold,2004,1968,F
Ulla Salzgeber,Silver,2004,1958,F
Beatriz Ferrer-Salat,Bronze,2004,1966,F
Anky van Grunsven,Gold,2008,1968,F
Isabell Werth,Silver,2008,1969,F
Heike Kemmer,Bronze,2008,1962,F
Charlotte Dujardin,Gold,2012,1985,F
Adelinde Cornelissen,Silver,2012,1979,F
Laura Bechtolsheimer,Bronze,2012,1985,F
Charlotte Dujardin,Gold,2016,1985,F
