player,detail,peak_date,birth_year,gender
Giuseppe Farina,Champion,1950,1906,M
Juan Manuel Fangio,Champion,1951,1911,M
Alberto Ascari,Champion,1952,1918,M
Alberto Ascari,Champion,1953,1918,M
Juan Manuel Fangio,Champion,1954,1911,M
Juan Manuel Fangio,Champion,1955,1911,M
Juan Manuel Fangio,Champion,1956,1911,M
Juan Manuel Fangio,Champion,1957,1911,M
Mike Hawthorn,Champion,1958,1929,M
Jack Brabham,Champion,1959,1926,M
Jack Brabham,Champion,1960,1926,M
Phil Hill,Champion,1961,1927,M
Graham Hill,Champion,1962,1929,M
Jim Clark,Champion,1963,1936,M
John Surtees,Champion,1964,1934,M
Jim Clark,Champion,1965,1936,M
Jack Brabham,Champion,1966,1926,M
Denny Hulme,Champion,1967,1936,M
Graham Hill,Champion,1968,1929,M
Jackie Stewart,Champion,1969,1939,M
Jochen Rindt,Champion,1970,1942,M
Jackie Stewart,Champion,1971,1939,M
Emerson Fittipaldi,Champion,1972,1946,M
Jackie Stewart,Champion,1973,1939,M
Emerson Fittipaldi,Champion,1974,1946,M
Niki Lauda,Champion,1975,1949,M
James Hunt,Champion,1976,1947,M
Niki Lauda,Champion,1977,1949,M
Mario Andretti,Champion,1978,1940,M
Jody Scheckter,Champion,1979,1950,M
Alan Jones,Champion,1980,1946,M
Nelson Piquet,Champion,1981,1952,M
Keke Rosberg,Champion,1982,1948,M
Nelson Piquet,Champion,1983,1952,M
Niki Lauda,Champion,1984,1949,M
Alain Prost,Champion,1985,1955,M
Alain Prost,Champion,1986,1955,M
Nelson Piquet,Champion,1987,1952,M
Ayrton Senna,Champion,1988,1960,M
Alain Prost,Champion,1989,1955,M
Ayrton Senna,Champion,1990,1960,M
Ayrton Senna,Champion,1991,1960,M
Nigel Mansell,Champion,1992,1953,M
Alain Prost,Champion,1993,1955,M
Michael Schumacher,Champion,1994,1969,M
Michael Schumacher,Champion,1995,1969,M
Damon Hill,Champion,1996,1960,M
Jacques Villeneuve,Champion,1997,1971,M
Mika Häkkinen,Champion,1998,1968,M
Mika Häkkinen,Champion,1999,1968,M
Michael Schumacher,Champion,2000,1969,M
Michael Schumacher,Champion,2001,1969,M
Michael Schumacher,Champion,2002,1969,M
Michael Schumacher,Champion,2003,1969,M
Michael Schumacher,Champion,2004,1969,M
Fernando Alonso,Champion,2005,1981,M
Fernando Alonso,Champion,2006,1981,M
Kimi Räikkönen,Champion,2007,1979,M
Lewis Hamilton,Champion,2008,1985,M
Jenson Button,Champion,2009,1980,M
Sebastian Vettel,Champion,2010,1987,M
Sebastian Vettel,Champion,2011,1987,M
Sebastian Vettel,Champion,2012,1987,M
Sebastian Vettel,Champion,2013,1987,M
Lewis Hamilton,Champion,2014,1985,M
Lewis Hamilton,Champion,2015,1985,M
Nico Rosberg,Champion,2016,1985,M
Lewis Hamilton,Champion,2017,1985,M
Lewis Hamilton,Champion,2018,1985,M
Lewis Hamilton,Champion,2019,1985,M
Lewis Hamilton,Champion,2020,1985,M
Max Verstappen,Champion,2021,1997,M
Max Verstappen,Champion,2022,1997,M
Max Verstappen,Champion,2023,1997,M
