player,detail,peak_date,birth_year,gender
Willie Park Sr.,The Open Championship,1860,1833,M
Old Tom Morris,The Open Championship,1861,1821,M
Old Tom Morris,The Open Championship,1862,1821,M
Willie Park Sr.,The Open Championship,1863,1833,M
Old Tom Morris,The Open Championship,1864,1821,M
Andrew Strath,The Open Championship,1865,1837,M
Willie Park Sr.,The Open Championship,1866,1833,M
Old Tom Morris,The Open Championship,1867,1821,M
Young Tom Morris,The Open Championship,1868,1851,M
Young Tom Morris,The Open Championship,1869,1851,M
Young Tom Morris,The Open Championship,1870,1851,M
Young Tom Morris,The Open Championship,1872,1851,M
Tom Kidd,The Open Championship,1873,1848,M
Mungo Park,The Open Championship,1874,1836,M
Willie Park Sr.,The Open Championship,1875,1833,M
Bob Martin,The Open Championship,1876,1853,M
Jamie Anderson,The Open Championship,1877,1842,M
Jamie Anderson,The Open Championship,1878,1842,M
Jamie Anderson,The Open Championship,1879,1842,M
Bob Ferguson,The Open Championship,1880,1846,M
Bob Ferguson,The Open Championship,1881,1846,M
Bob Ferguson,The Open Championship,1882,1846,M
Willie Fernie,The Open Championship,1883,1855,M
Jack Simpson,The Open Championship,1884,1859,M
Bob Martin,The Open Championship,1885,1853,M
David Brown,The Open Championship,1886,1861,M
Willie Park Jr.,The Open Championship,1887,1864,M
Jack Burns,The Open Championship,1888,1859,M
Willie Park Jr.,The Open Championship,1889,1864,M
John Ball Jr.,The Open Championship,1890,1861,M
Hugh Kirkaldy,The Open Championship,1891,1868,M
Harold Hilton,The Open Championship,1892,1869,M
Willie Auchterlonie,The Open Championship,1893,1872,M
John Henry Taylor,The Open Championship,1894,1871,M
John Henry Taylor,The Open Championship,1895,1871,M
Horace Rawlins,U.S. Open,1895,1874,M
Harry Vardon,The Open Championship,1896,1870,M
James Foulis,U.S. Open,1896,1871,M
Harold Hilton,The Open Championship,1897,1869,M
Joe Lloyd,U.S. Open,1897,1864,M
Harry Vardon,The Open Championship,1898,1870,M
Fred Herd,U.S. Open,1898,1873,M
Harry Vardon,The Open Championship,1899,1870,M
Willie Smith,U.S. Open,1899,1876,M
John Henry Taylor,The Open Championship,1900,1871,M
Harry Vardon,U.S. Open,1900,1870,M
James Braid,The Open Championship,1901,1870,M
Willie Anderson,U.S. Open,1901,1879,M
Sandy Herd,The Open Championship,1902,1868,M
Laurie Auchterlonie,U.S. Open,1902,1867,M
Harry Vardon,The Open Championship,1903,1870,M
Willie Anderson,U.S. Open,1903,1879,M
Jack White,The Open Championship,1904,1873,M
Willie Anderson,U.S. Open,1904,1879,M
James Braid,The Open Championship,1905,1870,M
Willie Anderson,U.S. Open,1905,1879,M
James Braid,The Open Championship,1906,1870,M
Alex Smith,U.S. Open,1906,1874,M
Arnaud Massy,The Open Championship,1907,1877,M
Alec Ross,U.S. Open,1907,1879,M
James Braid,The Open Championship,1908,1870,M
Fred McLeod,U.S. Open,1908,1882,M
John Henry Taylor,The Open Championship,1909,1871,M
George Sargent,U.S. Open,1909,1882,M
James Braid,The Open Championship,1910,1870,M
Alex Smith,U.S. Open,1910,1874,M
Harry Vardon,The Open Championship,1911,1870,M
John McDermott,U.S. Open,1911,1891,M
Ted Ray,The Open Championship,1912,1877,M
John McDermott,U.S. Open,1912,1891,M
John Henry Taylor,The Open Championship,1913,1871,M
Francis Ouimet,U.S. Open,1913,1893,M
Harry Vardon,The Open Championship,1914,1870,M
Walter Hagen,U.S. Open,1914,1892,M
Chick Evans,U.S. Open,1916,1890,M
Jim Barnes,PGA Championship,1916,1886,M
Walter Hagen,U.S. Open,1919,1892,M
Jim Barnes,PGA Championship,1919,1886,M
George Duncan,The Open Championship,1920,1883,M
Ted Ray,U.S. Open,1920,1877,M
Jock Hutchison,The Open Championship,1921,1884,M
Jock Hutchison,U.S. Open,1921,1884,M
Walter Hagen,The Open Championship,1922,1892,M
Gene Sarazen,U.S. Open,1922,1902,M
Gene Sarazen,PGA Championship,1922,1902,M
Arthur Havers,The Open Championship,1923,1898,M
Bobby Jones,U.S. Open,1923,1902,M
Gene Sarazen,PGA Championship,1923,1902,M
Walter Hagen,PGA Championship,1924,1892,M
Jim Barnes,PGA Championship,1925,1886,M
Bobby Jones,The Open Championship,1926,1902,M
Bobby Jones,U.S. Open,1926,1902,M
Walter Hagen,PGA Championship,1926,1892,M
Bobby Jones,The Open Championship,1927,1902,M
Tommy Armour,U.S. Open,1927,1896,M
Walter Hagen,PGA Championship,1927,1892,M
Walter Hagen,The Open Championship,1928,1892,M
Johnny Farrell,U.S. Open,1928,1901,M
Leo Diegel,PGA Championship,1928,1899,M
Walter Hagen,The Open Championship,1929,1892,M
Bobby Jones,U.S. Open,1929,1902,M
Leo Diegel,PGA Championship,1929,1899,M
Bobby Jones,The Open Championship,1930,1902,M
Bobby Jones,U.S. Open,1930,1902,M
Tommy Armour,PGA Championship,1930,1896,M
Tommy Armour,The Open Championship,1931,1896,M
Billy Burke,U.S. Open,1931,1902,M
Tom Creavy,PGA Championship,1931,1911,M
Gene Sarazen,The Open Championship,1932,1902,M
