player,detail,peak_date,birth_year,gender
Jim Brown,Running back,1957,1936,M
Jim Brown,Running back,1958,1936,M
Johnny Unitas,Quarterback,1959,1933,M
Norm Van Brocklin,Quarterback,1960,1926,M
Paul Hornung,Running back,1961,1935,M
Jim Taylor,Running back,1962,1935,M
Y. A. Tittle,Quarterback,1963,1926,M
Johnny Unitas,Quarterback,1964,1933,M
Jim Brown,Running back,1965,1936,M
Bart Starr,Quarterback,1966,1934,M
Johnny Unitas,Quarterback,1967,1933,M
Earl Morrall,Quarterback,1968,1934,M
Roman Gabriel,Quarterback,1969,1940,M
John Brodie,Quarterback,1970,1935,M
Alan Page,Defensive tackle,1971,1945,M
Larry Brown,Running back,1972,1947,M
O. J. Simpson,Running back,1973,1947,M
Ken Stabler,Quarterback,1974,1945,M
Fran Tarkenton,Quarterback,1975,1940,M
Bert Jones,Quarterback,1976,1951,M
Walter Payton,Running back,1977,1954,M
Terry Bradshaw,Quarterback,1978,1948,M
Earl Campbell,Running back,1979,1955,M
Brian Sipe,Quarterback,1980,1949,M
Ken Anderson,Quarterback,1981,1949,M
Mark Moseley,Placekicker,1982,1948,M
Joe Theismann,Quarterback,1983,1949,M
Dan Marino,Quarterback,1984,1961,M
Marcus Allen,Running back,1985,1960,M
Lawrence Taylor,Linebacker,1986,1959,M
John Elway,Quarterback,1987,1960,M
Boomer Esiason,Quarterback,1988,1961,M
Joe Montana,Quarterback,1989,1956,M
Joe Montana,Quarterback,1990,1956,M
Thurman Thomas,Running back,1991,1966,M
Steve Young,Quarterback,1992,1961,M
Emmitt Smith,Running back,1993,1969,M
Steve Young,Quarterback,1994,1961,M
Brett Favre,Quarterback,1995,1969,M
Brett Favre,Quarterback,1996,1969,M
Brett Favre,Quarterback,1997,1969,M
Barry Sanders,Running back,1997,1968,M
Terrell Davis,Running back,1998,1972,M
Kurt Warner,Quarterback,1999,1971,M
Marshall Faulk,Running back,2000,1973,M
Kurt Warner,Quarterback,2001,1971,M
Rich Gannon,Quarterback,2002,1965,M
Peyton Manning,Quarterback,2003,1976,M
Steve McNair,Quarterback,2003,1973,M
Peyton Manning,Quarterback,2004,1976,M
Shaun Alexander,Running back,2005,1977,M
LaDainian Tomlinson,Running back,2006,1979,M
Tom Brady,Quarterback,2007,1977,M
Peyton Manning,Quarterback,2008,1976,M
Peyton Manning,Quarterback,2009,1976,M
Tom Brady,Quarterback,2010,1977,M
Aaron Rodgers,Quarterback,2011,1983,M
Adrian Peterson,Running back,2012,1985,M
Peyton Manning,Quarterback,2013,1976,M
Aaron Rodgers,Quarterback,2014,1983,M
Cam Newton,Quarterback,2015,1989,M
Matt Ryan,Quarterback,2016,1985,M
Tom Brady,Quarterback,2017,1977,M
Patrick Mahomes,Quarterback,2018,1995,M
Lamar Jackson,Quarterback,2019,1997,M
Aaron Rodgers,Quarterback,2020,1983,M
Aaron Rodgers,Quarterback,2021,1983,M
Patrick Mahomes,Quarterback,2022,1995,M
Lamar Jackson,Quarterback,2023,1997,M
