player,detail,peak_date,birth_year,gender
Frank Nighbor,Centre,1923,1893,M
Billy Burch,Centre,1924,1900,M
Nels Stewart,Centre,1925,1902,M
Herb Gardiner,Defenceman,1926,1891,M
Howie Morenz,Centre,1927,1902,M
Roy Worters,Goaltender,1928,1900,M
Nels Stewart,Centre,1929,1902,M
Howie Morenz,Centre,1930,1902,M
Howie Morenz,Centre,1931,1902,M
Eddie Shore,Defenceman,1932,1902,M
Aurele Joliat,Left wing,1933,1901,M
Eddie Shore,Defenceman,1934,1902,M
Eddie Shore,Defenceman,1935,1902,M
Babe Siebert,Defenceman,1936,1904,M
Eddie Shore,Defenceman,1937,1902,M
Toe Blake,Left wing,1938,1912,M
Ebbie Goodfellow,Defenceman,1939,1907,M
Bill Cowley,Centre,1940,1912,M
Tommy Anderson,Defenceman,1941,1910,M
Bill Cowley,Centre,1942,1912,M
Babe Pratt,Defenceman,1943,1916,M
Elmer Lach,Centre,1944,1918,M
Max Bentley,Centre,1945,1920,M
Maurice Richard,Right wing,1946,1921,M
Buddy O'Connor,Centre,1947,1916,M
Sid Abel,Centre,1948,1918,M
Chuck Rayner,Goaltender,1949,1920,M
Milt Schmidt,Centre,1950,1918,M
Gordie Howe,Right wing,1951,1928,M
Gordie Howe,Right wing,1952,1928,M
Al Rollins,Goaltender,1953,1926,M
Ted Kennedy,Centre,1954,1925,M
Jean Beliveau,Centre,1955,1931,M
Gordie Howe,Right wing,1956,1928,M
Gordie Howe,Right wing,1957,1928,M
Andy Bathgate,Right wing,1958,1932,M
Gordie Howe,Right wing,1959,1928,M
Bernie Geoffrion,Right wing,1960,1931,M
Jacques Plante,Goaltender,1961,1929,M
Gordie Howe,Right wing,1962,1928,M
Jean Beliveau,Centre,1963,1931,M
Bobby Hull,Left wing,1964,1939,M
Bobby Hull,Left wing,1965,1939,M
Stan Mikita,Centre,1966,1940,M
Stan Mikita,Centre,1967,1940,M
Phil Esposito,Centre,1968,1942,M
Bobby Orr,Defenceman,1969,1948,M
Bobby Orr,Defenceman,1970,1948,M
Bobby Orr,Defenceman,1971,1948,M
Bobby Clarke,Centre,1972,1949,M
Phil Esposito,Centre,1973,1942,M
Bobby Clarke,Centre,1974,1949,M
Bobby Clarke,Centre,1975,1949,M
Guy Lafleur,Right wing,1976,1951,M
Guy Lafleur,Right wing,1977,1951,M
Bryan Trottier,Centre,1978,1956,M
Wayne Gretzky,Centre,1979,1961,M
Wayne Gretzky,Centre,1980,1961,M
Wayne Gretzky,Centre,1981,1961,M
Wayne Gretzky,Centre,1982,1961,M
Wayne Gretzky,Centre,1983,1961,M
Wayne Gretzky,Centre,1984,1961,M
Wayne Gretzky,Centre,1985,1961,M
Wayne Gretzky,Centre,1986,1961,M
Mario Lemieux,Centre,1987,1965,M
Wayne Gretzky,Centre,1988,1961,M
Mark Messier,Centre,1989,1961,M
Brett Hull,Right wing,1990,1964,M
Mark Messier,Centre,1991,1961,M
Mario Lemieux,Centre,1992,1965,M
Sergei Fedorov,Centre,1993,1969,M
Eric Lindros,Centre,1994,1973,M
Mario Lemieux,Centre,1995,1965,M
Dominik Hasek,Goaltender,1996,1965,M
Dominik Hasek,Goaltender,1997,1965,M
Jaromir Jagr,Right wing,1998,1972,M
Chris Pronger,Defenceman,1999,1974,M
Joe Sakic,Centre,2000,1969,M
Jose Theodore,Goaltender,2001,1976,M
Peter Forsberg,Centre,2002,1973,M
Martin St. Louis,Right wing,2003,1975,M
Joe Thornton,Centre,2005,1979,M
Sidney Crosby,Centre,2006,1987,M
Alexander Ovechkin,Left wing,2007,1985,M
Alexander Ovechkin,Left wing,2008,1985,M
Henrik Sedin,Centre,2009,1980,M
Corey Perry,Right wing,2010,1985,M
Evgeni Malkin,Centre,2011,1986,M
Alexander Ovechkin,Right wing,2012,1985,M
Sidney Crosby,Centre,2013,1987,M
Carey Price,Goaltender,2014,1987,M
Patrick Kane,Right wing,2015,1988,M
Connor McDavid,Centre,2016,1997,M
Taylor Hall,Left wing,2017,1991,M
Nikita Kucherov,Right wing,2018,1993,M
Leon Draisaitl,Centre,2019,1995,M
Connor McDavid,Centre,2020,1997,M
Auston Matthews,Centre,2021,1997,M
Connor McDavid,Centre,2022,1997,M
Nathan MacKinnon,Centre,2023,1995,M
