player,detail,peak_date,birth_year,gender
Ellery Clark,Gold,1896,1874,M
Robert Garrett,Silver,1896,1875,M
James Brendan Connolly,Bronze,1896,1868,M
Alvin Kraenzlein,Gold,1900,1876,M
Myer Prinstein,Silver,1900,1878,M
Patrick Leahy,Bronze,1900,1877,M
Myer Prinstein,Gold,1904,1878,M
Daniel Frank,Silver,1904,1882,M
Robert Stangland,Bronze,1904,1881,M
Frank Irons,Gold,1908,1886,M
Daniel Kelly,Silver,1908,1883,M
Calvin Bricker,Bronze,1908,1884,M
Albert Gutterson,Gold,1912,1887,M
Calvin Bricker,Silver,1912,1884,M
Georg Åberg,Bronze,1912,1893,M
William Petersson,Gold,1920,1895,M
Carl Johnson,Silver,1920,1898,M
Erik Abrahamsson,Bronze,1920,1898,M
DeHart Hubbard,Gold,1924,1903,M
Edward Gourdin,Silver,1924,1897,M
Sverre Hansen,Bronze,1924,1899,M
Ed Hamm,Gold,1928,1906,M
Silvio Cator,Silver,1928,1900,M
Al Bates,Bronze,1928,1905,M
Ed Gordon,Gold,1932,1908,M
Lambert Redd,Silver,1932,1908,M
Chūhei Nambu,Bronze,1932,1904,M
Jesse Owens,Gold,1936,1913,M
Luz Long,Silver,1936,1913,M
Naoto Tajima,Bronze,1936,1912,M
Willie Steele,Gold,1948,1923,M
Bill Bruce,Silver,1948,1923,M
Herb Douglas,Bronze,1948,1922,M
Jerome Biffle,Gold,1952,1928,M
Meredith Gourdine,Silver,1952,1929,M
Ödön Földessy,Bronze,1952,1929,M
Gregory Bell,Gold,1956,1930,M
John Bennett,Silver,1956,1930,M
Jorma Valkama,Bronze,1956,1928,M
Ralph Boston,Gold,1960,1939,M
Bo Roberson,Silver,1960,1935,M
Igor Ter-Ovanesyan,Bronze,1960,1938,M
Lynn Davies,Gold,1964,1942,M
Ralph Boston,Silver,1964,1939,M
Igor Ter-Ovanesyan,Bronze,1964,1938,M
Bob Beamon,Gold,1968,1946,M
Klaus Beer,Silver,1968,1942,M
Ralph Boston,Bronze,1968,1939,M
Randy Williams,Gold,1972,1953,M
Hans Baumgartner,Silver,1972,1949,M
Arnie Robinson,Bronze,1972,1948,M
Arnie Robinson,Gold,1976,1948,M
Randy Williams,Silver,1976,1953,M
Frank Wartenberg,Bronze,1976,1955,M
Lutz Dombrowski,Gold,1980,1959,M
Frank Paschek,Silver,1980,1956,M
Valeriy Pidluzhnyy,Bronze,1980,1952,M
Carl Lewis,Gold,1984,1961,M
Gary Honey,Silver,1984,1959,M
Giovanni Evangelisti,Bronze,1984,1961,M
Carl Lewis,Gold,1988,1961,M
Mike Powell,Silver,1988,1963,M
Larry Myricks,Bronze,1988,1956,M
Carl Lewis,Gold,1992,1961,M
Mike Powell,Silver,1992,1963,M
Joe Greene,Bronze,1992,1967,M
Carl Lewis,Gold,1996,1961,M
James Beckford,Silver,1996,1975,M
Joe Greene,Bronze,1996,1967,M
Iván Pedroso,Gold,2000,1972,M
Jai Taurima,Silver,2000,1972,M
Roman Shchurenko,Bronze,2000,1976,M
Dwight Phillips,Gold,2004,1977,M
John Moffitt,Silver,2004,1980,M
Joan Lino Martínez,Bronze,2004,1978,M
Irving Saladino,Gold,2008,1983,M
Godfrey Khotso Mokoena,Silver,2008,1985,M
Ibrahim Camejo,Bronze,2008,1982,M
Greg Rutherford,Gold,2012,1986,M
Mitchell Watt,Silver,2012,1988,M
Will Claye,Bronze,2012,1991,M
Jeff Henderson,Gold,2016,1989,M
Luvo Manyonga,Silver,2016,1991,M
Greg Rutherford,Bronze,2016,1986,M
Miltiadis Tentoglou,Gold,2020,1998,M
Juan Miguel Echevarría,Silver,2020,1998,M
Maykel Massó,Bronze,2020,1999,M
Miltiadis Tentoglou,Gold,2024,1998,M
Wayne Pinnock,Silver,2024,2000,M
Mattia Furlani,Bronze,2024,2005,M
Olga Gyarmati,Gold,1948,1924,F
Noemí Simonetto,Silver,1948,1926,F
Ann-Britt Leyman,Bronze,1948,1922,F
Yvette Williams,Gold,1952,1929,F
Aleksandra Chudina,Silver,1952,1923,F
Shirley Cawley,Bronze,1952,1932,F
Elżbieta Krzesińska,Gold,1956,1934,F
Willye White,Silver,1956,1939,F
Nadezhda Khnykina-Dvalishvili,Bronze,1956,1933,F
Vera Krepkina,Gold,1960,1933,F
Elżbieta Krzesińska,Silver,1960,1934,F
Hildrun Claus,Bronze,1960,1939,F
Mary Rand,Gold,1964,1940,F
Irena Kirszenstein,Silver,1964,1946,F
Tatyana Shchelkanova,Bronze,1964,1937,F
Viorica Viscopoleanu,Gold,1968,1939,F
Sheila Sherwood,Silver,1968,1945,F
Tatyana Talysheva,Bronze,1968,1937,F
Heide Rosendahl,Gold,1972,1947,F
Diana Yorgova,Silver,1972,1942,F
Eva Šuranová,Bronze,1972,1946,F
Angela Voigt,Gold,1976,1951,F
Kathy McMillan,Silver,1976,1957,F
Lidiya Alfeyeva,Bronze,1976,1946,F
Tatyana Kolpakova,Gold,1980,1959,F
Brigitte Wujak,Silver,1980,1955,F
Tatyana Skachko,Bronze,1980,1954,F
Anișoara Cușmir-Stanciu,Gold,1984,1962,F
Valy Ionescu,Silver,1984,1960,F
Sue Hearnshaw,Bronze,1984,1961,F
Jackie Joyner-Kersee,Gold,1988,1962,F
Heike Drechsler,Silver,1988,1964,F
Galina Chistyakova,Bronze,1988,1962,F
Heike Drechsler,Gold,1992,1964,F
Inessa Kravets,Silver,1992,1966,F
Jackie Joyner-Kersee,Bronze,1992,1962,F
Chioma Ajunwa,Gold,1996,1970,F
Fiona May,Silver,1996,1969,F
Jackie Joyner-Kersee,Bronze,1996,1962,F
Heike Drechsler,Gold,2000,1964,F
Fiona May,Silver,2000,1969,F
Tatyana Kotova,Bronze,2000,1976,F
Tatyana Lebedeva,Gold,2004,1976,F
Irina Simagina,Silver,2004,1982,F
Tatyana Kotova,Bronze,2004,1976,F
Maurren Maggi,Gold,2008,1976,F
Blessing Okagbare,Silver,2008,1988,F
Chelsea Hammond,Bronze,2008,1983,F
Brittney Reese,Gold,2012,1986,F
Elena Sokolova,Silver,2012,1986,F
Janay DeLoach,Bronze,2012,1985,F
Tianna Bartoletta,Gold,2016,1985,F
Brittney Reese,Silver,2016,1986,F
Ivana Španović,Bronze,2016,1990,F
Malaika Mihambo,Gold,2020,1994,F
Brittney Reese,Silver,2020,1986,F
Ese Brume,Bronze,2020,1996,F
Tara Davis-Woodhall,Gold,2024,1999,F
Malaika Mihambo,Silver,2024,1994,F
Jasmine Moore,Bronze,2024,2001,F
