player,detail,peak_date,birth_year,gender
Mark Coleman,Heavyweight,1997,1964,M
Maurice Smith,Heavyweight,1997,1961,M
Randy Couture,Heavyweight,1997,1963,M
Bas Rutten,Heavyweight,1999,1965,M
Kevin Randleman,Heavyweight,1999,1971,M
Randy Couture,Heavyweight,2000,1963,M
Josh Barnett,Heavyweight,2002,1977,M
Ricco Rodriguez,Heavyweight,2002,1977,M
Tim Sylvia,Heavyweight,2003,1976,M
Frank Mir,Heavyweight,2004,1979,M
Andrei Arlovski,Heavyweight,2005,1979,M
Tim Sylvia,Heavyweight,2006,1976,M
Randy Couture,Heavyweight,2007,1963,M
Brock Lesnar,Heavyweight,2008,1977,M
Shane Carwin,Heavyweight,2010,1975,M
Cain Velasquez,Heavyweight,2010,1982,M
Junior dos Santos,Heavyweight,2011,1984,M
Cain Velasquez,Heavyweight,2012,1982,M
Fabricio Werdum,Heavyweight,2015,1977,M
Stipe Miocic,Heavyweight,2016,1982,M
Daniel Cormier,Heavyweight,2018,1979,M
Stipe Miocic,Heavyweight,2019,1982,M
Francis Ngannou,Heavyweight,2021,1986,M
Jon Jones,Heavyweight,2023,1987,M
Frank Shamrock,Light Heavyweight,1997,1972,M
Tito Ortiz,Light Heavyweight,2000,1975,M
Randy Couture,Light Heavyweight,2003,1963,M
Vitor Belfort,Light Heavyweight,2004,1977,M
Randy Couture,Light Heavyweight,2004,1963,M
Chuck Liddell,Light Heavyweight,2005,1969,M
Quinton Jackson,Light Heavyweight,2007,1978,M
Forrest Griffin,Light Heavyweight,2008,1979,M
Rashad Evans,Light Heavyweight,2008,1979,M
Lyoto Machida,Light Heavyweight,2009,1978,M
Mauricio Rua,Light Heavyweight,2010,1981,M
Jon Jones,Light Heavyweight,2011,1987,M
Daniel Cormier,Light Heavyweight,2015,1979,M
Jon Jones,Light Heavyweight,2018,1987,M
Jan Błachowicz,Light Heavyweight,2020,1983,M
Glover Teixeira,Light Heavyweight,2021,1979,M
Jiří Procházka,Light Heavyweight,2022,1992,M
Jamahal Hill,Light Heavyweight,2023,1991,M
Alex Pereira,Light Heavyweight,2024,1987,M
Dave Menne,Middleweight,2001,1974,M
Murilo Bustamante,Middleweight,2002,1966,M
Evan Tanner,Middleweight,2005,1971,M
Rich Franklin,Middleweight,2005,1974,M
Anderson Silva,Middleweight,2006,1975,M
Chris Weidman,Middleweight,2013,1984,M
Luke Rockhold,Middleweight,2015,1984,M
Michael Bisping,Middleweight,2016,1979,M
Georges St-Pierre,Middleweight,2017,1981,M
Robert Whittaker,Middleweight,2017,1990,M
Israel Adesanya,Middleweight,2019,1989,M
Alex Pereira,Middleweight,2022,1987,M
Israel Adesanya,Middleweight,2023,1989,M
Dricus du Plessis,Middleweight,2024,1994,M
Pat Miletich,Welterweight,1998,1968,M
Carlos Newton,Welterweight,2001,1976,M
Matt Hughes,Welterweight,2001,1973,M
