player,detail,peak_date,birth_year,gender
Spencer Gore,Wimbledon,1877,1850,M
Frank Hadow,Wimbledon,1878,1855,M
John Hartley,Wimbledon,1879,1849,M
John Hartley,Wimbledon,1880,1849,M
William Renshaw,Wimbledon,1881,1861,M
Richard Sears,US Open,1881,1861,M
William Renshaw,Wimbledon,1882,1861,M
Richard Sears,US Open,1882,1861,M
William Renshaw,Wimbledon,1883,1861,M
Richard Sears,US Open,1883,1861,M
William Renshaw,Wimbledon,1884,1861,M
Richard Sears,US Open,1884,1861,M
William Renshaw,Wimbledon,1885,1861,M
Richard Sears,US Open,1885,1861,M
William Renshaw,Wimbledon,1886,1861,M
Richard Sears,US Open,1886,1861,M
Herbert Lawford,Wimbledon,1887,1851,M
Henry Slocum,US Open,1888,1862,M
William Renshaw,Wimbledon,1889,1861,M
Henry Slocum,US Open,1889,1862,M
Willoughby Hamilton,Wimbledon,1890,1864,M
Oliver Campbell,US Open,1890,1871,M
Wilfred Baddeley,Wimbledon,1891,1872,M
Oliver Campbell,US Open,1891,1871,M
Jean Schopfer,French Open,1892,1868,M
Wilfred Baddeley,Wimbledon,1892,1872,M
Oliver Campbell,US Open,1892,1871,M
Joshua Pim,Wimbledon,1893,1869,M
Robert Wrenn,US Open,1893,1873,M
André Vacherot,French Open,1894,1877,M
Joshua Pim,Wimbledon,1894,1869,M
Robert Wrenn,US Open,1894,1873,M
André Vacherot,French Open,1895,1877,M
Wilfred Baddeley,Wimbledon,1895,1872,M
Fred Hovey,US Open,1895,1868,M
André Vacherot,French Open,1896,1877,M
Harold Mahony,Wimbledon,1896,1867,M
Robert Wrenn,US Open,1896,1873,M
Paul Aymé,French Open,1897,1869,M
Reginald Doherty,Wimbledon,1897,1872,M
Robert Wrenn,US Open,1897,1873,M
Paul Aymé,French Open,1898,1869,M
Reginald Doherty,Wimbledon,1898,1872,M
Malcolm Whitman,US Open,1898,1877,M
Paul Aymé,French Open,1899,1869,M
Reginald Doherty,Wimbledon,1899,1872,M
Malcolm Whitman,US Open,1899,1877,M
Paul Aymé,French Open,1900,1869,M
Reginald Doherty,Wimbledon,1900,1872,M
Malcolm Whitman,US Open,1900,1877,M
André Vacherot,French Open,1901,1877,M
Arthur Gore,Wimbledon,1901,1868,M
William Larned,US Open,1901,1872,M
Michel Vacherot,French Open,1902,1881,M
Laurence Doherty,Wimbledon,1902,1875,M
William Larned,US Open,1902,1872,M
Max Decugis,French Open,1903,1882,M
Laurence Doherty,Wimbledon,1903,1875,M
Laurence Doherty,US Open,1903,1875,M
Maurice Germot,French Open,1905,1882,M
Laurence Doherty,Wimbledon,1905,1875,M
Beals Wright,US Open,1905,1879,M
Maurice Germot,French Open,1906,1882,M
Laurence Doherty,Wimbledon,1906,1875,M
William Clothier,US Open,1906,1881,M
Max Decugis,French Open,1907,1882,M
Norman Brookes,Wimbledon,1907,1877,M
William Larned,US Open,1907,1872,M
Fred Alexander,Australian Open,1908,1880,M
Max Decugis,French Open,1908,1882,M
Arthur Gore,Wimbledon,1908,1868,M
William Larned,US Open,1908,1872,M
Anthony Wilding,Australian Open,1909,1883,M
Max Decugis,French Open,1909,1882,M
Arthur Gore,Wimbledon,1909,1868,M
William Larned,US Open,1909,1872,M
Rodney Heath,Australian Open,1910,1884,M
Maurice Germot,French Open,1910,1882,M
Anthony Wilding,Wimbledon,1910,1883,M
William Larned,US Open,1910,1872,M
Norman Brookes,Australian Open,1911,1877,M
André Gobert,French Open,1911,1890,M
Anthony Wilding,Wimbledon,1911,1883,M
William Larned,US Open,1911,1872,M
