Year,Category,Rank,Search Term
2015,Politicians,1,Donald Trump
2015,Politicians,2,Bernie Sanders
2015,Politicians,3,Carly Fiorina
2015,Politicians,4,Ben Carson
2015,Politicians,5,Ted Cruz
2015,Politicians,6,Deez Nuts
2015,Politicians,7,John Boehner
2015,Politicians,8,Marco Rubio
2015,Politicians,9,Jimmy Carter
2015,Politicians,10,Justin Trudeau
2015,Selfies,1,Malia Obama
2015,Selfies,2,Miss Lebanon
2015,Selfies,3,Al Roker
2015,Selfies,4,Bald Eagle
2015,Selfies,5,Anna Kendrick
2015,Selfies,6,James Franco
2015,Selfies,7,Lady Gaga
2015,Selfies,8,Miley Cyrus
2015,Selfies,9,Kylie Jenner
2015,Selfies,10,Kim Kardashian
2015,Men's Soccer Players,1,Cristiano Ronaldo
2015,Men's Soccer Players,2,Lionel Messi
2015,Men's Soccer Players,3,Neymar da Silva Santos Jr
2015,Men's Soccer Players,4,Zlatan Ibrahimović
2015,Men's Soccer Players,5,Luis Suárez
2015,Men's Soccer Players,6,Gareth Bale
2015,Men's Soccer Players,7,Wayne Rooney
2015,Men's Soccer Players,8,James Rodríguez
2015,Men's Soccer Players,9,Marco Reus
2015,Men's Soccer Players,10,Eden Hazard
2015,People,1,Lamar Odom
2015,People,2,Caitlyn Jenner
2015,People,3,Ronda Rousey
2015,People,4,Donald Trump
2015,People,5,Ruby Rose
2015,People,6,Charlie Sheen
2015,People,7,Brian Williams
2015,People,8,Rachel Dolezal
2015,People,9,Adele
2015,People,10,Josh Duggar
2015,Memes,1,Pepe the Frog
2015,Memes,2,Rickrolling
2015,Memes,3,Who Knows
2015,Memes,4,Florida Man
2015,Memes,5,O Rly
2015,Memes,6,Rick Astley
2015,Memes,7,Jontron
2015,Memes,8,Ceiling Cat
2015,Memes,9,Bread
2015,Memes,10,Nothing Much
2015,Sports Teams,1,New York Mets
2015,Sports Teams,2,Toronto Blue Jays
2015,Sports Teams,3,Chicago Cubs
2015,Sports Teams,4,Golden State Warriors
2015,Sports Teams,5,Tampa Bay Lightning
2015,Sports Teams,6,Cleveland Cavaliers
2015,Sports Teams,7,Houston Astros
2015,Sports Teams,8,Atlanta Hawks
2015,Sports Teams,9,Michigan State Spartans Football
2015,Sports Teams,10,Duke Blue Devils Men's Basketball
2015,TV Shows,1,Better Call Saul
2015,TV Shows,2,Jessica Jones
2015,TV Shows,3,Fear the Walking Dead
2015,TV Shows,4,Empire
2015,TV Shows,5,American Horror Story: Hotel
2015,TV Shows,6,Game of Thrones
2015,TV Shows,7,Daredevil
2015,TV Shows,8,Scream Queens
2015,TV Shows,9,Quantico
2015,TV Shows,10,Lip Sync Battle
2015,Natural Events,1,Hurricane Patricia
2015,Natural Events,2,Hurricane Joaquin
2015,Natural Events,3,Tropical Storm Erika
2015,Natural Events,4,Tropical Storm Bill
2015,Natural Events,5,Nepal Earthquake
2015,Natural Events,6,Butte Fire
2015,Natural Events,7,Tropical Storm Danny
2015,Natural Events,8,Chile Earthquake
2015,Natural Events,9,Hurricane Ignacio
