Search Term,Year,Reason
StrawberryDaiquiri,2016,No Data Available
"drivers license, Olivia Rodrigo",2021,No Data Available
"All Too Well, Taylor Swift",2021,No Data Available
"Poker Face, Lady Gaga",2021,No Data Available
"Fancy Like, Walker Hayes",2021,No Data Available
"deja vu, Olivia Rodrigo",2021,No Data Available
Ella Baila Sola - Eslabon Armado and Peso Pluma,2023,No Data Available
Boy's a liar Pt. 2 - Ice Spice and PinkPantheress,2023,No Data Available
Hello Beautiful: A Novel - Ann Napolitano,2023,No Data Available
"The Wager: A Tale of Shipwreck, Mutiny and Murder - David Grann",2023,No Data Available
Mama Kelce's cookie,2024,No Data Available
Daikon radish pickle recipe,2024,No Data Available
Pickle Dr. Pepper recipe,2024,No Data Available
