geoName,Kevin Spacey %,Wikipedia %
Alabama,11.0,89.0
Alaska,11.0,89.0
Arizona,13.0,87.0
Arkansas,11.0,89.0
California,12.0,88.0
Colorado,11.0,89.0
Connecticut,12.0,88.0
Delaware,11.0,89.0
District of Columbia,11.0,89.0
Florida,12.0,88.0
Georgia,12.0,88.0
Hawaii,9.0,91.0
Idaho,11.0,89.0
Illinois,12.0,88.0
Indiana,12.0,88.0
Iowa,10.0,90.0
Kansas,8.0,92.0
Kentucky,11.0,89.0
Louisiana,12.0,88.0
Maine,10.0,90.0
Maryland,11.0,89.0
Massachusetts,12.0,88.0
Michigan,12.0,88.0
Minnesota,11.0,89.0
Mississippi,12.0,88.0
Missouri,12.0,88.0
Montana,11.0,89.0
Nebraska,12.0,88.0
Nevada,10.0,90.0
New Hampshire,12.0,88.0
New Jersey,12.0,88.0
New Mexico,11.0,89.0
New York,12.0,88.0
North Carolina,12.0,88.0
North Dakota,12.0,88.0
Ohio,13.0,87.0
Oklahoma,11.0,89.0
Oregon,11.0,89.0
Pennsylvania,12.0,88.0
Rhode Island,12.0,88.0
South Carolina,13.0,87.0
South Dakota,11.0,89.0
Tennessee,13.0,87.0
Texas,11.0,89.0
Utah,8.0,92.0
Vermont,9.0,91.0
Virginia,10.0,90.0
Washington,10.0,90.0
West Virginia,12.0,88.0
Wisconsin,11.0,89.0
Wyoming,13.0,87.0
