Search Term,Average Interest,Wikipedia Interest,Year
Boston Red Sox,14.88679245283019,85.9622641509434,2021
Los Angeles Lakers,7.037735849056604,90.86792452830188,2021
Refrigerator pickle brine recipe,0.0,89.64150943396227,2024
Pickled cucumber salad recipe,0.0,89.64150943396227,2024
Justin Timberlake,8.39622641509434,42.283018867924525,2024
Drake,20.49056603773585,16.90566037735849,2024
Kendrick Lamar,12.679245283018869,39.43396226415094,2024
Cleveland Guardians,13.584905660377359,91.50943396226415,2024
San Diego Padres,5.339622641509434,91.50943396226415,2024
Indiana Fever,19.150943396226417,91.50943396226415,2024
Minnesota Timberwolves,6.754716981132075,91.50943396226415,2024
Boston Celtics,18.67924528301887,88.98113207547169,2024
New York Mets,5.528301886792453,91.50943396226415,2024
Los Angeles Dodgers,5.6415094339622645,91.50943396226415,2024
New York Yankees,13.037735849056604,91.50943396226415,2024
Jake Paul,3.792452830188679,6.037735849056604,2024
Simone Biles,4.471698113207547,14.283018867924529,2024
House of the Dragon,14.20754716981132,66.90566037735849,2024
Olympics,5.811320754716981,2.0,2024
Kamala Harris,10.943396226415095,9.867924528301886,2024
Donald Trump,9.415094339622641,8.962264150943396,2024
James Earl Jones,2.3962264150943398,29.264150943396228,2024
Connections,68.83018867924528,20.69811320754717,2024
Sam Smith,8.283018867924529,90.18867924528301,2023
Joe Jonas,4.6415094339622645,90.18867924528301,2023
Jason Aldean,5.377358490566038,38.9811320754717,2023
Everything Everywhere All at Once,7.150943396226415,43.924528301886795,2023
Antonio Brown,3.4150943396226414,17.88679245283019,2022
Aaron Carter,3.641509433962264,23.056603773584907,2022
San Diego Padres,5.811320754716981,90.81132075471699,2022
Los Angeles Rams,3.641509433962264,90.81132075471699,2022
Golden State Warriors,20.452830188679247,80.33962264150944,2022
Boston Celtics,19.339622641509433,90.81132075471699,2022
Mega Millions,5.60377358490566,5.490566037735849,2022
Election results,2.830188679245283,2.981132075471698,2022
Shaun White,2.9056603773584904,49.113207547169814,2022
Aaron Judge,13.981132075471699,89.67924528301887,2022
Jada Pinkett Smith,3.641509433962264,42.24528301886792,2022
Stranger Things,15.60377358490566,10.641509433962264,2022
Euphoria,19.79245283018868,25.547169811320753,2022
Simone Biles,3.6037735849056602,14.433962264150944,2021
Cobra Kai,11.924528301886792,42.0188679245283,2021
Lil Nas X,8.358490566037736,33.64150943396226,2021
Adele,8.867924528301886,26.77358490566038,2021
Travis Scott,5.773584905660377,14.754716981132075,2021
Olivia Wilde,8.18867924528302,90.52830188679245,2021
Pete Davidson,17.867924528301888,81.67924528301887,2021
Mega Millions,9.226415094339623,9.584905660377359,2021
Atlanta Hawks,10.471698113207546,90.52830188679245,2021
Houston Astros,17.528301886792452,90.52830188679245,2021
Los Angeles Dodgers,6.264150943396227,90.52830188679245,2021
Los Angeles Clippers,1.2452830188679245,90.52830188679245,2021
Milwaukee Bucks,13.735849056603774,81.32075471698113,2021
Lizzo,11.679245283018869,84.81132075471699,2020
Adele,11.056603773584905,46.64150943396226,2020
Chadwick Boseman,2.981132075471698,10.358490566037736,2020
Boston Bruins,3.6037735849056602,84.81132075471699,2020
