,name,dob
0,John Jay,1745-12-23
1,John Rutledge,1739-09-17
2,William Cushing,1732-03-01
3,James Wilson,1742-09-14
4,John Blair,1732-04-17
5,James Iredell,1751-10-05
6,Thomas Johnson,1732-11-04
7,William Paterson,1745-12-24
8,John Rutledge,1739-09-17
9,Samuel Chase,1741-04-17
10,Oliver Ellsworth,1745-04-29
11,Bushrod Washington,1762-06-05
12,Alfred Moore,1755-05-21
13,John Marshall,1755-09-24
14,William Johnson,1771-12-27
15,Henry Brockholst Livingston,1757-11-25
16,Thomas Todd,1765-01-23
17,Gabriel Duvall,1752-12-06
18,Joseph Story,1779-09-18
19,Smith Thompson,1768-01-17
20,Robert Trimble,1776-11-17
21,John McLean,1785-03-11
22,Henry Baldwin,1780-01-14
23,James Moore Wayne,
24,Roger B. Taney,1777-03-17
25,Philip P. Barbour,1783-05-25
26,John Catron,1786-01-07
27,John McKinley,1780-05-01
28,Peter Vivian Daniel,1784-04-24
29,Samuel Nelson,1792-11-10
30,Levi Woodbury,1789-12-22
31,Robert Cooper Grier,1794-03-05
32,Benjamin Robbins Curtis,1809-11-04
33,John Archibald Campbell,1811-06-24
34,Nathan Clifford,1803-08-18
35,Noah Haynes Swayne,1804-12-07
36,Samuel Freeman Miller,1816-04-05
37,David Davis,1815-03-09
38,Stephen Johnson Field,1816-11-04
39,Salmon P. Chase,1808-01-13
40,William Strong,1808-05-06
41,Joseph P. Bradley,1813-03-14
42,Ward Hunt,1810-06-14
43,Morrison Waite,1816-11-29
44,John Marshall Harlan,1833-06-01
45,William Burnham Woods,1824-08-03
46,Stanley Matthews,1824-07-21
47,Horace Gray,1828-03-24
48,Samuel Blatchford,1820-03-09
49,Lucius QuintusCincinnatus Lamar,1825-09-17
50,Melville Fuller,1833-02-11
51,David J. Brewer,1837-06-20
52,Henry Billings Brown,1836-03-02
53,George Shiras Jr.,1832-01-26
54,Howell Edmunds Jackson,1832-04-08
55,Edward Douglass White,1845-11-03
56,Rufus W. Peckham,1838-11-08
57,Joseph McKenna,1843-08-10
58,Oliver Wendell Holmes Jr.,1841-03-08
59,William R. Day,1849-04-17
60,William Henry Moody,1853-12-23
61,Horace Harmon Lurton,1844-02-26
62,Charles Evans Hughes,1862-04-11
63,Edward Douglass White,1845-11-03
64,Willis Van Devanter,1859-04-17
65,Joseph Rucker Lamar,1857-10-14
66,Mahlon Pitney,1858-02-05
67,James Clark McReynolds,1862-02-03
68,Louis Brandeis,1856-11-13
69,John Hessin Clarke,1857-09-18
70,William Howard Taft,1857-09-15
71,George Sutherland,1862-03-25
72,Pierce Butler,1866-03-17
73,Edward Terry Sanford,1865-07-23
74,Harlan F. Stone,1872-10-11
75,Charles Evans Hughes,1862-04-11
76,Owen Roberts,1875-05-02
77,Benjamin N. Cardozo,1870-05-24
78,Hugo Black,1886-02-27
79,Stanley Forman Reed,1884-12-31
80,Felix Frankfurter,1882-11-15
81,William O. Douglas,1898-10-16
82,Frank Murphy,1890-04-13
83,Harlan F. Stone,1872-10-11
84,James F. Byrnes,1882-05-02
85,Robert H. Jackson,1892-02-13
86,Wiley Blount Rutledge,1894-07-20
87,Harold Hitz Burton,1888-06-22
88,Fred M. Vinson,1890-01-22
89,Tom C. Clark,1899-09-23
90,Sherman Minton,1890-10-20
91,Earl Warren,1891-03-19
92,John Marshall Harlan II,1899-05-20
93,William J. Brennan Jr.,1906-04-25
94,Charles Evans Whittaker,1901-02-22
95,Potter Stewart,1915-01-23
96,Byron White,1917-06-08
97,Arthur Goldberg,1908-08-08
98,Abe Fortas,1910-06-19
99,Thurgood Marshall,1908-07-02
100,Warren E. Burger,1907-09-17
101,Harry Blackmun,1908-11-12
102,Lewis F. Powell Jr.,1907-09-19
103,William Rehnquist,1924-10-01
104,John Paul Stevens,1920-04-20
105,Sandra Day O'Connor,1930-03-26
106,William Rehnquist,1924-10-01
107,Antonin Scalia,1936-03-11
108,Anthony Kennedy,1936-07-23
109,David Souter,1939-09-17
110,Clarence Thomas,1948-06-23
111,Ruth Bader Ginsburg,1933-03-15
112,Stephen Breyer,1938-08-15
113,John Roberts,1955-01-27
114,Samuel Alito,1950-04-01
115,Sonia Sotomayor,1954-06-25
116,Elena Kagan,1960-04-28
117,Neil Gorsuch,1967-08-29
118,Brett Kavanaugh,1965-02-12
119,Amy Coney Barrett,1972-01-28
120,Ketanji Brown Jackson,1970-09-14
