Congress Number,Name,Link,State,Detail,Start Date,End Date
1,Oliver Ellsworth,https://en.wikipedia.org/wiki/Oliver_Ellsworth,Connecticut,,"March 4, 1789","March 3, 1791"
1,William S. Johnson,https://en.wikipedia.org/wiki/William_Samuel_Johnson,Connecticut,,"March 4, 1789","March 3, 1791"
1,George Read,https://en.wikipedia.org/wiki/George_Read_(signer),Delaware,,"March 4, 1789","March 3, 1791"
1,Richard Bassett,https://en.wikipedia.org/wiki/Richard_Bassett_(Delaware_politician),Delaware,,"March 4, 1789","March 3, 1791"
1,William Few,https://en.wikipedia.org/wiki/William_Few,Georgia,,"March 4, 1789","March 3, 1791"
1,James Gunn,https://en.wikipedia.org/wiki/James_Gunn_(senator),Georgia,,"March 4, 1789","March 3, 1791"
1,Charles Carroll,https://en.wikipedia.org/wiki/Charles_Carroll_of_Carrollton,Maryland,,"March 4, 1789","March 3, 1791"
1,John Henry,https://en.wikipedia.org/wiki/John_Henry_(senator),Maryland,,"March 4, 1789","March 3, 1791"
1,Tristram Dalton,https://en.wikipedia.org/wiki/Tristram_Dalton,Massachusetts,,"March 4, 1789","March 3, 1791"
1,Caleb Strong,https://en.wikipedia.org/wiki/Caleb_Strong,Massachusetts,,"March 4, 1789","March 3, 1791"
1,Paine Wingate,https://en.wikipedia.org/wiki/Paine_Wingate,New Hampshire,,"March 4, 1789","March 3, 1791"
1,John Langdon,https://en.wikipedia.org/wiki/John_Langdon_(politician),New Hampshire,,"March 4, 1789","March 3, 1791"
1,Jonathan Elmer,https://en.wikipedia.org/wiki/Jonathan_Elmer,New Jersey,,"March 4, 1789","March 3, 1791"
1,William Paterson,https://en.wikipedia.org/wiki/William_Paterson_(judge),New Jersey,"until November 13, 1790","March 4, 1789","November 13, 1790"
1,Philemon Dickinson,https://en.wikipedia.org/wiki/Philemon_Dickinson,New Jersey,"from December 6, 1790","December 6, 1790","March 3, 1791"
1,Philip Schuyler,https://en.wikipedia.org/wiki/Philip_Schuyler,New York,"from July 27, 1789","July 27, 1789","March 3, 1791"
