name,state,congress,start_date,end_date
"Bassett, Richard",DE,FIRST Congress,1789-03-04,
"Butler, Pierce",SC,FIRST Congress,1789-03-04,
"Carroll, Charles",MD,FIRST Congress,1789-03-04,
"Dalton, Tristram",MA,FIRST Congress,1789-03-04,
"Ellsworth, Oliver",CT,FIRST Congress,1789-03-04,
"Elmer, Jonathan",NJ,FIRST Congress,1789-03-04,
"Few, William",GA,FIRST Congress,1789-03-04,
"Grayson, William",VA,FIRST Congress,1789-03-04,
"Gunn, James",GA,FIRST Congress,1789-03-04,
"Henry, John",MD,FIRST Congress,1789-03-04,
"Izard, Ralph",SC,FIRST Congress,1789-03-04,
"Johnson, William S.",CT,FIRST Congress,1789-03-04,
"Langdon, John",NH,FIRST Congress,1789-03-04,
"Lee, Richard Henry",VA,FIRST Congress,1789-03-04,
"Maclay, William",PA,FIRST Congress,1789-03-04,
"Morris, Robert",PA,FIRST Congress,1789-03-04,
"Paterson, William",NJ,FIRST Congress,1789-03-04,
"Read, George",DE,FIRST Congress,1789-03-04,
"Schuyler, Philip John",NY,FIRST Congress,1789-03-04,
"Strong, Caleb",MA,FIRST Congress,1789-03-04,
"Wingate, Paine",NH,FIRST Congress,1789-03-04,
"King, Rufus",NY,FIRST Congress,1789-07-16,
"Hawkins, Benjamin",NC,FIRST Congress,1789-12-08,
"Walker, John",VA,FIRST Congress,1790-03-31,
"Foster, Theodore",RI,FIRST Congress,1790-06-12,
"Stanton, Joseph, Jr.",RI,FIRST Congress,1790-06-12,
"Bradley, Stephen R.",VT,SECOND Congress,1791-03-04,
"Burr, Aaron",NY,SECOND Congress,1791-03-04,
"Cabot, George",MA,SECOND Congress,1791-03-04,
"Rutherfurd, John",NJ,SECOND Congress,1791-03-04,
"Sherman, Roger",CT,SECOND Congress,1791-06-13,
"Robinson, Moses",VT,SECOND Congress,1791-10-17,
"Brown, John",KY,SECOND Congress,1792-06-18,
"Edwards, John",KY,SECOND Congress,1792-06-18,
"Taylor, John",VA,SECOND Congress,1792-10-18,
"Potts, Richard",MD,SECOND Congress,1793-01-10,
"Bradford, William",RI,THIRD Congress,1793-03-04,
"Frelinghuysen, Frederick",NJ,THIRD Congress,1793-03-04,
"Jackson, James",GA,THIRD Congress,1793-03-04,
"Livermore, Samuel",NH,THIRD Congress,1793-03-04,
"Martin, Alexander",NC,THIRD Congress,1793-03-04,
"Vining, John",DE,THIRD Congress,1793-03-04,
"Mitchell, Stephen M.",CT,THIRD Congress,1793-12-02,
"Ross, James",PA,THIRD Congress,1794-04-24,
