countrycode,country,year,gdppc,pop,total_gdp,rank
CHN,China,1820,882.0,381000.0,336042000.0,1.0
GBR,United Kingdom,1820,3306.0,21239.0,70216134.0,2.0
FRA,France,1820,1809.1044968870872,31250.0,56534515.52772147,3.0
ITA,Italy,1820,2522.5723369997195,20176.0,50895419.47130634,4.0
DEU,Germany,1820,2041.1140949860194,24905.0,50833946.535626814,5.0
JPN,Japan,1820,1317.0,31000.0,40827000.0,6.0
USA,United States,1820,2674.0480000000002,9981.0,26689673.088000003,7.0
ESP,Spain,1820,1557.9081582883766,12203.0,19011153.25559306,8.0
IDN,Indonesia,1820,827.0,17927.0,14825629.0,9.0
CSK,Czechoslovakia,1820,1353.0,7657.0,10359921.0,10.0
IRL,Ireland,1820,1398.0,7101.0,9927198.0,11.0
TUR,Turkey,1820,974.0,10074.0,9812076.0,12.0
POL,Poland,1820,818.0,10426.0,8528468.0,13.0
BEL,Belgium,1820,2358.0,3434.0,8097372.0,14.0
KOR,Republic of Korea,1820,815.7743010776173,9395.0,7664199.5586242145,15.0
IND,India,1821,937.0,209842.0,196621954.0,1.0
GBR,United Kingdom,1821,3308.0,21551.0,71290708.0,2.0
FRA,France,1821,1951.8643455708705,31460.0,61405652.31165958,3.0
DEU,Germany,1821,2060.627987832256,25260.0,52051462.972642794,4.0
ITA,Italy,1821,2521.5124326564423,20306.0,51201831.45752172,5.0
USA,United States,1821,2715.1872000000003,10299.0,27963712.9728,6.0
ESP,Spain,1821,1578.1992856241748,12284.0,19386600.024607364,7.0
IDN,Indonesia,1821,837.0,18076.0,15129612.0,8.0
NLD,Netherlands,1821,2947.0,2365.0,6969655.0,9.0
PRT,Portugal,1821,1648.1022760475003,3316.0,5465107.1473735105,10.0
SWE,Sweden,1821,1457.0,2598.0,3785286.0,11.0
DNK,Denmark,1821,2104.0,1167.0,2455368.0,12.0
CHL,Chile,1821,805.0,789.0,635145.0,13.0
AUS,Australia,1821,834.0,331.0,276054.0,14.0
GBR,United Kingdom,1822,3315.0,21832.0,72373080.0,1.0
FRA,France,1822,1874.7687119590742,31685.0,59402046.638423264,2.0
DEU,Germany,1822,2045.651248396832,25620.0,52409584.98392683,3.0
ITA,Italy,1822,2521.5124326564423,20437.0,51532149.586199716,4.0
USA,United States,1822,2791.0376,10626.0,29657565.5376,5.0
ESP,Spain,1822,1587.3619448619622,12366.0,19629317.810163025,6.0
IDN,Indonesia,1822,835.0,18226.0,15218710.0,7.0
NLD,Netherlands,1822,2974.0,2400.0,7137600.0,8.0
PRT,Portugal,1822,1636.7555240400002,3335.0,5458579.6726734005,9.0
SWE,Sweden,1822,1465.0,2629.0,3851485.0,10.0
DNK,Denmark,1822,2115.0,1179.0,2493585.0,11.0
CHL,Chile,1822,830.0,807.0,669810.0,12.0
AUS,Australia,1822,858.0,329.0,282282.0,13.0
GBR,United Kingdom,1823,3359.0,22117.0,74291003.0,1.0
FRA,France,1823,1933.7330429497054,31905.0,61695752.735310346,2.0
DEU,Germany,1823,2028.8698271589956,25969.0,52687720.541491956,3.0
ITA,Italy,1823,2520.452528313165,20568.0,51840667.60234518,4.0
USA,United States,1823,2760.1832,10951.0,30226766.2232,5.0
ESP,Spain,1823,1620.3063163030754,12449.0,20171193.331656985,6.0
IDN,Indonesia,1823,837.0,18377.0,15381549.0,7.0
NLD,Netherlands,1823,3121.0,2435.0,7599635.0,8.0
PRT,Portugal,1823,1605.4578428525,3354.0,5384705.604927286,9.0
SWE,Sweden,1823,1449.0,2668.0,3865932.0,10.0
DNK,Denmark,1823,2085.0,1196.0,2493660.0,11.0
CHL,Chile,1823,797.0,826.0,658322.0,12.0
AUS,Australia,1823,886.0,329.0,291494.0,13.0
GBR,United Kingdom,1824,3492.0,22407.0,78245244.0,1.0
FRA,France,1824,1985.8120530268163,32127.0,63798183.82759253,2.0
DEU,Germany,1824,2135.2432933787904,26307.0,56171845.31891584,3.0
ITA,Italy,1824,2532.111476089214,20701.0,52417239.66652282,4.0
USA,United States,1824,2836.0336,11277.0,31981950.9072,5.0
ESP,Spain,1824,1634.338210326048,12532.0,20481526.451806035,6.0
IDN,Indonesia,1824,795.0,18530.0,14731350.0,7.0
NLD,Netherlands,1824,3100.0,2474.0,7669400.0,8.0
PRT,Portugal,1824,1538.1290121470001,3373.0,5188109.157971831,9.0
SWE,Sweden,1824,1487.0,2708.0,4026796.0,10.0
DNK,Denmark,1824,2117.0,1213.0,2567921.0,11.0
CHL,Chile,1824,786.0,845.0,664170.0,12.0
AUS,Australia,1824,936.0,332.0,310752.0,13.0
GBR,United Kingdom,1825,3521.0,22698.0,79919658.0,1.0
FRA,France,1825,1898.2639946956106,32350.0,61408840.228403,2.0
DEU,Germany,1825,2141.0433332888456,26650.0,57058804.83214773,3.0
ITA,Italy,1825,2541.650615178709,20834.0,52952748.91663322,4.0
USA,United States,1825,2897.7424,11602.0,33619607.3248,5.0
ESP,Spain,1825,1472.9402667852032,12615.0,18581141.465495337,6.0
IDN,Indonesia,1825,818.0,18684.0,15283512.0,7.0
NLD,Netherlands,1825,3022.0,2514.0,7597308.0,8.0
PRT,Portugal,1825,1502.63334186875,3393.0,5098434.928960669,9.0
SWE,Sweden,1825,1527.0,2749.0,4197723.0,10.0
DNK,Denmark,1825,2107.0,1228.0,2587396.0,11.0
CHL,Chile,1825,853.0,864.0,736992.0,12.0
AUS,Australia,1825,982.0,333.0,327006.0,13.0
GBR,United Kingdom,1826,3290.0,22996.0,75656840.0,1.0
FRA,France,1826,1948.87349872885,32538.0,63412445.90163933,2.0
DEU,Germany,1826,2144.8382866302395,26964.0,57833419.56069778,3.0
ITA,Italy,1826,2537.4109978056003,20968.0,53204433.80198783,4.0
USA,United States,1826,2918.3120000000004,11928.0,34809625.536000006,5.0
ESP,Spain,1826,1587.3630788847752,12699.0,20157923.73875776,6.0
IDN,Indonesia,1826,867.0,18839.0,16333413.0,7.0
NLD,Netherlands,1826,3068.0,2543.0,7801924.0,8.0
PRT,Portugal,1826,1558.1464885577502,3412.0,5316395.818959043,9.0
SWE,Sweden,1826,1532.0,2788.0,4271216.0,10.0
DNK,Denmark,1826,2110.0,1243.0,2622730.0,11.0
CHL,Chile,1826,885.0,884.0,782340.0,12.0
AUS,Australia,1826,999.0,330.0,329670.0,13.0
GBR,United Kingdom,1827,3499.0,23275.0,81439225.0,1.0
FRA,France,1827,1908.2010280541444,32727.0,62449695.04512799,2.0
DEU,Germany,1827,2100.242817689551,27249.0,57229516.539222576,3.0
ITA,Italy,1827,2529.99166740266,21103.0,53390414.15719833,4.0
USA,United States,1827,2929.8824,12251.0,35893989.2824,5.0
ESP,Spain,1827,1617.0529994590643,12784.0,20672405.545084678,6.0
IDN,Indonesia,1827,874.0,18996.0,16602504.0,7.0
NLD,Netherlands,1827,3250.0,2561.0,8323250.0,8.0
PRT,Portugal,1827,1476.5341154427501,3432.0,5067465.084199519,9.0
SWE,Sweden,1827,1458.0,2816.0,4105728.0,10.0
DNK,Denmark,1827,2150.0,1255.0,2698250.0,11.0
CHL,Chile,1827,904.0,904.0,817216.0,12.0
AUS,Australia,1827,1030.0,328.0,337840.0,13.0
GBR,United Kingdom,1828,3461.0,23560.0,81541160.0,1.0
FRA,France,1828,1896.1698186141543,32917.0,62416221.91932212,2.0
DEU,Germany,1828,2046.0915846166758,27540.0,56349362.24034325,3.0
ITA,Italy,1828,2523.6322413429966,21239.0,53599425.17388391,4.0
USA,United States,1828,2929.8824,12581.0,36860850.4744,5.0
ESP,Spain,1828,1607.2123225885048,12869.0,20683215.37939147,6.0
IDN,Indonesia,1828,858.0,19154.0,16434132.0,7.0
NLD,Netherlands,1828,3319.0,2585.0,8579615.0,8.0
PRT,Portugal,1828,1490.422637431,3452.0,5144938.944411812,9.0
SWE,Sweden,1828,1486.0,2837.0,4215782.0,10.0
DNK,Denmark,1828,2163.0,1265.0,2736195.0,11.0
CHL,Chile,1828,910.0,924.0,840840.0,12.0
AUS,Australia,1828,1057.0,326.0,344582.0,13.0
GBR,United Kingdom,1829,3443.0,23847.0,82105221.0,1.0
FRA,France,1829,1945.7480848302057,33108.0,64419827.59255845,2.0
DEU,Germany,1829,2069.0475007781224,27807.0,57534003.85413725,3.0
ITA,Italy,1829,2516.212910940056,21376.0,53786567.18425464,4.0
USA,United States,1829,2833.4624000000003,12906.0,36568665.734400004,5.0
ESP,Spain,1829,1636.2802459794266,12955.0,21198010.58666347,6.0
IDN,Indonesia,1829,834.0,19313.0,16107042.0,7.0
NLD,Netherlands,1829,3325.0,2610.0,8678250.0,8.0
PRT,Portugal,1829,1646.8715092375,3472.0,5717937.8800726,9.0
SWE,Sweden,1829,1506.0,2855.0,4299630.0,10.0
DNK,Denmark,1829,2110.0,1270.0,2679700.0,11.0
CHL,Chile,1829,932.0,944.0,879808.0,12.0
AUS,Australia,1829,1114.0,326.0,363164.0,13.0
CHN,China,1830,846.0,409000.0,346014000.0,1.0
GBR,United Kingdom,1830,3550.0,24139.0,85693450.0,2.0
FRA,France,1830,1898.150727629452,33300.0,63208419.23006075,3.0
DEU,Germany,1830,2044.5804429799675,28045.0,57340258.52337319,4.0
ITA,Italy,1830,2513.0331979102248,21513.0,54062883.18664267,5.0
USA,United States,1830,3039.1584000000003,13240.0,40238457.216000006,6.0
ESP,Spain,1830,1662.3563829071156,13041.0,21678789.589491695,7.0
IDN,Indonesia,1830,822.0,19473.0,16006806.0,8.0
NLD,Netherlands,1830,3038.0,2633.0,7999054.0,9.0
AUT,Austria,1830,2230.0,3538.0,7889740.0,10.0
PRT,Portugal,1830,1721.0172629649999,3491.0,6008071.265010814,11.0
SWE,Sweden,1830,1468.0,2876.0,4221968.0,12.0
DNK,Denmark,1830,2120.0,1273.0,2698760.0,13.0
CAN,Canada,1830,1594.0,1169.0,1863386.0,14.0
NOR,Norway,1830,1441.0,1124.0,1619684.0,15.0
IND,India,1831,945.0,218453.0,206438085.0,1.0
GBR,United Kingdom,1831,3545.0,24433.0,86614985.0,2.0
FRA,France,1831,1924.7241584020235,33439.0,64360851.132805265,3.0
