president,num_rel,num_abs,year,exec_order_signed_date,title
William McKinley,1,97,1897,"April 24, 1897",Authorizing Appointment of Assistant Attorney General in Post Office Department Without Examination
William McKinley,2,98,1897,"May 24, 1897",Authorizing Appointment of Law Clerk in Post Office Department Without Examination
William McKinley,3,99,1897,"July 15, 1897",Consular Regulations Amended to Waive the Requirement of Personal Appearance of Shippers at Consulates for the Invoice Declaration
William McKinley,4,100,1897,"July 27, 1897",Revising the Tariff of Consular Fees
William McKinley,5,101,1897,"July 27, 1897",Amending Civil Service Rules Regarding Removal from Service
William McKinley,6,102,1897,"July 27, 1897",Amending Civil Service Rules to Include All Customs Houses in Classified Service
William McKinley,7,103,1897,"July 27, 1897",Amending Civil Service Rules Regarding Positions Excepted from Examination
William McKinley,8,104,1898,"May 13, 1898",Amending Civil Service Rules Regarding Eligibility After Being Mustered into Military or Naval Service
William McKinley,9,105,1898,"June 15, 1898",Amending Civil Service Rules Making Certain Positions in Government Printing Office Subject to Apportionment
William McKinley,10,106,1898,"July 6, 1898",Requesting the Nation to Give Thanks for War Victories
William McKinley,11,106-1,1898,"August 6, 1898","Ordering the Permanent Marking of Graves of U.S. Soldiers at Santiago, Cuba"
William McKinley,12,106½,1898,"August 26, 1898",Compensation of Consular Agents
William McKinley,13,107,1898,"September 7, 1898","Relatives, Employed by Government, of 1st District of Columbia Regiment of Volunteers Excused from Duty on Day Regiment Returns to Washington"
William McKinley,14,108,1898,"October 10, 1898",Amending Consular Regulations Pertaining to Accounts of Consular Agents
William McKinley,15,108-A,1898,"December 23, 1898",Placing the Island of Guam Under the Control of the Navy Department
William McKinley,16,109,1898,"December 29, 1898",Closing Executive Departments for Funeral of Senator Morrill
William McKinley,17,110,1898,"December 31, 1898",Voiding the Contract Between the Republic of Hawaii and the Pacific Cable Co. of New York
William McKinley,18,111,1899,"January 20, 1899","Authorizing Permanent Appointment of Certain Navy Department Personnel Temporarily Appointed Before September 15, 1898"
William McKinley,19,112,1899,"February 8, 1899",Consideration of Half-Holiday for Grand Army of the Republic Members During Removal of Remains of John A. Rawlins to Arlington
William McKinley,20,113,1899,"February 8, 1899",Ordering Half-Masting of Flag During Removal of Remains of John A. Rawlins to Arlington
William McKinley,21,114,1899,"April 3, 1899","Ordering Tribute for Spanish–American War Dead, and Interment at Arlington National Cemetery on April 6, 1899"
William McKinley,22,115,1899,"April 18, 1899",Amending Civil Service Rules to Except One Foreman of Job Division in Government Printing Service from Examination
William McKinley,23,116,1899,"May 13, 1899",Directing that the General Election Provided For by the Constitution of the Republic of Hawaii to Not Be Held
William McKinley,24,117,1899,"May 23, 1899",Government Employees Excused from Duty for Participation in Peace Jubilee
William McKinley,25,118,1899,"May 27, 1899","Permit for Cable from Borkum-Emden, Germany, to New York, N.Y., Granted to Deutsch-Atlantische Telegraphen Gesellschaft"
William McKinley,26,119,1899,"May 29, 1899",Amending Civil Service Rules
William McKinley,27,120,1899,"June 6, 1899",Amending Civil Service Rules to Reinsert Position Excepted from Examination
William McKinley,28,121,1899,"September 11, 1899",Annulling Sales of Public Lands by Government of Hawaii Made After Resolution of Annexation
William McKinley,29,122,1899,"September 18, 1899",Discontinuing Issuance of Registers to Vessels by the Authorities of Hawaii
William McKinley,30,123,1900,"January 15, 1900",Amending Civil Service Rules Regarding Reinstatement of Certain Post Office Employees
William McKinley,31,124,1900,"January 22, 1900",Amending Civil Service Rules to Except Clerk at Government Hospital for the Insane from Examination
William McKinley,32,125,1900,"January 29, 1900",Amending Civil Service Rules Regarding Promotion of War Veterans
William McKinley,33,125-A,1900,"February 19, 1900",Placing Certain Islands of the Samoan Group Under the Control of the Navy Department
William McKinley,34,126,1900,"March 16, 1900",Amending Civil Service Rules Regarding Retransfer of Certain People from Unclassified to Classified Service
William McKinley,35,127,1900,"March 16, 1900",Amending Civil Service Rules Regarding Transfer from Expected to Non-Expected Positions
William McKinley,36,128,1900,"March 29, 1900",Amending Civil Service Rules Regarding Age Limitation
William McKinley,37,129,1900,"April 17, 1900",Amending Civil Service Rules Regarding Transfer from Expected to Non-Expected Positions
William McKinley,38,130,1900,"May 24, 1900",Amending Civil Service Rules With Special rule Permitting Certain Navy employees to be Transferred as Civilians
William McKinley,39,130-A,1900,"June 22, 1900",Approving Franchise Granted by Republic of Hawaii to First American Bank of Hawaii
William McKinley,40,130-B,1900,"June 22, 1900",Approving Franchise Granted by Republic of Hawaii to Hilo Railroad Company
William McKinley,41,130-C,1900,"June 22, 1900",Approving Franchise Granted by Republic of Hawaii to Kohala and Hilo Railroad Company
William McKinley,42,130-D,1900,"June 25, 1900",Approving franchise Granted by Republic of Hawaii to Honolulu Rapid Transit and Land Company
William McKinley,43,131,1900,"June 29, 1900",Amending Civil Service Rules to Except All Paymasters' Clerks from Examination
William McKinley,44,132,1900,"July 13, 1900",Consular Court Fees and fines Made Official
William McKinley,45,133,1900,"November 20, 1900",Amending Civil Service Rules Regarding Exceptions from Examination for Draftsmen in Navy Department
William McKinley,46,134,1900,"November 30, 1900",Civil Service Commission Directed to Assist Philippine Civil Service Board
William McKinley,47,135,1901,"January 31, 1901",Amending Consular Regulations Regarding Expiration of Passports
William McKinley,48,136,1901,"February 26, 1901",Amending Civil Service Rules Regarding Age Limitations in Light-House Service
William McKinley,49,137,1901,"March 2, 1901",Amending Civil Service Rules to Except Chinese Interpreters in Treasury Department from Examination'
William McKinley,50,138,1901,"March 25, 1901",Providing that Fees be Collected for Bills of Health Issued to Foreign War Vessels
William McKinley,51,139,1901,"April 6, 1901",Granting Half-Holiday for Civil War and Spanish-American War Veterans in Government Service to Attend Ceremonies Honoring General John A. Logan
William McKinley,52,140,1901,"July 31, 1901",Amending Civil Service Rules Regarding Age Limitations in Post Office Service
Theodore Roosevelt,1,141,1901,"October 31, 1901",Authorizing Appointment of Clerk in Pension Agency in Philadelphia Without Examination
Theodore Roosevelt,2,142,1901,"November 1, 1901",Authorizing Appointment of Steward in White House Without Examination
Theodore Roosevelt,3,143,1901,"November 6, 1901",Authorizing Appointment of Coachman in Navy Department Without Examination
Theodore Roosevelt,4,144,1901,"November 18, 1901",Amending Civil Service Rules to Make Certain United States Army Positions Subject to Classification
Theodore Roosevelt,5,145,1901,"November 26, 1901",Amending Civil Service Rules Permitting Superintendents of Indian Training Schools to be Classified
Theodore Roosevelt,6,146,1901,"November 26, 1901",Amending Civil Service Rules Regarding Wavier of Apportionment Provisions for Transfers
Theodore Roosevelt,7,147,1901,"November 27, 1901",Amending Civil Service Rules Regarding Classification of Post Office Personnel
Theodore Roosevelt,8,148,1901,"December 11, 1901",Prescribing Procedure for Dismissal of Persons in Violation of Civil Service Act or Rules
