term,president,day,num_exec_orders,cum_exec_orders
25,William McKinley,0,0,0
26,Theodore Roosevelt,0,0,0
27,William Howard Taft,0,0,0
28,Woodrow Wilson,0,0,0
29,Warren G. Harding,0,0,0
30,Calvin Coolidge,0,0,0
31,Herbert Hoover,0,0,0
32,Franklin D. Roosevelt,0,0,0
33,Harry S. Truman,0,0,0
34,Dwight D. Eisenhower,0,0,0
35,John F. Kennedy,0,0,0
36,Lyndon B. Johnson,0,0,0
37,Richard Nixon,0,0,0
38,Gerald Ford,0,0,0
39,Jimmy Carter,0,0,0
40,Ronald Reagan,0,0,0
41,George H. W. Bush,0,0,0
42,Bill Clinton,0,0,0
43,George W. Bush,0,0,0
44,Barack Obama,0,0,0
45,Donald Trump – I,0,0,0
46,Joe Biden,0,0,0
47,Donald Trump – II,0,0,0
25,William McKinley,1,0,0
25,William McKinley,2,0,0
25,William McKinley,3,0,0
25,William McKinley,4,0,0
25,William McKinley,5,0,0
25,William McKinley,6,0,0
25,William McKinley,7,0,0
25,William McKinley,8,0,0
25,William McKinley,9,0,0
25,William McKinley,10,0,0
25,William McKinley,11,0,0
25,William McKinley,12,0,0
25,William McKinley,13,0,0
25,William McKinley,14,0,0
25,William McKinley,15,0,0
25,William McKinley,16,0,0
25,William McKinley,17,0,0
25,William McKinley,18,0,0
25,William McKinley,19,0,0
25,William McKinley,20,0,0
25,William McKinley,21,0,0
25,William McKinley,22,0,0
25,William McKinley,23,0,0
25,William McKinley,24,0,0
25,William McKinley,25,0,0
25,William McKinley,26,0,0
25,William McKinley,27,0,0
25,William McKinley,28,0,0
25,William McKinley,29,0,0
25,William McKinley,30,0,0
25,William McKinley,31,0,0
25,William McKinley,32,0,0
25,William McKinley,33,0,0
25,William McKinley,34,0,0
25,William McKinley,35,0,0
25,William McKinley,36,0,0
25,William McKinley,37,0,0
25,William McKinley,38,0,0
25,William McKinley,39,0,0
25,William McKinley,40,0,0
25,William McKinley,41,0,0
25,William McKinley,42,0,0
25,William McKinley,43,0,0
25,William McKinley,44,0,0
25,William McKinley,45,0,0
25,William McKinley,46,0,0
25,William McKinley,47,0,0
25,William McKinley,48,0,0
25,William McKinley,49,0,0
25,William McKinley,50,0,0
26,Theodore Roosevelt,1,0,0
26,Theodore Roosevelt,2,0,0
26,Theodore Roosevelt,3,0,0
26,Theodore Roosevelt,4,0,0
26,Theodore Roosevelt,5,0,0
26,Theodore Roosevelt,6,0,0
26,Theodore Roosevelt,7,0,0
26,Theodore Roosevelt,8,0,0
26,Theodore Roosevelt,9,0,0
26,Theodore Roosevelt,10,0,0
26,Theodore Roosevelt,11,0,0
26,Theodore Roosevelt,12,0,0
26,Theodore Roosevelt,13,0,0
26,Theodore Roosevelt,14,0,0
26,Theodore Roosevelt,15,0,0
26,Theodore Roosevelt,16,0,0
26,Theodore Roosevelt,17,0,0
26,Theodore Roosevelt,18,0,0
26,Theodore Roosevelt,19,0,0
26,Theodore Roosevelt,20,0,0
26,Theodore Roosevelt,21,0,0
26,Theodore Roosevelt,22,0,0
26,Theodore Roosevelt,23,0,0
26,Theodore Roosevelt,24,0,0
26,Theodore Roosevelt,25,0,0
26,Theodore Roosevelt,26,0,0
26,Theodore Roosevelt,27,0,0
26,Theodore Roosevelt,28,0,0
26,Theodore Roosevelt,29,0,0
26,Theodore Roosevelt,30,0,0
26,Theodore Roosevelt,31,0,0
26,Theodore Roosevelt,32,0,0
26,Theodore Roosevelt,33,0,0
26,Theodore Roosevelt,34,0,0
26,Theodore Roosevelt,35,0,0
26,Theodore Roosevelt,36,0,0
26,Theodore Roosevelt,37,0,0
26,Theodore Roosevelt,38,0,0
26,Theodore Roosevelt,39,0,0
26,Theodore Roosevelt,40,0,0
26,Theodore Roosevelt,41,0,0
26,Theodore Roosevelt,42,0,0
26,Theodore Roosevelt,43,0,0
26,Theodore Roosevelt,44,0,0
26,Theodore Roosevelt,45,0,0
26,Theodore Roosevelt,46,0,0
26,Theodore Roosevelt,47,0,0
26,Theodore Roosevelt,48,1,1
26,Theodore Roosevelt,49,1,2
26,Theodore Roosevelt,50,0,2
27,William Howard Taft,1,0,0
27,William Howard Taft,2,0,0
27,William Howard Taft,3,0,0
27,William Howard Taft,4,0,0
27,William Howard Taft,5,0,0
27,William Howard Taft,6,0,0
27,William Howard Taft,7,0,0
27,William Howard Taft,8,0,0
27,William Howard Taft,9,0,0
27,William Howard Taft,10,0,0
