id,laureate,country,country_code,year,link_pic,link_name
1,Henry Dunant,Switzerland,CHE,1901,https://en.wikipedia.org/wiki/File:Jean_Henri_Dunant_(3x4_cropped).jpg,https://en.wikipedia.org/wiki/Henry_Dunant
2,Élie Ducommun,Switzerland,CHE,1902,https://en.wikipedia.org/wiki/File:Ducommun.jpg,https://en.wikipedia.org/wiki/%C3%89lie_Ducommun
3,William Randal Cremer,United Kingdom,GBR,1903,https://en.wikipedia.org/wiki/File:Cremer.jpg,https://en.wikipedia.org/wiki/Randal_Cremer
4,Institute of International Law,Belgium,BEL,1904,https://en.wikipedia.org/wiki/File:Logo_of_Institut_de_Droit_International.svg,https://en.wikipedia.org/wiki/Institut_de_Droit_International
5,Bertha von Suttner,Austria,AUT,1905,https://en.wikipedia.org/wiki/File:Bertha_von_Suttner_nobel.jpg,https://en.wikipedia.org/wiki/Bertha_von_Suttner
6,Theodore Roosevelt,United States,USA,1906,https://en.wikipedia.org/wiki/File:Theodore_Roosevelt_by_the_Pach_Bros_(4x5_cropped).jpg,https://en.wikipedia.org/wiki/Theodore_Roosevelt
7,Ernesto Teodoro Moneta,Italy,ITA,1907,https://en.wikipedia.org/wiki/File:Ernesto_Teodoro_Moneta.jpg,https://en.wikipedia.org/wiki/Ernesto_Teodoro_Moneta
8,Klas Pontus Arnoldson,Sweden,SWE,1908,https://en.wikipedia.org/wiki/File:KParnoldson.jpg,https://en.wikipedia.org/wiki/Klas_Pontus_Arnoldson
9,Auguste Beernaert,Belgium,BEL,1909,https://en.wikipedia.org/wiki/File:Beernaert.gif,https://en.wikipedia.org/wiki/Auguste_Beernaert
10,Permanent International Peace Bureau,Switzerland,CHE,1910,https://en.wikipedia.org/wiki/File:IPB_logo.svg,https://en.wikipedia.org/wiki/International_Peace_Bureau
11,Tobias Asser,Netherlands,NLD,1911,https://en.wikipedia.org/wiki/File:TMCasser.jpg,https://en.wikipedia.org/wiki/Tobias_Asser
12,Elihu Root,United States,USA,1912,"https://en.wikipedia.org/wiki/File:Elihu_Root,_1845-1937,_bust_portrait,_facing_left.jpg",https://en.wikipedia.org/wiki/Elihu_Root
13,Henri La Fontaine,Belgium,BEL,1913,https://en.wikipedia.org/wiki/File:HenriLaFontaine.jpg,https://en.wikipedia.org/wiki/Henri_La_Fontaine
14,International Committee of the Red Cross,Switzerland,CHE,1917,https://en.wikipedia.org/wiki/File:Emblem_of_the_ICRC.svg,https://en.wikipedia.org/wiki/International_Committee_of_the_Red_Cross
15,Woodrow Wilson,United States,USA,1919,"https://en.wikipedia.org/wiki/File:Thomas_Woodrow_Wilson,_Harris_%26_Ewing_bw_photo_portrait,_1919_(cropped_3x4).jpg",https://en.wikipedia.org/wiki/Woodrow_Wilson
16,Léon Bourgeois,France,FRA,1920,https://en.wikipedia.org/wiki/File:L%C3%A9on_Bourgeois_1917.jpg,https://en.wikipedia.org/wiki/L%C3%A9on_Bourgeois
17,Hjalmar Branting,Sweden,SWE,1921,https://en.wikipedia.org/wiki/File:Hjalmar_branting_stor_bild.jpg,https://en.wikipedia.org/wiki/Hjalmar_Branting
18,Fridtjof Nansen,Norway,NOR,1922,https://en.wikipedia.org/wiki/File:Fridtjof_Nansen_LOC_03377u-3.jpg,https://en.wikipedia.org/wiki/Fridtjof_Nansen
19,Sir Austen Chamberlain,United Kingdom,GBR,1925,https://en.wikipedia.org/wiki/File:Austen_Chamberlain_nobel.jpg,https://en.wikipedia.org/wiki/Austen_Chamberlain
20,Aristide Briand,France,FRA,1926,https://en.wikipedia.org/wiki/File:Aristide_Briand_2.jpg,https://en.wikipedia.org/wiki/Aristide_Briand
21,Ferdinand Buisson,France,FRA,1927,https://en.wikipedia.org/wiki/File:Ferdinand_Buisson_1924.jpg,https://en.wikipedia.org/wiki/Ferdinand_Buisson
22,Frank Billings Kellogg,United States,USA,1929,https://en.wikipedia.org/wiki/File:Portrait_of_Frank_B._Kellogg_(3x4_cropped).jpg,https://en.wikipedia.org/wiki/Frank_B._Kellogg
23,Nathan Söderblom,Sweden,SWE,1930,https://en.wikipedia.org/wiki/File:Nathan_S%C3%B6derblom_nobel.jpg,https://en.wikipedia.org/wiki/Nathan_S%C3%B6derblom
24,Jane Addams,United States,USA,1931,https://en.wikipedia.org/wiki/File:Jane_Addams_profile_(cropped).jpg,https://en.wikipedia.org/wiki/Jane_Addams
25,Sir Norman Angell,United Kingdom,GBR,1933,https://en.wikipedia.org/wiki/File:Norman_Angell_01.jpg,https://en.wikipedia.org/wiki/Norman_Angell
26,Arthur Henderson,United Kingdom,GBR,1934,https://en.wikipedia.org/wiki/File:1910_Arthur_Henderson.jpg,https://en.wikipedia.org/wiki/Arthur_Henderson
27,Carl von Ossietzky,Germany,DEU,1935,https://en.wikipedia.org/wiki/File:Carl_von_Ossietzky.jpg,https://en.wikipedia.org/wiki/Carl_von_Ossietzky
28,Carlos Saavedra Lamas,Argentina,ARG,1936,https://en.wikipedia.org/wiki/File:Carlos_Saavedra_Lamas.jpg,https://en.wikipedia.org/wiki/Carlos_Saavedra_Lamas
29,The Viscount Cecil of Chelwood,United Kingdom,GBR,1937,https://en.wikipedia.org/wiki/File:Lord_Robert_Cecil.jpg,"https://en.wikipedia.org/wiki/Robert_Cecil,_1st_Viscount_Cecil_of_Chelwood"
30,Nansen International Office for Refugees,United Nations,UN,1938,https://en.wikipedia.org/wiki/File:BLANK_ICON.png,https://en.wikipedia.org/wiki/Office_international_Nansen_pour_les_r%C3%A9fugi%C3%A9s
