president,num_rel,num_abs,year,exec_order_signed_date,title,start_date,num,days_in_office
William McKinley,1,97,1897,1897-04-24,Authorizing Appointment of Assistant Attorney General in Post Office Department Without Examination,1897-03-04,25,52
William McKinley,2,98,1897,1897-05-24,Authorizing Appointment of Law Clerk in Post Office Department Without Examination,1897-03-04,25,82
William McKinley,3,99,1897,1897-07-15,Consular Regulations Amended to Waive the Requirement of Personal Appearance of Shippers at Consulates for the Invoice Declaration,1897-03-04,25,134
William McKinley,4,100,1897,1897-07-27,Revising the Tariff of Consular Fees,1897-03-04,25,146
William McKinley,5,101,1897,1897-07-27,Amending Civil Service Rules Regarding Removal from Service,1897-03-04,25,146
William McKinley,6,102,1897,1897-07-27,Amending Civil Service Rules to Include All Customs Houses in Classified Service,1897-03-04,25,146
William McKinley,7,103,1897,1897-07-27,Amending Civil Service Rules Regarding Positions Excepted from Examination,1897-03-04,25,146
William McKinley,8,104,1898,1898-05-13,Amending Civil Service Rules Regarding Eligibility After Being Mustered into Military or Naval Service,1897-03-04,25,436
William McKinley,9,105,1898,1898-06-15,Amending Civil Service Rules Making Certain Positions in Government Printing Office Subject to Apportionment,1897-03-04,25,469
William McKinley,10,106,1898,1898-07-06,Requesting the Nation to Give Thanks for War Victories,1897-03-04,25,490
William McKinley,11,106-1,1898,1898-08-06,"Ordering the Permanent Marking of Graves of U.S. Soldiers at Santiago, Cuba",1897-03-04,25,521
William McKinley,12,106½,1898,1898-08-26,Compensation of Consular Agents,1897-03-04,25,541
William McKinley,13,107,1898,1898-09-07,"Relatives, Employed by Government, of 1st District of Columbia Regiment of Volunteers Excused from Duty on Day Regiment Returns to Washington",1897-03-04,25,553
William McKinley,14,108,1898,1898-10-10,Amending Consular Regulations Pertaining to Accounts of Consular Agents,1897-03-04,25,586
William McKinley,15,108-A,1898,1898-12-23,Placing the Island of Guam Under the Control of the Navy Department,1897-03-04,25,660
William McKinley,16,109,1898,1898-12-29,Closing Executive Departments for Funeral of Senator Morrill,1897-03-04,25,666
William McKinley,17,110,1898,1898-12-31,Voiding the Contract Between the Republic of Hawaii and the Pacific Cable Co. of New York,1897-03-04,25,668
William McKinley,18,111,1899,1899-01-20,"Authorizing Permanent Appointment of Certain Navy Department Personnel Temporarily Appointed Before September 15, 1898",1897-03-04,25,688
William McKinley,19,112,1899,1899-02-08,Consideration of Half-Holiday for Grand Army of the Republic Members During Removal of Remains of John A. Rawlins to Arlington,1897-03-04,25,707
William McKinley,20,113,1899,1899-02-08,Ordering Half-Masting of Flag During Removal of Remains of John A. Rawlins to Arlington,1897-03-04,25,707
William McKinley,21,114,1899,1899-04-03,"Ordering Tribute for Spanish–American War Dead, and Interment at Arlington National Cemetery on April 6, 1899",1897-03-04,25,761
William McKinley,22,115,1899,1899-04-18,Amending Civil Service Rules to Except One Foreman of Job Division in Government Printing Service from Examination,1897-03-04,25,776
William McKinley,23,116,1899,1899-05-13,Directing that the General Election Provided For by the Constitution of the Republic of Hawaii to Not Be Held,1897-03-04,25,801
William McKinley,24,117,1899,1899-05-23,Government Employees Excused from Duty for Participation in Peace Jubilee,1897-03-04,25,811
William McKinley,25,118,1899,1899-05-27,"Permit for Cable from Borkum-Emden, Germany, to New York, N.Y., Granted to Deutsch-Atlantische Telegraphen Gesellschaft",1897-03-04,25,815
William McKinley,26,119,1899,1899-05-29,Amending Civil Service Rules,1897-03-04,25,817
William McKinley,27,120,1899,1899-06-06,Amending Civil Service Rules to Reinsert Position Excepted from Examination,1897-03-04,25,825
William McKinley,28,121,1899,1899-09-11,Annulling Sales of Public Lands by Government of Hawaii Made After Resolution of Annexation,1897-03-04,25,922
William McKinley,29,122,1899,1899-09-18,Discontinuing Issuance of Registers to Vessels by the Authorities of Hawaii,1897-03-04,25,929
William McKinley,30,123,1900,1900-01-15,Amending Civil Service Rules Regarding Reinstatement of Certain Post Office Employees,1897-03-04,25,1048
William McKinley,31,124,1900,1900-01-22,Amending Civil Service Rules to Except Clerk at Government Hospital for the Insane from Examination,1897-03-04,25,1055
