president,num,party,start_date,end_date,order_number_range
George Washington,1,Independent,1789-04-30,1797-03-04,
John Adams,2,Federalist,1797-03-04,1801-03-04,
Thomas Jefferson,3,Democratic-Republican,1801-03-04,1809-03-04,
James Madison,4,Democratic-Republican,1809-03-04,1817-03-04,
James Monroe,5,Democratic-Republican,1817-03-04,1825-03-04,
John Quincy Adams,6,Democratic-Republican,1825-03-04,1829-03-04,
Andrew Jackson,7,Democratic,1829-03-04,1837-03-04,https://en.wikipedia.org/wiki/List_of_executive_actions_by_Andrew_Jackson
Martin Van Buren,8,Democratic,1837-03-04,1841-03-04,
William Henry Harrison,9,Whig,1841-03-04,1841-04-04,
John Tyler,10,Whig,1841-04-04,1845-03-04,
James K. Polk,11,Democratic,1845-03-04,1849-03-04,
Zachary Taylor,12,Whig,1849-03-04,1850-07-09,
Millard Fillmore,13,Whig,1850-07-09,1853-03-04,
Franklin Pierce,14,Democratic,1853-03-04,1857-03-04,
James Buchanan,15,Democratic,1857-03-04,1861-03-04,
Abraham Lincoln,16,Republican,1861-03-04,1865-04-15,
Andrew Johnson,17,Democratic,1865-04-15,1869-03-04,
Ulysses S. Grant,18,Republican,1869-03-04,1877-03-04,
Rutherford B. Hayes,19,Republican,1877-03-04,1881-03-04,
James A. Garfield,20,Republican,1881-03-04,1881-09-19,
Chester A. Arthur,21,Republican,1881-09-19,1885-03-04,
Grover Cleveland – I,22,Democratic,1885-03-04,1889-03-04,
Benjamin Harrison,23,Republican,1889-03-04,1893-03-04,
Grover Cleveland – II,24,Democratic,1893-03-04,1897-03-04,
William McKinley,25,Republican,1897-03-04,1901-09-14,https://en.wikipedia.org/wiki/List_of_executive_actions_by_William_McKinley
Theodore Roosevelt,26,Republican,1901-09-14,1909-03-04,https://en.wikipedia.org/wiki/List_of_executive_actions_by_Theodore_Roosevelt
William Howard Taft,27,Republican,1909-03-04,1913-03-04,https://en.wikipedia.org/wiki/List_of_executive_actions_by_William_Howard_Taft
Woodrow Wilson,28,Democratic,1913-03-04,1921-03-04,https://en.wikipedia.org/wiki/List_of_executive_actions_by_Woodrow_Wilson
Warren G. Harding,29,Republican,1921-03-04,1923-08-02,https://en.wikipedia.org/wiki/List_of_executive_actions_by_Warren_G._Harding
Calvin Coolidge,30,Republican,1923-08-02,1929-03-04,https://en.wikipedia.org/wiki/List_of_executive_actions_by_Calvin_Coolidge
Herbert Hoover,31,Republican,1929-03-04,1933-03-04,https://en.wikipedia.org/wiki/List_of_executive_actions_by_Herbert_Hoover
Franklin D. Roosevelt,32,Democratic,1933-03-04,1945-04-12,https://en.wikipedia.org/wiki/List_of_executive_actions_by_Franklin_D._Roosevelt
Harry S. Truman,33,Democratic,1945-04-12,1953-01-20,https://en.wikipedia.org/wiki/List_of_executive_actions_by_Harry_S._Truman
Dwight D. Eisenhower,34,Republican,1953-01-20,1961-01-20,https://en.wikipedia.org/wiki/List_of_executive_actions_by_Dwight_D._Eisenhower
John F. Kennedy,35,Democratic,1961-01-20,1963-11-22,https://en.wikipedia.org/wiki/List_of_executive_actions_by_John_F._Kennedy
Lyndon B. Johnson,36,Democratic,1963-11-22,1969-01-20,https://en.wikipedia.org/wiki/List_of_executive_actions_by_Lyndon_B._Johnson
Richard Nixon,37,Republican,1969-01-20,1974-08-09,https://en.wikipedia.org/wiki/List_of_executive_actions_by_Richard_Nixon
Gerald Ford,38,Republican,1974-08-09,1977-01-20,https://en.wikipedia.org/wiki/List_of_executive_actions_by_Gerald_Ford
Jimmy Carter,39,Democratic,1977-01-20,1981-01-20,https://en.wikipedia.org/wiki/List_of_executive_actions_by_Jimmy_Carter
Ronald Reagan,40,Republican,1981-01-20,1989-01-20,https://en.wikipedia.org/wiki/List_of_executive_actions_by_Ronald_Reagan
George H. W. Bush,41,Republican,1989-01-20,1993-01-20,https://en.wikipedia.org/wiki/List_of_executive_actions_by_George_H._W._Bush
Bill Clinton,42,Democratic,1993-01-20,2001-01-20,https://en.wikipedia.org/wiki/List_of_executive_actions_by_Bill_Clinton
George W. Bush,43,Republican,2001-01-20,2009-01-20,https://en.wikipedia.org/wiki/List_of_executive_actions_by_George_W._Bush
Barack Obama,44,Democratic,2009-01-20,2017-01-20,https://en.wikipedia.org/wiki/List_of_executive_actions_by_Barack_Obama
Donald Trump – I,45,Republican,2017-01-20,2021-01-20,https://en.wikipedia.org/wiki/List_of_executive_orders_in_the_first_presidency_of_Donald_Trump
Joe Biden,46,Democratic,2021-01-20,2025-01-20,https://en.wikipedia.org/wiki/List_of_executive_actions_by_Joe_Biden
Donald Trump – II,47,Republican,2025-01-20,,https://en.wikipedia.org/wiki/List_of_executive_orders_in_the_second_presidency_of_Donald_Trump
