id,name,hex_code
1,Bulbasaur,#78C850
2,Ivysaur,#78C850
3,Venusaur,#78C850
4,Charmander,#F08030
5,Charmeleon,#F08030
6,Charizard,#F08030
7,Squirtle,#6890F0
8,Wartortle,#6890F0
9,Blastoise,#6890F0
10,Caterpie,#A8B820
11,Metapod,#A8B820
12,Butterfree,#A8B820
13,Weedle,#A8B820
14,Kakuna,#A8B820
15,Beedrill,#A8B820
16,Pidgey,#A89078
17,Pidgeotto,#A89078
18,Pidgeot,#A89078
19,Rattata,#A89078
20,Raticate,#A89078
21,Spearow,#A89078
22,Fearow,#A89078
23,Ekans,#A040A0
24,Arbok,#A040A0
25,Pikachu,#F8D030
26,Raichu,#F8D030
27,Sandshrew,#E0C068
28,Sandslash,#E0C068
29,Nidoran♀,#A040A0
30,Nidorina,#A040A0
31,Nidoqueen,#A040A0
32,Nidoran♂,#A040A0
33,Nidorino,#A040A0
34,Nidoking,#A040A0
35,Clefairy,#F8A8B8
36,Clefable,#F8A8B8
37,Vulpix,#F08030
38,Ninetales,#F08030
39,Jigglypuff,#F8A8B8
40,Wigglytuff,#F8A8B8
41,Zubat,#705898
42,Golbat,#705898
43,Oddish,#78C850
44,Gloom,#78C850
45,Vileplume,#78C850
46,Paras,#A8B820
47,Parasect,#A8B820
48,Venonat,#A040A0
49,Venomoth,#A040A0
50,Diglett,#E0C068
51,Dugtrio,#E0C068
52,Meowth,#A89078
53,Persian,#A89078
54,Psyduck,#6890F0
55,Golduck,#6890F0
56,Mankey,#A89078
57,Primeape,#A89078
58,Growlithe,#F08030
59,Arcanine,#F08030
60,Poliwag,#6890F0
61,Poliwhirl,#6890F0
62,Poliwrath,#6890F0
63,Abra,#A040A0
64,Kadabra,#A040A0
65,Alakazam,#A040A0
66,Machop,#A89078
67,Machoke,#A89078
68,Machamp,#A89078
69,Bellsprout,#78C850
70,Weepinbell,#78C850
71,Victreebel,#78C850
72,Tentacool,#6890F0
73,Tentacruel,#6890F0
74,Geodude,#B8A038
75,Graveler,#B8A038
76,Golem,#B8A038
77,Ponyta,#F08030
78,Rapidash,#F08030
79,Slowpoke,#A89078
80,Slowbro,#A89078
81,Magnemite,#B8B8D0
82,Magneton,#B8B8D0
83,Farfetch'd,#A89078
84,Doduo,#A89078
85,Dodrio,#A89078
86,Seel,#B8B8D0
87,Dewgong,#B8B8D0
88,Grimer,#705898
89,Muk,#705898
90,Shellder,#705898
91,Cloyster,#705898
92,Gastly,#705898
93,Haunter,#705898
94,Gengar,#705898
95,Onix,#B8A038
96,Drowzee,#E0C068
97,Hypno,#E0C068
98,Krabby,#F08030
99,Kingler,#F08030
100,Voltorb,#F8D030
101,Electrode,#F8D030
102,Exeggcute,#78C850
103,Exeggutor,#78C850
104,Cubone,#B8A038
105,Marowak,#B8A038
106,Hitmonlee,#A89078
107,Hitmonchan,#A89078
108,Lickitung,#A89078
109,Koffing,#705898
110,Weezing,#705898
111,Rhyhorn,#B8A038
112,Rhydon,#B8A038
113,Chansey,#F8A8B8
114,Tangela,#78C850
115,Kangaskhan,#A89078
116,Horsea,#6890F0
117,Seadra,#6890F0
118,Goldeen,#F08030
119,Seaking,#F08030
120,Staryu,#F08030
121,Starmie,#F08030
122,Mr. Mime,#F8A8B8
123,Scyther,#78C850
124,Jynx,#F8A8B8
125,Electabuzz,#F8D030
126,Magmar,#F08030
127,Pinsir,#78C850
128,Tauros,#A89078
129,Magikarp,#F08030
130,Gyarados,#6890F0
131,Lapras,#6890F0
132,Ditto,#F8A8B8
133,Eevee,#A89078
134,Vaporeon,#6890F0
135,Jolteon,#F8D030
136,Flareon,#F08030
137,Porygon,#B8B8D0
138,Omanyte,#6890F0
139,Omastar,#6890F0
140,Kabuto,#B8A038
141,Kabutops,#B8A038
142,Aerodactyl,#B8A038
143,Snorlax,#A89078
144,Articuno,#6890F0
145,Zapdos,#F8D030
146,Moltres,#F08030
147,Dratini,#6890F0
148,Dragonair,#6890F0
149,Dragonite,#F08030
150,Mewtwo,#B8B8D0
151,Mew,#F8A8B8
