id,name,primary_colour
1,Bulbasaur,Green
2,Ivysaur,Green
3,Venusaur,Green
4,Charmander,Red
5,Charmeleon,Red
6,Charizard,Red
7,Squirtle,Blue
8,Wartortle,Blue
9,Blastoise,Blue
10,Caterpie,Green
11,Metapod,Green
12,Butterfree,Purple
13,Weedle,Brown
14,Kakuna,Yellow
15,Beedrill,Yellow
16,Pidgey,Brown
17,Pidgeotto,Brown
18,Pidgeot,Brown
19,Rattata,Purple
20,Raticate,Brown
21,Spearow,Brown
22,Fearow,Brown
23,Ekans,Purple
24,Arbok,Purple
25,Pikachu,Yellow
26,Raichu,Yellow
27,Sandshrew,Yellow
28,Sandslash,Yellow
29,Nidoran♀,Purple
30,Nidorina,Purple
31,Nidoqueen,Blue
32,Nidoran♂,Purple
33,Nidorino,Purple
34,Nidoking,Purple
35,Clefairy,Pink
36,Clefable,Pink
37,Vulpix,Red
38,Ninetales,Yellow
39,Jigglypuff,Pink
40,Wigglytuff,Pink
41,Zubat,Purple
42,Golbat,Purple
43,Oddish,Blue
44,Gloom,Blue
45,Vileplume,Blue
46,Paras,Red
47,Parasect,Red
48,Venonat,Purple
49,Venomoth,Purple
50,Diglett,Brown
51,Dugtrio,Brown
52,Meowth,Yellow
53,Persian,Yellow
54,Psyduck,Yellow
55,Golduck,Blue
56,Mankey,Brown
57,Primeape,Brown
58,Growlithe,Orange
59,Arcanine,Orange
60,Poliwag,Blue
61,Poliwhirl,Blue
62,Poliwrath,Blue
63,Abra,Brown
64,Kadabra,Brown
65,Alakazam,Brown
66,Machop,Blue
67,Machoke,Blue
68,Machamp,Blue
69,Bellsprout,Green
70,Weepinbell,Green
71,Victreebel,Green
72,Tentacool,Blue
73,Tentacruel,Blue
74,Geodude,Brown
75,Graveler,Brown
76,Golem,Brown
77,Ponyta,Yellow
78,Rapidash,Yellow
79,Slowpoke,Pink
80,Slowbro,Pink
81,Magnemite,Gray
82,Magneton,Gray
83,Farfetch'd,Brown
84,Doduo,Brown
85,Dodrio,Brown
86,Seel,White
87,Dewgong,White
88,Grimer,Purple
89,Muk,Purple
90,Shellder,Purple
91,Cloyster,Purple
92,Gastly,Purple
93,Haunter,Purple
94,Gengar,Purple
95,Onix,Gray
96,Drowzee,Yellow
97,Hypno,Yellow
98,Krabby,Red
99,Kingler,Red
100,Voltorb,Red
101,Electrode,Red
102,Exeggcute,Pink
103,Exeggutor,Yellow
104,Cubone,Brown
105,Marowak,Brown
106,Hitmonlee,Brown
107,Hitmonchan,Brown
108,Lickitung,Pink
109,Koffing,Purple
110,Weezing,Purple
111,Rhyhorn,Gray
112,Rhydon,Gray
113,Chansey,Pink
114,Tangela,Blue
115,Kangaskhan,Brown
116,Horsea,Blue
117,Seadra,Blue
118,Goldeen,White
119,Seaking,White
120,Staryu,Brown
121,Starmie,Purple
122,Mr. Mime,Pink
123,Scyther,Green
124,Jynx,Purple
125,Electabuzz,Yellow
126,Magmar,Red
127,Pinsir,Brown
128,Tauros,Brown
129,Magikarp,Red
130,Gyarados,Blue
131,Lapras,Blue
132,Ditto,Purple
133,Eevee,Brown
134,Vaporeon,Blue
135,Jolteon,Yellow
136,Flareon,Red
137,Porygon,Pink
138,Omanyte,Blue
139,Omastar,Blue
140,Kabuto,Brown
141,Kabutops,Brown
142,Aerodactyl,Gray
143,Snorlax,Blue
144,Articuno,Blue
145,Zapdos,Yellow
146,Moltres,Red
147,Dratini,Blue
148,Dragonair,Blue
149,Dragonite,Orange
150,Mewtwo,Purple
151,Mew,Pink
