name,year,state,search_interest
Bulbasaur,2024,Alabama,53
Bulbasaur,2024,Alaska,75
Bulbasaur,2024,Arizona,73
Bulbasaur,2024,Arkansas,60
Bulbasaur,2024,California,77
Bulbasaur,2024,Colorado,70
Bulbasaur,2024,Connecticut,56
Bulbasaur,2024,Delaware,63
Bulbasaur,2024,District of Columbia,32
Bulbasaur,2024,Florida,49
Bulbasaur,2024,Georgia,52
Bulbasaur,2024,Hawaii,96
Bulbasaur,2024,Idaho,68
Bulbasaur,2024,Illinois,61
Bulbasaur,2024,Indiana,74
Bulbasaur,2024,Iowa,66
Bulbasaur,2024,Kansas,61
Bulbasaur,2024,Kentucky,74
Bulbasaur,2024,Louisiana,49
Bulbasaur,2024,Maine,67
Bulbasaur,2024,Maryland,62
Bulbasaur,2024,Massachusetts,56
Bulbasaur,2024,Michigan,65
Bulbasaur,2024,Minnesota,68
Bulbasaur,2024,Mississippi,43
Bulbasaur,2024,Missouri,68
Bulbasaur,2024,Montana,56
Bulbasaur,2024,Nebraska,64
Bulbasaur,2024,Nevada,84
Bulbasaur,2024,New Hampshire,73
Bulbasaur,2024,New Jersey,57
Bulbasaur,2024,New Mexico,81
Bulbasaur,2024,New York,42
Bulbasaur,2024,North Carolina,57
Bulbasaur,2024,North Dakota,63
Bulbasaur,2024,Ohio,65
Bulbasaur,2024,Oklahoma,69
Bulbasaur,2024,Oregon,72
Bulbasaur,2024,Pennsylvania,59
Bulbasaur,2024,Rhode Island,77
Bulbasaur,2024,South Carolina,48
Bulbasaur,2024,South Dakota,59
Bulbasaur,2024,Tennessee,60
Bulbasaur,2024,Texas,63
Bulbasaur,2024,Utah,100
Bulbasaur,2024,Vermont,79
Bulbasaur,2024,Virginia,58
Bulbasaur,2024,Washington,78
Bulbasaur,2024,West Virginia,76
Bulbasaur,2024,Wisconsin,63
Bulbasaur,2024,Wyoming,47
Ivysaur,2024,Alabama,52
Ivysaur,2024,Alaska,0
Ivysaur,2024,Arizona,58
Ivysaur,2024,Arkansas,64
Ivysaur,2024,California,64
Ivysaur,2024,Colorado,58
Ivysaur,2024,Connecticut,58
Ivysaur,2024,Delaware,0
Ivysaur,2024,District of Columbia,0
Ivysaur,2024,Florida,47
Ivysaur,2024,Georgia,47
Ivysaur,2024,Hawaii,100
Ivysaur,2024,Idaho,58
Ivysaur,2024,Illinois,58
Ivysaur,2024,Indiana,64
Ivysaur,2024,Iowa,52
Ivysaur,2024,Kansas,58
Ivysaur,2024,Kentucky,64
Ivysaur,2024,Louisiana,41
Ivysaur,2024,Maine,0
Ivysaur,2024,Maryland,58
Ivysaur,2024,Massachusetts,47
Ivysaur,2024,Michigan,58
Ivysaur,2024,Minnesota,64
Ivysaur,2024,Mississippi,47
