date,year,state,top_item,id,hex_code
2023-12-31,2024,AK,Slowbro,80,#A89078
2023-12-31,2024,AL,Ditto,132,#F8A8B8
2023-12-31,2024,AR,Graveler,75,#B8A038
2023-12-31,2024,AZ,Sandshrew,27,#E0C068
2023-12-31,2024,CA,Psyduck,54,#6890F0
2023-12-31,2024,CO,Seel,86,#B8B8D0
2023-12-31,2024,CT,Mew,151,#F8A8B8
2023-12-31,2024,DC,Seaking,119,#F08030
2023-12-31,2024,DE,Magmar,126,#F08030
2023-12-31,2024,FL,Ditto,132,#F8A8B8
2023-12-31,2024,GA,Tangela,114,#78C850
2023-12-31,2024,HI,Squirtle,7,#6890F0
2023-12-31,2024,IA,Slowpoke,79,#A89078
2023-12-31,2024,ID,Rhydon,112,#B8A038
2023-12-31,2024,IL,Slowpoke,79,#A89078
2023-12-31,2024,IN,Slowbro,80,#A89078
2023-12-31,2024,KS,Ditto,132,#F8A8B8
2023-12-31,2024,KY,Ditto,132,#F8A8B8
2023-12-31,2024,LA,Mew,151,#F8A8B8
2023-12-31,2024,MA,Slowbro,80,#A89078
2023-12-31,2024,MD,Kabuto,140,#B8A038
2023-12-31,2024,ME,Weepinbell,70,#78C850
2023-12-31,2024,MI,Seel,86,#B8B8D0
2023-12-31,2024,MN,Slowpoke,79,#A89078
2023-12-31,2024,MO,Ditto,132,#F8A8B8
2023-12-31,2024,MS,Ditto,132,#F8A8B8
2023-12-31,2024,MT,Sandshrew,27,#E0C068
2023-12-31,2024,NC,Rhydon,112,#B8A038
2023-12-31,2024,ND,Golduck,55,#6890F0
2023-12-31,2024,NE,Dodrio,85,#A89078
2023-12-31,2024,NH,Slowpoke,79,#A89078
2023-12-31,2024,NJ,Rhydon,112,#B8A038
2023-12-31,2024,NM,Psyduck,54,#6890F0
2023-12-31,2024,NV,Psyduck,54,#6890F0
2023-12-31,2024,NY,Ditto,132,#F8A8B8
2023-12-31,2024,OH,Sandshrew,27,#E0C068
2023-12-31,2024,OK,Gastly,92,#705898
2023-12-31,2024,OR,Rhydon,112,#B8A038
2023-12-31,2024,PA,Slowpoke,79,#A89078
2023-12-31,2024,RI,Seadra,117,#6890F0
2023-12-31,2024,SC,Rhydon,112,#B8A038
2023-12-31,2024,SD,Dragonair,148,#6890F0
2023-12-31,2024,TN,Rhydon,112,#B8A038
2023-12-31,2024,TX,Squirtle,7,#6890F0
2023-12-31,2024,UT,Rhydon,112,#B8A038
2023-12-31,2024,VA,Scyther,123,#78C850
2023-12-31,2024,VT,Slowpoke,79,#A89078
2023-12-31,2024,WA,Psyduck,54,#6890F0
2023-12-31,2024,WI,Slowpoke,79,#A89078
2023-12-31,2024,WV,Rhydon,112,#B8A038
2023-12-31,2024,WY,Dratini,147,#6890F0
2024-01-07,2024,AK,Slowbro,80,#A89078
2024-01-07,2024,AL,Ditto,132,#F8A8B8
