date,year,state,top_search_term
2014-12-28,2015,AK,Pancake Recipe
2014-12-28,2015,AL,Flu
2014-12-28,2015,AR,Flu
2014-12-28,2015,AZ,James Franco
2014-12-28,2015,CA,James Franco
2014-12-28,2015,CO,Paleo Diet
2014-12-28,2015,CT,Flu
2014-12-28,2015,DC,Long Island Iced Tea
2014-12-28,2015,DE,Lactose Intolerance
2014-12-28,2015,FL,Gastritis
2014-12-28,2015,GA,Sinus Infection
2014-12-28,2015,HI,Marcus Mariota
2014-12-28,2015,IA,Flu
2014-12-28,2015,ID,How Rude
2014-12-28,2015,IL,James Franco
2014-12-28,2015,IN,Flu
2014-12-28,2015,KS,AC Milan
2014-12-28,2015,KY,Maci Bookout
2014-12-28,2015,LA,Shawn Oakman
2014-12-28,2015,MA,James Franco
2014-12-28,2015,MD,Flu
2014-12-28,2015,ME,Pancake Recipe
2014-12-28,2015,MI,Flu
2014-12-28,2015,MN,Flu
2014-12-28,2015,MO,Flu
2014-12-28,2015,MS,Flu
2014-12-28,2015,MT,Paleo Diet
2014-12-28,2015,NC,Flu
2014-12-28,2015,ND,Maci Bookout
2014-12-28,2015,NE,Long Island Iced Tea
2014-12-28,2015,NH,Paleo Diet
2014-12-28,2015,NJ,James Franco
2014-12-28,2015,NM,James Franco
2014-12-28,2015,NV,How Rude
2014-12-28,2015,NY,James Franco
2014-12-28,2015,OH,James Franco
2014-12-28,2015,OK,Shawn Oakman
2014-12-28,2015,OR,Blank Space
2014-12-28,2015,PA,Flu
2014-12-28,2015,RI,James Franco
2014-12-28,2015,SC,Sinus Infection
2014-12-28,2015,SD,Maci Bookout
2014-12-28,2015,TN,Maci Bookout
2014-12-28,2015,TX,James Franco
2014-12-28,2015,UT,How Rude
2014-12-28,2015,VA,Blank Space
2014-12-28,2015,VT,Pancake Recipe
2014-12-28,2015,WA,James Franco
2014-12-28,2015,WI,Flu
2014-12-28,2015,WV,Sinus Infection
2014-12-28,2015,WY,Paleo Diet
2015-01-04,2015,AK,Paleo Diet
2015-01-04,2015,AL,Chicken Recipes
2015-01-04,2015,AR,Anxiety Attack
2015-01-04,2015,AZ,Paleo Diet
2015-01-04,2015,CA,Yes You Can Diet Plan
2015-01-04,2015,CO,Paleo Diet
2015-01-04,2015,CT,Chicken Recipes
2015-01-04,2015,DC,Malia Obama
2015-01-04,2015,DE,Chicken Recipes
2015-01-04,2015,FL,Gastritis
2015-01-04,2015,GA,Sinus Infection
2015-01-04,2015,HI,Stuart Scott
2015-01-04,2015,IA,Flu
2015-01-04,2015,ID,Paleo Diet
2015-01-04,2015,IL,Paleo Diet
2015-01-04,2015,IN,Chicken Recipes
2015-01-04,2015,KS,Chicken Recipes
2015-01-04,2015,KY,Stuart Scott
2015-01-04,2015,LA,Stuart Scott
2015-01-04,2015,MA,Chicken Recipes
2015-01-04,2015,MD,Baltimore Ravens
2015-01-04,2015,ME,Paleo Diet
2015-01-04,2015,MI,Detroit Pistons
2015-01-04,2015,MN,Chicken Recipes
2015-01-04,2015,MO,Chicken Recipes
2015-01-04,2015,MS,Stuart Scott
2015-01-04,2015,MT,Paleo Diet
2015-01-04,2015,NC,Stuart Scott
2015-01-04,2015,ND,Chicken Recipes
2015-01-04,2015,NE,Chicken Recipes
2015-01-04,2015,NH,Chicken Recipes
2015-01-04,2015,NJ,Chicken Recipes
2015-01-04,2015,NM,500 Calorie Diet
2015-01-04,2015,NV,Yes You Can Diet Plan
2015-01-04,2015,NY,Stuart Scott
2015-01-04,2015,OH,Chicken Recipes
2015-01-04,2015,OK,Stuart Scott
2015-01-04,2015,OR,Corinthians
2015-01-04,2015,PA,Chicken Recipes
2015-01-04,2015,RI,Malia Obama
2015-01-04,2015,SC,Sinus Infection
2015-01-04,2015,SD,20/20 Diet
2015-01-04,2015,TN,Sinus Infection
2015-01-04,2015,TX,Dallas Cowboys
2015-01-04,2015,UT,Paleo Diet
2015-01-04,2015,VA,Real Madrid CF
2015-01-04,2015,VT,Paleo Diet
2015-01-04,2015,WA,Paleo Diet
2015-01-04,2015,WI,Chicken Recipes
2015-01-04,2015,WV,Sinus Infection
2015-01-04,2015,WY,Paleo Diet
2015-01-11,2015,AK,Rosamund Pike
2015-01-11,2015,AL,Chicken Recipes
2015-01-11,2015,AR,Rosamund Pike
2015-01-11,2015,AZ,Paleo Diet
2015-01-11,2015,CA,Cristiano Ronaldo
2015-01-11,2015,CO,Asana Yoga
2015-01-11,2015,CT,Gwyneth Paltrow
2015-01-11,2015,DC,Gwyneth Paltrow
2015-01-11,2015,DE,Gwyneth Paltrow
2015-01-11,2015,FL,Gastritis
2015-01-11,2015,GA,Chicken Recipes
2015-01-11,2015,HI,Marcus Mariota
2015-01-11,2015,IA,Rosamund Pike
2015-01-11,2015,ID,Zooey Deschanel
2015-01-11,2015,IL,Gwyneth Paltrow
2015-01-11,2015,IN,Indianapolis Colts
