rank,name,num_threes_career,link
1,Stephen Curry,3998,https://www.basketball-reference.com/players/c/curryst01.html
2,James Harden,3127,https://www.basketball-reference.com/players/h/hardeja01.html
3,Ray Allen,2973,https://www.basketball-reference.com/players/a/allenra02.html
4,Damian Lillard,2792,https://www.basketball-reference.com/players/l/lillada01.html
5,Klay Thompson,2667,https://www.basketball-reference.com/players/t/thompkl01.html
6,Reggie Miller,2560,https://www.basketball-reference.com/players/m/millere01.html
7,LeBron James,2542,https://www.basketball-reference.com/players/j/jamesle01.html
8,Kyle Korver,2450,https://www.basketball-reference.com/players/k/korveky01.html
9,Paul George,2349,https://www.basketball-reference.com/players/g/georgpa01.html
10,Vince Carter,2290,https://www.basketball-reference.com/players/c/cartevi01.html
11,Jason Terry,2282,https://www.basketball-reference.com/players/t/terryja01.html
12,Jamal Crawford,2221,https://www.basketball-reference.com/players/c/crawfja01.html
13,Kyle Lowry,2204,https://www.basketball-reference.com/players/l/lowryky01.html
14,Kevin Durant,2163,https://www.basketball-reference.com/players/d/duranke01.html
15,Paul Pierce,2143,https://www.basketball-reference.com/players/p/piercpa01.html
16,Buddy Hield,2089,https://www.basketball-reference.com/players/h/hieldbu01.html
17,Eric Gordon,2084,https://www.basketball-reference.com/players/g/gordoer01.html
18,Jason Kidd,1988,https://www.basketball-reference.com/players/k/kiddja01.html
19,Dirk Nowitzki,1982,https://www.basketball-reference.com/players/n/nowitdi01.html
20,Joe Johnson,1978,https://www.basketball-reference.com/players/j/johnsjo02.html
21,CJ McCollum,1974,https://www.basketball-reference.com/players/m/mccolcj01.html
22,JJ Redick,1950,https://www.basketball-reference.com/players/r/redicjj01.html
23,J.R. Smith,1930,https://www.basketball-reference.com/players/s/smithjr01.html
24,Mike Conley,1907,https://www.basketball-reference.com/players/c/conlemi01.html
25,Kyrie Irving,1876,https://www.basketball-reference.com/players/i/irvinky01.html
26,Wesley Matthews,1845,https://www.basketball-reference.com/players/m/matthwe02.html
27,Chris Paul,1832,https://www.basketball-reference.com/players/p/paulch01.html
28,Chauncey Billups,1830,https://www.basketball-reference.com/players/b/billuch01.html
29,Kobe Bryant,1827,https://www.basketball-reference.com/players/b/bryanko01.html
30,Tim Hardaway Jr.,1805,https://www.basketball-reference.com/players/h/hardati02.html
31,Rashard Lewis,1787,https://www.basketball-reference.com/players/l/lewisra02.html
32,Peja Stojaković,1760,https://www.basketball-reference.com/players/s/stojape01.html
33,Carmelo Anthony,1731,https://www.basketball-reference.com/players/a/anthoca01.html
34,Nicolas Batum,1729,https://www.basketball-reference.com/players/b/batumni01.html
35,Dale Ellis,1719,https://www.basketball-reference.com/players/e/ellisda01.html
