name,rank,season,age,3p,3pa,3p_cum,3pa_cum
Stephen Curry,1,1,21,166,380,166,380
Stephen Curry,1,2,22,151,342,317,722
Stephen Curry,1,3,23,55,121,372,843
Stephen Curry,1,4,24,272,600,644,1443
Stephen Curry,1,5,25,261,615,905,2058
Stephen Curry,1,6,26,286,646,1191,2704
Stephen Curry,1,7,27,402,886,1593,3590
Stephen Curry,1,8,28,324,789,1917,4379
Stephen Curry,1,9,29,212,501,2129,4880
Stephen Curry,1,10,30,354,810,2483,5690
Stephen Curry,1,11,31,12,49,2495,5739
Stephen Curry,1,12,32,337,801,2832,6540
Stephen Curry,1,13,33,285,750,3117,7290
Stephen Curry,1,14,34,273,639,3390,7929
Stephen Curry,1,15,35,357,876,3747,8805
Stephen Curry,1,16,36,253,632,4000,9435
James Harden,2,1,20,93,248,93,248
James Harden,2,2,21,113,324,206,572
James Harden,2,3,22,114,292,320,864
James Harden,2,4,23,179,486,499,1350
James Harden,2,5,24,177,483,676,1833
James Harden,2,6,25,208,555,884,2388
James Harden,2,7,26,236,657,1120,3045
James Harden,2,8,27,262,756,1382,3801
James Harden,2,9,28,265,722,1647,4523
James Harden,2,10,29,378,1028,2025,5551
James Harden,2,11,30,299,843,2324,6394
James Harden,2,12,31,121,334,2445,6728
James Harden,2,13,32,148,448,2593,7176
James Harden,2,14,33,161,418,2754,7594
James Harden,2,15,34,186,488,2940,8082
James Harden,2,16,35,187,549,3127,8631
Ray Allen,3,1,21,117,298,117,298
Ray Allen,3,2,22,134,368,251,666
Ray Allen,3,3,23,74,208,325,874
Ray Allen,3,4,24,172,407,497,1281
Ray Allen,3,5,25,202,467,699,1748
Ray Allen,3,6,26,229,528,928,2276
Ray Allen,3,7,27,201,533,1129,2809
Ray Allen,3,8,28,148,378,1277,3187
Ray Allen,3,9,29,209,556,1486,3743
Ray Allen,3,10,30,269,653,1755,4396
Ray Allen,3,11,31,165,443,1920,4839
Ray Allen,3,12,32,180,452,2100,5291
Ray Allen,3,13,33,199,486,2299,5777
Ray Allen,3,14,34,145,399,2444,6176
Ray Allen,3,15,35,168,378,2612,6554
Ray Allen,3,16,36,106,234,2718,6788
Ray Allen,3,17,37,139,332,2857,7120
Ray Allen,3,18,38,116,309,2973,7429
Damian Lillard,4,1,22,185,503,185,503
Damian Lillard,4,2,23,218,554,403,1057
Damian Lillard,4,3,24,196,572,599,1629
Damian Lillard,4,4,25,229,610,828,2239
Damian Lillard,4,5,26,214,579,1042,2818
Damian Lillard,4,6,27,227,629,1269,3447
Damian Lillard,4,7,28,237,643,1506,4090
Damian Lillard,4,8,29,270,674,1776,4764
Damian Lillard,4,9,30,275,704,2051,5468
Damian Lillard,4,10,31,92,284,2143,5752
Damian Lillard,4,11,32,244,658,2387,6410
Damian Lillard,4,12,33,220,622,2607,7032
Damian Lillard,4,13,34,185,491,2792,7523
Klay Thompson,5,1,21,111,268,111,268
Klay Thompson,5,2,22,211,526,322,794
Klay Thompson,5,3,23,223,535,545,1329
Klay Thompson,5,4,24,239,545,784,1874
Klay Thompson,5,5,25,276,650,1060,2524
Klay Thompson,5,6,26,268,647,1328,3171
Klay Thompson,5,7,27,229,521,1557,3692
Klay Thompson,5,8,28,241,599,1798,4291
Klay Thompson,5,9,31,114,296,1912,4587
Klay Thompson,5,10,32,301,731,2213,5318
Klay Thompson,5,11,33,268,692,2481,6010
Klay Thompson,5,12,34,186,465,2667,6475
Reggie Miller,6,1,22,61,172,61,172
Reggie Miller,6,2,23,98,244,159,416
Reggie Miller,6,3,24,150,362,309,778
Reggie Miller,6,4,25,112,322,421,1100
Reggie Miller,6,5,26,129,341,550,1441
Reggie Miller,6,6,27,167,419,717,1860
Reggie Miller,6,7,28,123,292,840,2152
Reggie Miller,6,8,29,195,470,1035,2622
Reggie Miller,6,9,30,168,410,1203,3032
Reggie Miller,6,10,31,229,536,1432,3568
Reggie Miller,6,11,32,164,382,1596,3950
Reggie Miller,6,12,33,106,275,1702,4225
Reggie Miller,6,13,34,165,404,1867,4629
Reggie Miller,6,14,35,170,464,2037,5093
Reggie Miller,6,15,36,180,443,2217,5536
Reggie Miller,6,16,37,113,318,2330,5854
Reggie Miller,6,17,38,134,334,2464,6188
Reggie Miller,6,18,39,96,298,2560,6486
LeBron James,7,1,19,63,217,63,217
LeBron James,7,2,20,108,308,171,525
LeBron James,7,3,21,127,379,298,904
LeBron James,7,4,22,99,310,397,1214
LeBron James,7,5,23,113,359,510,1573
LeBron James,7,6,24,132,384,642,1957
LeBron James,7,7,25,129,387,771,2344
LeBron James,7,8,26,92,279,863,2623
LeBron James,7,9,27,54,149,917,2772
LeBron James,7,10,28,103,254,1020,3026
LeBron James,7,11,29,116,306,1136,3332
LeBron James,7,12,30,120,339,1256,3671
LeBron James,7,13,31,87,282,1343,3953
LeBron James,7,14,32,124,342,1467,4295
LeBron James,7,15,33,149,406,1616,4701
LeBron James,7,16,34,111,327,1727,5028
LeBron James,7,17,35,148,425,1875,5453
LeBron James,7,18,36,104,285,1979,5738
LeBron James,7,19,37,161,448,2140,6186
LeBron James,7,20,38,121,377,2261,6563
LeBron James,7,21,39,149,363,2410,6926
LeBron James,7,22,40,132,344,2542,7270
Kyle Korver,8,1,22,81,207,81,207
Kyle Korver,8,2,23,226,558,307,765
Kyle Korver,8,3,24,184,438,491,1203
Kyle Korver,8,4,25,132,307,623,1510
Kyle Korver,8,5,26,111,296,734,1806
Kyle Korver,8,6,27,103,267,837,2073
Kyle Korver,8,7,28,59,110,896,2183
Kyle Korver,8,8,29,120,289,1016,2472
Kyle Korver,8,9,30,118,271,1134,2743
Kyle Korver,8,10,31,189,414,1323,3157
Kyle Korver,8,11,32,185,392,1508,3549
Kyle Korver,8,12,33,221,449,1729,3998
Kyle Korver,8,13,34,158,397,1887,4395
Kyle Korver,8,14,35,162,359,2049,4754
Kyle Korver,8,15,36,164,376,2213,5130
Kyle Korver,8,16,37,138,348,2351,5478
Kyle Korver,8,17,38,99,237,2450,5715
Paul George,9,1,20,41,138,41,138
Paul George,9,2,21,90,234,131,372
Paul George,9,3,22,170,469,301,841
Paul George,9,4,23,182,500,483,1341
Paul George,9,5,24,9,22,492,1363
Paul George,9,6,25,210,566,702,1929
Paul George,9,7,26,195,496,897,2425
Paul George,9,8,27,244,609,1141,3034
Paul George,9,9,28,292,757,1433,3791
Paul George,9,10,29,157,381,1590,4172
Paul George,9,11,30,171,416,1761,4588
Paul George,9,12,31,91,257,1852,4845
Paul George,9,13,32,158,426,2010,5271
Paul George,9,14,33,243,588,2253,5859
Paul George,9,15,34,96,268,2349,6127
Vince Carter,10,1,22,19,66,19,66
Vince Carter,10,2,23,95,236,114,302
Vince Carter,10,3,24,162,397,276,699
Vince Carter,10,4,25,121,313,397,1012
Vince Carter,10,5,26,45,131,442,1143
