country_search,Year,State,United Kingdom %,Wikipedia %
United Kingdom,2024,Alabama,7.000000000000001,93.0
United Kingdom,2024,Alaska,6.0,94.0
United Kingdom,2024,Arizona,7.000000000000001,93.0
United Kingdom,2024,Arkansas,7.000000000000001,93.0
United Kingdom,2024,California,6.0,94.0
United Kingdom,2024,Colorado,5.0,95.0
United Kingdom,2024,Connecticut,5.0,95.0
United Kingdom,2024,Delaware,7.000000000000001,93.0
United Kingdom,2024,District of Columbia,6.0,94.0
United Kingdom,2024,Florida,7.000000000000001,93.0
United Kingdom,2024,Georgia,9.0,91.0
United Kingdom,2024,Hawaii,6.0,94.0
United Kingdom,2024,Idaho,7.000000000000001,93.0
United Kingdom,2024,Illinois,6.0,94.0
United Kingdom,2024,Indiana,6.0,94.0
United Kingdom,2024,Iowa,7.000000000000001,93.0
United Kingdom,2024,Kansas,7.000000000000001,93.0
United Kingdom,2024,Kentucky,7.000000000000001,93.0
United Kingdom,2024,Louisiana,7.000000000000001,93.0
United Kingdom,2024,Maine,6.0,94.0
United Kingdom,2024,Maryland,5.0,95.0
United Kingdom,2024,Massachusetts,5.0,95.0
United Kingdom,2024,Michigan,6.0,94.0
United Kingdom,2024,Minnesota,5.0,95.0
United Kingdom,2024,Mississippi,8.0,92.0
United Kingdom,2024,Missouri,6.0,94.0
United Kingdom,2024,Montana,6.0,94.0
United Kingdom,2024,Nebraska,7.000000000000001,93.0
United Kingdom,2024,Nevada,7.000000000000001,93.0
United Kingdom,2024,New Hampshire,5.0,95.0
United Kingdom,2024,New Jersey,6.0,94.0
United Kingdom,2024,New Mexico,5.0,95.0
United Kingdom,2024,New York,6.0,94.0
United Kingdom,2024,North Carolina,7.000000000000001,93.0
United Kingdom,2024,North Dakota,7.000000000000001,93.0
United Kingdom,2024,Ohio,6.0,94.0
United Kingdom,2024,Oklahoma,7.000000000000001,93.0
United Kingdom,2024,Oregon,4.0,96.0
United Kingdom,2024,Pennsylvania,6.0,94.0
United Kingdom,2024,Rhode Island,5.0,95.0
United Kingdom,2024,South Carolina,7.000000000000001,93.0
United Kingdom,2024,South Dakota,8.0,92.0
United Kingdom,2024,Tennessee,6.0,94.0
United Kingdom,2024,Texas,8.0,92.0
United Kingdom,2024,Utah,6.0,94.0
United Kingdom,2024,Vermont,5.0,95.0
United Kingdom,2024,Virginia,7.000000000000001,93.0
United Kingdom,2024,Washington,5.0,95.0
United Kingdom,2024,West Virginia,6.0,94.0
United Kingdom,2024,Wisconsin,5.0,95.0
United Kingdom,2024,Wyoming,6.0,94.0
Great Britain,2024,Alabama,9.0,91.0
Great Britain,2024,Alaska,5.0,95.0
Great Britain,2024,Arizona,7.000000000000001,93.0
Great Britain,2024,Arkansas,8.0,92.0
Great Britain,2024,California,5.0,95.0
Great Britain,2024,Colorado,4.0,96.0
Great Britain,2024,Connecticut,5.0,95.0
Great Britain,2024,Delaware,6.0,94.0
Great Britain,2024,District of Columbia,2.0,98.0
Great Britain,2024,Florida,6.0,94.0
Great Britain,2024,Georgia,9.0,91.0
Great Britain,2024,Hawaii,4.0,96.0
Great Britain,2024,Idaho,7.000000000000001,93.0
Great Britain,2024,Illinois,4.0,96.0
Great Britain,2024,Indiana,7.000000000000001,93.0
Great Britain,2024,Iowa,7.000000000000001,93.0
Great Britain,2024,Kansas,6.0,94.0
Great Britain,2024,Kentucky,7.000000000000001,93.0
Great Britain,2024,Louisiana,8.0,92.0
Great Britain,2024,Maine,4.0,96.0
Great Britain,2024,Maryland,4.0,96.0
Great Britain,2024,Massachusetts,3.0,97.0
Great Britain,2024,Michigan,6.0,94.0
Great Britain,2024,Minnesota,4.0,96.0
Great Britain,2024,Mississippi,10.0,90.0
Great Britain,2024,Missouri,6.0,94.0
Great Britain,2024,Montana,5.0,95.0
Great Britain,2024,Nebraska,6.0,94.0
Great Britain,2024,Nevada,5.0,95.0
Great Britain,2024,New Hampshire,4.0,96.0
Great Britain,2024,New Jersey,5.0,95.0
Great Britain,2024,New Mexico,6.0,94.0
Great Britain,2024,New York,3.0,97.0
Great Britain,2024,North Carolina,8.0,92.0
Great Britain,2024,North Dakota,8.0,92.0
Great Britain,2024,Ohio,6.0,94.0
Great Britain,2024,Oklahoma,9.0,91.0
Great Britain,2024,Oregon,3.0,97.0
Great Britain,2024,Pennsylvania,5.0,95.0
Great Britain,2024,Rhode Island,4.0,96.0
Great Britain,2024,South Carolina,8.0,92.0
Great Britain,2024,South Dakota,8.0,92.0
Great Britain,2024,Tennessee,6.0,94.0
Great Britain,2024,Texas,8.0,92.0
Great Britain,2024,Utah,5.0,95.0
Great Britain,2024,Vermont,4.0,96.0
Great Britain,2024,Virginia,5.0,95.0
Great Britain,2024,Washington,3.0,97.0
Great Britain,2024,West Virginia,6.0,94.0
Great Britain,2024,Wisconsin,5.0,95.0
Great Britain,2024,Wyoming,7.000000000000001,93.0
United States,2024,Alabama,75.0,25.0
United States,2024,Alaska,70.0,30.0
United States,2024,Arizona,73.0,27.0
United States,2024,Arkansas,74.0,26.0
United States,2024,California,63.0,37.0
United States,2024,Colorado,68.0,32.0
United States,2024,Connecticut,60.0,40.0
United States,2024,Delaware,70.0,30.0
United States,2024,District of Columbia,57.99999999999999,42.0
United States,2024,Florida,71.0,28.999999999999996
United States,2024,Georgia,74.0,26.0
United States,2024,Hawaii,62.0,38.0
United States,2024,Idaho,74.0,26.0
United States,2024,Illinois,65.0,35.0
United States,2024,Indiana,70.0,30.0
United States,2024,Iowa,73.0,27.0
United States,2024,Kansas,71.0,28.999999999999996
United States,2024,Kentucky,72.0,28.000000000000004
United States,2024,Louisiana,76.0,24.0
United States,2024,Maine,62.0,38.0
United States,2024,Maryland,64.0,36.0
United States,2024,Massachusetts,56.00000000000001,44.0
United States,2024,Michigan,69.0,31.0
United States,2024,Minnesota,66.0,34.0
United States,2024,Mississippi,77.0,23.0
United States,2024,Missouri,71.0,28.999999999999996
United States,2024,Montana,67.0,33.0
United States,2024,Nebraska,74.0,26.0
United States,2024,Nevada,72.0,28.000000000000004
United States,2024,New Hampshire,61.0,39.0
United States,2024,New Jersey,63.0,37.0
United States,2024,New Mexico,67.0,33.0
United States,2024,New York,56.99999999999999,43.0
United States,2024,North Carolina,72.0,28.000000000000004
United States,2024,North Dakota,73.0,27.0
United States,2024,Ohio,68.0,32.0
United States,2024,Oklahoma,75.0,25.0
United States,2024,Oregon,57.99999999999999,42.0
United States,2024,Pennsylvania,66.0,34.0
United States,2024,Rhode Island,62.0,38.0
United States,2024,South Carolina,73.0,27.0
United States,2024,South Dakota,74.0,26.0
United States,2024,Tennessee,71.0,28.999999999999996
United States,2024,Texas,74.0,26.0
United States,2024,Utah,69.0,31.0
United States,2024,Vermont,56.00000000000001,44.0
United States,2024,Virginia,65.0,35.0
United States,2024,Washington,57.99999999999999,42.0
United States,2024,West Virginia,71.0,28.999999999999996
United States,2024,Wisconsin,65.0,35.0
United States,2024,Wyoming,75.0,25.0
United States of America,2024,Alabama,10.0,90.0
United States of America,2024,Alaska,7.000000000000001,93.0
United States of America,2024,Arizona,9.0,91.0
United States of America,2024,Arkansas,10.0,90.0
United States of America,2024,California,6.0,94.0
United States of America,2024,Colorado,5.0,95.0
United States of America,2024,Connecticut,5.0,95.0
United States of America,2024,Delaware,8.0,92.0
United States of America,2024,District of Columbia,4.0,96.0
United States of America,2024,Florida,9.0,91.0
United States of America,2024,Georgia,10.0,90.0
United States of America,2024,Hawaii,5.0,95.0
United States of America,2024,Idaho,9.0,91.0
United States of America,2024,Illinois,5.0,95.0
United States of America,2024,Indiana,10.0,90.0
United States of America,2024,Iowa,9.0,91.0
United States of America,2024,Kansas,7.000000000000001,93.0
United States of America,2024,Kentucky,9.0,91.0
United States of America,2024,Louisiana,10.0,90.0
United States of America,2024,Maine,5.0,95.0
United States of America,2024,Maryland,5.0,95.0
United States of America,2024,Massachusetts,3.0,97.0
United States of America,2024,Michigan,7.000000000000001,93.0
United States of America,2024,Minnesota,5.0,95.0
United States of America,2024,Mississippi,13.0,87.0
United States of America,2024,Missouri,8.0,92.0
United States of America,2024,Montana,6.0,94.0
United States of America,2024,Nebraska,9.0,91.0
United States of America,2024,Nevada,7.000000000000001,93.0
United States of America,2024,New Hampshire,4.0,96.0
United States of America,2024,New Jersey,6.0,94.0
United States of America,2024,New Mexico,8.0,92.0
United States of America,2024,New York,4.0,96.0
United States of America,2024,North Carolina,9.0,91.0
United States of America,2024,North Dakota,9.0,91.0
United States of America,2024,Ohio,7.000000000000001,93.0
United States of America,2024,Oklahoma,10.0,90.0
United States of America,2024,Oregon,4.0,96.0
United States of America,2024,Pennsylvania,6.0,94.0
United States of America,2024,Rhode Island,5.0,95.0
United States of America,2024,South Carolina,9.0,91.0
United States of America,2024,South Dakota,11.0,89.0
United States of America,2024,Tennessee,8.0,92.0
United States of America,2024,Texas,10.0,90.0
United States of America,2024,Utah,6.0,94.0
United States of America,2024,Vermont,3.0,97.0
United States of America,2024,Virginia,6.0,94.0
United States of America,2024,Washington,4.0,96.0
United States of America,2024,West Virginia,9.0,91.0
United States of America,2024,Wisconsin,6.0,94.0
United States of America,2024,Wyoming,10.0,90.0
Afghanistan,2024,Alabama,9.0,91.0
Afghanistan,2024,Alaska,12.0,88.0
Afghanistan,2024,Arizona,11.0,89.0
Afghanistan,2024,Arkansas,10.0,90.0
Afghanistan,2024,California,11.0,89.0
Afghanistan,2024,Colorado,11.0,89.0
Afghanistan,2024,Connecticut,12.0,88.0
Afghanistan,2024,Delaware,11.0,89.0
Afghanistan,2024,District of Columbia,12.0,88.0
Afghanistan,2024,Florida,9.0,91.0
Afghanistan,2024,Georgia,13.0,87.0
Afghanistan,2024,Hawaii,8.0,92.0
Afghanistan,2024,Idaho,12.0,88.0
Afghanistan,2024,Illinois,10.0,90.0
Afghanistan,2024,Indiana,12.0,88.0
Afghanistan,2024,Iowa,12.0,88.0
Afghanistan,2024,Kansas,11.0,89.0
Afghanistan,2024,Kentucky,10.0,90.0
Afghanistan,2024,Louisiana,8.0,92.0
Afghanistan,2024,Maine,10.0,90.0
Afghanistan,2024,Maryland,11.0,89.0
Afghanistan,2024,Massachusetts,9.0,91.0
Afghanistan,2024,Michigan,10.0,90.0
Afghanistan,2024,Minnesota,10.0,90.0
Afghanistan,2024,Mississippi,10.0,90.0
Afghanistan,2024,Missouri,11.0,89.0
Afghanistan,2024,Montana,11.0,89.0
Afghanistan,2024,Nebraska,14.000000000000002,86.0
Afghanistan,2024,Nevada,9.0,91.0
Afghanistan,2024,New Hampshire,10.0,90.0
Afghanistan,2024,New Jersey,11.0,89.0
Afghanistan,2024,New Mexico,10.0,90.0
Afghanistan,2024,New York,10.0,90.0
Afghanistan,2024,North Carolina,12.0,88.0
Afghanistan,2024,North Dakota,12.0,88.0
Afghanistan,2024,Ohio,10.0,90.0
Afghanistan,2024,Oklahoma,11.0,89.0
Afghanistan,2024,Oregon,8.0,92.0
Afghanistan,2024,Pennsylvania,10.0,90.0
Afghanistan,2024,Rhode Island,8.0,92.0
Afghanistan,2024,South Carolina,10.0,90.0
Afghanistan,2024,South Dakota,12.0,88.0
Afghanistan,2024,Tennessee,10.0,90.0
Afghanistan,2024,Texas,14.000000000000002,86.0
Afghanistan,2024,Utah,9.0,91.0
Afghanistan,2024,Vermont,10.0,90.0
Afghanistan,2024,Virginia,18.0,82.0
Afghanistan,2024,Washington,10.0,90.0
Afghanistan,2024,West Virginia,10.0,90.0
Afghanistan,2024,Wisconsin,9.0,91.0
Afghanistan,2024,Wyoming,14.000000000000002,86.0
Albania,2024,Alabama,3.0,97.0
Albania,2024,Alaska,7.000000000000001,93.0
