cause_level_one,cause_level_two,cause_level_three,cause_level_four,Total ,Male - Total,Female - Total,Male - 0-28 days,Male - 1-59 months,Male - 5-14 years,Male - 15-29 years,Male - 30-49 years,Male - 50-59 years,Male - 60-69 years,Male - 70+ years,Female - 0-28 days,Female - 1-59 months,Female - 5-14 years,Female - 15-29 years,Female - 30-49 years,Female - 50-59 years,Female - 60-69 years,Female - 70+ years
"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,Tuberculosis,Tuberculosis,297211,203905,93306,0,1484,845,21341,56518,36227,32286,55203,0,940,1008,12356,19626,8217,10026,41134
"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,STDs excluding HIV,Syphilis,19113,12227,6887,4065,1361,13,324,1687,1385,1568,1824,3570,877,15,125,416,369,535,979
"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,STDs excluding HIV,Chlamydia,24102,5095,19007,0,0,7,1462,3231,368,27,0,0,0,127,4684,13392,792,4,7
"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,STDs excluding HIV,Gonorrhoea,9195,3348,5847,0,0,86,1693,1227,278,49,14,0,0,30,1456,4153,165,26,16
"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,STDs excluding HIV,Trichomoniasis,33469,1333,32137,0,0,0,151,800,241,88,52,0,0,25,5764,15902,4989,3013,2444
"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,STDs excluding HIV,Genital herpes,38610,14460,24151,0,0,49,1669,5687,3005,2247,1802,0,0,89,2751,8784,4768,3866,3893
"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,STDs excluding HIV,Other STDs,34803,2521,32283,0,0,69,845,1361,223,14,9,0,0,111,5032,19362,2210,1414,4154
"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,HIV/AIDS,HIV/AIDS,661459,475511,185948,235,2795,828,33955,208143,135480,70245,23830,210,2565,762,18991,94015,43087,19952,6366
"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,Diarrhoeal diseases,Diarrhoeal diseases,1400043,677002,723041,1562,90689,58231,75047,116715,65515,81602,187641,1379,74667,49883,71885,110612,64488,86165,263963
"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,Childhood-cluster diseases,Whooping cough,16774,8294,8479,0,7566,406,91,85,54,29,63,0,7725,555,72,65,22,0,41
"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,Childhood-cluster diseases,Diphtheria,230,166,64,0,25,28,26,75,4,7,0,0,23,30,2,5,1,0,3
"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,Childhood-cluster diseases,Measles,1184,530,654,0,332,130,52,1,0,16,0,0,466,89,22,36,12,18,11
"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,Childhood-cluster diseases,Tetanus,2661,1628,1033,0,0,64,206,554,289,214,301,0,0,75,66,225,126,90,451
"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,Meningitis,Meningitis,136896,76423,60473,671,12302,4454,9396,19570,11049,9667,9314,532,9539,3611,7345,13373,7939,7765,10368
"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,Encephalitis,Encephalitis,48982,26811,22171,262,7617,1348,3994,8050,2576,1729,1236,191,6359,1400,2594,5254,2517,1940,1916
"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,Hepatitis,Acute hepatitis A,66622,33755,32868,0,380,2444,4776,8004,4433,4053,9664,0,388,2451,4336,6334,3388,3073,12897
"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,Hepatitis,Acute hepatitis B,101048,66061,34987,0,359,208,1719,17134,18343,15160,13138,0,281,155,966,5782,5569,7567,14666
"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,Hepatitis,Acute hepatitis C,336205,211446,124759,1,107,43,881,34683,76838,68474,30420,1,96,40,961,14071,32417,31951,45222
"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,Hepatitis,Acute hepatitis E,7760,5068,2692,0,97,201,310,1217,910,1204,1129,0,67,175,258,652,364,374,802
"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,Parasitic and vector diseases,Malaria,291,157,134,0,6,17,31,90,9,3,1,0,7,17,44,52,8,3,2
"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,Parasitic and vector diseases,African Trypanosomiasis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,Parasitic and vector diseases,Chagas disease,6355,3737,2619,0,0,5,101,808,708,851,1264,0,1,4,77,552,430,541,1014
"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,Parasitic and vector diseases,Schistosomiasis,11504,6410,5093,0,49,514,1616,2878,806,377,172,0,41,471,1530,2154,451,266,181
"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,Parasitic and vector diseases,Leishmaniasis,1193,789,403,0,147,81,59,225,63,83,131,0,83,41,55,100,32,29,62
"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,Parasitic and vector diseases,lymphatic filariasis,212,158,54,0,0,18,38,63,22,12,5,0,0,6,11,15,18,3,1
"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,Parasitic and vector diseases,Onchocerciasis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,Parasitic and vector diseases,Cysticercosis,26611,10581,16030,0,3,52,1149,2940,2263,2157,2017,0,4,56,1232,4357,3242,3179,3960
"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,Parasitic and vector diseases,Echinococcosis,24592,13468,11123,0,142,509,1231,3714,2900,2622,2351,0,157,472,725,2257,1838,1982,3693
"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,Parasitic and vector diseases,Dengue,4608,2678,1929,2,97,288,482,944,307,324,235,4,103,327,448,546,193,159,150
