ioc_code,flag
AFG,🇦🇫
AIN,🏳️
ALB,🇦🇱
ALG,🇩🇿
ASA,🇦🇸
AND,🇦🇩
ANG,🇦🇴
ANT,🇦🇬
ARG,🇦🇷
ARM,🇦🇲
ARU,🇦🇼
AUS,🇦🇺
AUT,🇦🇹
AZE,🇦🇿
BAH,🇧🇸
BRN,🇧🇭
BAN,🇧🇩
BAR,🇧🇧
BEL,🇧🇪
BIZ,🇧🇿
BEN,🇧🇯
BER,🇧🇲
BHU,🇧🇹
BOL,🇧🇴
BIH,🇧🇦
BOT,🇧🇼
BRA,🇧🇷
BRU,🇧🇳
BUL,🇧🇬
BUR,🇧🇫
BDI,🇧🇮
CPV,🇨🇻
CAM,🇰🇭
CMR,🇨🇲
CAN,🇨🇦
CAY,🇰🇾
CAF,🇨🇫
CHA,🇹🇩
CHI,🇨🇱
TPE,🇹🇼
COL,🇨🇴
COM,🇰🇲
CGO,🇨🇬
COK,🇨🇰
CRC,🇨🇷
CRO,🇭🇷
CUB,🇨🇺
CYP,🇨🇾
CZE,🇨🇿
CIV,🇨🇮
PRK,🇰🇵
TLS,🇹🇱
COD,🇨🇩
DEN,🇩🇰
DJI,🇩🇯
DMA,🇩🇲
DOM,🇩🇴
ECU,🇪🇨
EGY,🇪🇬
EOR,🌍
ESA,🇸🇻
GEQ,🇬🇶
ERI,🇪🇷
EST,🇪🇪
SWZ,🇸🇿
ETH,🇪🇹
FSM,🇫🇲
FIJ,🇫🇯
FIN,🇫🇮
FRA,🇫🇷
GAB,🇬🇦
GAM,🇬🇲
GEO,🇬🇪
GER,🇩🇪
GHA,🇬🇭
GBR,🇬🇧
GRE,🇬🇷
GRN,🇬🇩
GUM,🇬🇺
GUA,🇬🇹
GUI,🇬🇳
GBS,🇬🇼
GUY,🇬🇾
HAI,🇭🇹
HON,🇭🇳
HKG,🇭🇰
HUN,🇭🇺
ISL,🇮🇸
IND,🇮🇳
INA,🇮🇩
IRQ,🇮🇶
IRL,🇮🇪
IRI,🇮🇷
ISR,🇮🇱
ITA,🇮🇹
JAM,🇯🇲
JPN,🇯🇵
JOR,🇯🇴
KAZ,🇰🇿
KEN,🇰🇪
KIR,🇰🇮
KOS,🇽🇰
KUW,🇰🇼
KGZ,🇰🇬
LAO,🇱🇦
LAT,🇱🇻
LBN,🇱🇧
LES,🇱🇸
LBR,🇱🇷
LBA,🇱🇾
LIE,🇱🇮
LTU,🇱🇹
LUX,🇱🇺
MAD,🇲🇬
MAW,🇲🇼
MAS,🇲🇾
MDV,🇲🇻
MLI,🇲🇱
MLT,🇲🇹
MHL,🇲🇭
MTN,🇲🇷
MRI,🇲🇺
MEX,🇲🇽
MON,🇲🇨
MGL,🇲🇳
MNE,🇲🇪
MAR,🇲🇦
MOZ,🇲🇿
MYA,🇲🇲
NAM,🇳🇦
NRU,🇳🇷
NEP,🇳🇵
NED,🇳🇱
NZL,🇳🇿
NCA,🇳🇮
NIG,🇳🇪
NGR,🇳🇬
MKD,🇲🇰
NOR,🇳🇴
OMA,🇴🇲
PAK,🇵🇰
PLW,🇵🇼
PLE,🇵🇸
PAN,🇵🇦
PNG,🇵🇬
PAR,🇵🇾
CHN,🇨🇳
PER,🇵🇪
PHI,🇵🇭
POL,🇵🇱
POR,🇵🇹
PUR,🇵🇷
QAT,🇶🇦
ROT,🏳️
KOR,🇰🇷
MDA,🇲🇩
ROU,🇷🇴
RWA,🇷🇼
SKN,🇰🇳
LCA,🇱🇨
SAM,🇼🇸
SMR,🇸🇲
STP,🇸🇹
KSA,🇸🇦
SEN,🇸🇳
SRB,🇷🇸
SEY,🇸🇨
SLE,🇸🇱
SGP,🇸🇬
SVK,🇸🇰
SLO,🇸🇮
SOL,🇸🇧
SOM,🇸🇴
RSA,🇿🇦
SSD,🇸🇸
ESP,🇪🇸
SRI,🇱🇰
VIN,🇻🇨
SUD,🇸🇩
SUR,🇸🇷
SWE,🇸🇪
SUI,🇨🇭
SYR,🇸🇾
TJK,🇹🇯
THA,🇹🇭
TOG,🇹🇬
TGA,🇹🇴
TTO,🇹🇹
TUN,🇹🇳
TKM,🇹🇲
TUV,🇹🇻
TUR,🇹🇷
UGA,🇺🇬
UKR,🇺🇦
UAE,🇦🇪
TAN,🇹🇿
USA,🇺🇸
URU,🇺🇾
UZB,🇺🇿
VAN,🇻🇺
VEN,🇻🇪
VIE,🇻🇳
IVB,🇻🇬
ISV,🇻🇮
YEM,🇾🇪
ZAM,🇿🇲
ZIM,🇿🇼
