Date,Discipline,Sub-discipline,Gold Name,Gold Country,Silver Name,Silver Country,Bronze Name,Bronze Country,,Record
7/27/2024,Shooting,10m Air Rifle Mixed Team Bronze Medal Match,,,,,Kazakhstan,KAZ,,
7/27/2024,Shooting,10m Air Rifle Mixed Team Gold Medal Match,China,CHN,Korea,KOR,,,,
7/27/2024,Diving,Women's Synchronised 3m Springboard Final,China,CHN,United States,USA,Great Britain,GBR,,
7/27/2024,Cycling Road,Women's Individual Time Trial,Grace BROWN,AUS,Anna HENDERSON,GBR,Chloe DYGERT,USA,,
7/27/2024,Cycling Road,Men's Individual Time Trial,Remco EVENEPOEL,BEL,Filippo GANNA,ITA,Wout van AERT,BEL,,
7/27/2024,Judo,Women -48 kg Contest for Bronze Medal A,,,,,Shirine BOUKLI,FRA,,
7/27/2024,Judo,Women -48 kg Contest for Bronze Medal B,,,,,Tara BABULFATH,SWE,,
7/27/2024,Judo,Women -48 kg Final,TSUNODA Natsumi,JPN,Baasankhuu BAVUUDORJ,MGL,,,,
7/27/2024,Judo,Men -60 kg Contest for Bronze Medal A,,,,,NAGAYAMA Ryuju,JPN,,
7/27/2024,Judo,Men -60 kg Contest for Bronze Medal B,,,,,Francisco GARRIGOS,ESP,,
7/27/2024,Judo,Men -60 kg Final,Yeldos SMETOV,KAZ,Luka MKHEIDZE,FRA,,,,
7/27/2024,Rugby Sevens,Men's Bronze Medal Match,,,,,South Africa,RSA,,
7/27/2024,Rugby Sevens,Men's Gold Medal Match,France,FRA,Fiji,FIJ,,,,
7/27/2024,Fencing,Women's Épée Individual Bronze Medal Bout,,,,,Eszter MUHARI,HUN,,
7/27/2024,Swimming,Men's 400m Freestyle Final,Lukas MAERTENS,GER,Elijah WINNINGTON,AUS,KIM Woomin,KOR,,
7/27/2024,Swimming,Women's 400m Freestyle Final,Ariarne TITMUS,AUS,Summer McINTOSH,CAN,Katie LEDECKY,USA,,
7/27/2024,Fencing,Men's Sabre Individual Bronze Medal Bout,,,,,Luigi SAMELE,ITA,,
7/27/2024,Fencing,Women's Épée Individual Gold Medal Bout,KONG Man Wai Vivian,HKG,Auriane MALLO-BRETON,FRA,,,,
7/27/2024,Swimming,Women's 4 x 100m Freestyle Relay Final,Australia,AUS,United States,USA,China,CHN,,OR
7/27/2024,Swimming,Men's 4 x 100m Freestyle Relay Final,United States,USA,Australia,AUS,Italy,ITA,,
7/27/2024,Fencing,Men's Sabre Individual Gold Medal Bout,OH Sanguk,KOR,Fares FERJANI,TUN,,,,
7/28/2024,Shooting,10m Air Pistol Men's Final,XIE Yu,CHN,Federico Nilo MALDINI,ITA,Paolo MONNA,ITA,,
7/28/2024,Shooting,10m Air Pistol Women's Final,OH Ye Jin,KOR,KIM Yeji,KOR,Manu BHAKER,IND,,OR
7/28/2024,Cycling Mountain Bike,Women's Cross-country,Pauline FERRAND PREVOT,FRA,Haley BATTEN,USA,Jenny RISSVEDS,SWE,,
7/28/2024,Archery,Women's Team Bronze Medal Match,,,,,Mexico,MEX,,
7/28/2024,Judo,Men -66 kg Contest for Bronze Medal A,,,,,Gusman KYRGYZBAYEV,KAZ,,
7/28/2024,Judo,Men -66 kg Contest for Bronze Medal B,,,,,Denis VIERU,MDA,,
7/28/2024,Judo,Men -66 kg Final,ABE Hifumi,JPN,Willian LIMA,BRA,,,,
7/28/2024,Judo,Women -52 kg Contest for Bronze Medal A,,,,,Larissa PIMENTA,BRA,,
7/28/2024,Judo,Women -52 kg Contest for Bronze Medal B,,,,,Amandine BUCHARD,FRA,,
7/28/2024,Judo,Women -52 kg Final,Diyora KELDIYOROVA,UZB,Distria KRASNIQI,KOS,,,,
7/28/2024,Skateboarding,Women's Street Final,YOSHIZAWA Coco,JPN,AKAMA Liz,JPN,Rayssa LEAL,BRA,,
7/28/2024,Archery,Women's Team Gold Medal Match,Korea,KOR,China,CHN,,,,
7/28/2024,Canoe Slalom,Women's Kayak Single Final,Jessica FOX,AUS,Klaudia ZWOLINSKA,POL,Kimberley WOODS,GBR,,
7/28/2024,Swimming,Men's 400m Individual Medley Final,Leon MARCHAND,FRA,MATSUSHITA Tomoyuki,JPN,Carson FOSTER,USA,,OR
7/28/2024,Swimming,Women's 100m Butterfly Final,Torri HUSKE,USA,Gretchen WALSH,USA,ZHANG Yufei,CHN,,
7/28/2024,Fencing,Women's Foil Individual Bronze Medal Bout,,,,,Eleanor HARVEY,CAN,,
7/28/2024,Fencing,Men's Épée Individual Bronze Medal Bout,,,,,Mohamed ELSAYED,EGY,,
7/28/2024,Swimming,Men's 100m Breaststroke Final,Nicolo MARTINENGHI,ITA,Adam PEATY,GBR,,,,
7/28/2024,Swimming,Men's 100m Breaststroke Final,,,Nic FINK,USA,,,,
7/28/2024,Fencing,Women's Foil Individual Gold Medal Bout,Lee KIEFER,USA,Lauren SCRUGGS,USA,,,,
7/28/2024,Fencing,Men's Épée Individual Gold Medal Bout,KANO Koki,JPN,Yannick BOREL,FRA,,,,
7/29/2024,Shooting,10m Air Rifle Women's Final,BAN Hyojin,KOR,HUANG Yuting,CHN,Audrey GOGNIAT,SUI,,OR
7/29/2024,Diving,Men's Synchronised 10m Platform Final,China,CHN,Great Britain,GBR,Canada,CAN,,
7/29/2024,Equestrian,Eventing Team Jumping Final,Great Britain,GBR,France,FRA,Japan,JPN,,
7/29/2024,Shooting,10m Air Rifle Men's Final,SHENG Lihao,CHN,Victor LINDGREN,SWE,Miran MARICIC,CRO,,OR
7/29/2024,Cycling Mountain Bike,Men's Cross-country,Thomas PIDCOCK,GBR,Victor KORETZKY,FRA,Alan HATHERLY,RSA,,
7/29/2024,Equestrian,Eventing Individual Jumping Final,Michael JUNG,GER,Christopher BURTON,AUS,Laura COLLETT,GBR,,
7/29/2024,Archery,Men's Team Bronze Medal Match,,,,,Türkiye,TUR,,
7/29/2024,Judo,Women -57 kg Contest for Bronze Medal A,,,,,FUNAKUBO Haruka,JPN,,
7/29/2024,Judo,Women -57 kg Contest for Bronze Medal B,,,,,Sarah Leonie CYSIQUE,FRA,,
7/29/2024,Judo,Women -57 kg Final,Christa DEGUCHI,CAN,HUH Mimi,KOR,,,,
7/29/2024,Judo,Men -73 kg Contest for Bronze Medal A,,,,,Adil OSMANOV,MDA,,
7/29/2024,Judo,Men -73 kg Contest for Bronze Medal B,,,,,HASHIMOTO Soichi,JPN,,
7/29/2024,Judo,Men -73 kg Final,Hidayat HEYDAROV,AZE,Joan-Benjamin GABA,FRA,,,,
7/29/2024,Skateboarding,Men's Street Final,HORIGOME Yuto,JPN,Jagger EATON,USA,Nyjah HUSTON,USA,,
7/29/2024,Archery,Men's Team Gold Medal Match,Korea,KOR,France,FRA,,,,
7/29/2024,Canoe Slalom,Men's Canoe Single Final,Nicolas GESTIN,FRA,Adam BURGESS,GBR,Matej BENUS,SVK,,
7/29/2024,Artistic Gymnastics,Men's Team Final,Japan,JPN,China,CHN,United States,USA,,
7/29/2024,Swimming,Women's 400m Individual Medley Final,Summer McINTOSH,CAN,Katie GRIMES,USA,Emma WEYANT,USA,,
7/29/2024,Swimming,Men's 200m Freestyle Final,David POPOVICI,ROU,Matthew RICHARDS,GBR,Luke HOBSON,USA,,
7/29/2024,Fencing,Women's Sabre Individual Bronze Medal Bout,,,,,Olga KHARLAN,UKR,,
7/29/2024,Fencing,Men's Foil Individual Bronze Medal Bout,,,,,Nick ITKIN,USA,,
7/29/2024,Swimming,Men's 100m Backstroke Final,Thomas CECCON,ITA,XU Jiayu,CHN,Ryan MURPHY,USA,,
7/29/2024,Swimming,Women's 100m Breaststroke Final,Tatjana SMITH,RSA,TANG Qianting,CHN,Mona Mc SHARRY,IRL,,
7/29/2024,Fencing,Women's Sabre Individual Gold Medal Bout,Manon APITHY-BRUNET,FRA,Sara BALZER,FRA,,,,
7/29/2024,Swimming,Women's 200m Freestyle Final,Mollie O'CALLAGHAN,AUS,Ariarne TITMUS,AUS,HAUGHEY Siobhan Bernadette,HKG,,OR
7/29/2024,Fencing,Men's Foil Individual Gold Medal Bout,CHEUNG Ka Long,HKG,Filippo MACCHI,ITA,,,,
7/30/2024,Shooting,10m Air Pistol Mixed Team Bronze Medal Match,,,,,India 1,IND,,
7/30/2024,Shooting,10m Air Pistol Mixed Team Gold Medal Match,Serbia,SRB,Türkiye 2,TUR,,,,
7/30/2024,Table Tennis,Mixed Doubles Bronze Medal Match,,,,,LIM/SHIN,KOR,,
7/30/2024,Table Tennis,Mixed Doubles Gold Medal Match,WANG/SUN,CHN,RI/KIM,PRK,,,,
7/30/2024,Shooting,Trap Men's Final,Nathan HALES,GBR,QI Ying,CHN,Jean Pierre BROL CARDENAS,GUA,,
7/30/2024,Judo,Men -81 kg Contest for Bronze Medal A,,,,,LEE Joonhwan,KOR,,
7/30/2024,Judo,Men -81 kg Contest for Bronze Medal B,,,,,Somon MAKHMADBEKOV,TJK,,
7/30/2024,Judo,Men -81 kg Final,NAGASE Takanori,JPN,Tato GRIGALASHVILI,GEO,,,,
7/30/2024,Judo,Women -63 kg Contest for Bronze Medal A,,,,,Clarisse AGBEGNENOU,FRA,,
7/30/2024,Judo,Women -63 kg Contest for Bronze Medal B,,,,,Laura FAZLIU,KOS,,
7/30/2024,Judo,Women -63 kg Final,Andreja LESKI,SLO,Prisca AWITI ALCARAZ,MEX,,,,
7/30/2024,Artistic Gymnastics,Women's Team Final,United States,USA,Italy,ITA,Brazil,BRA,,
7/30/2024,Rugby Sevens,Women's Bronze Medal Match,,,,,United States,USA,,
7/30/2024,Fencing,Women's Épée Team Bronze Medal Match,,,,,Poland,POL,,
7/30/2024,Fencing,Women's Épée Team Gold Medal Match,Italy,ITA,France,FRA,,,,
7/30/2024,Rugby Sevens,Women's Gold Medal Match,New Zealand,NZL,Canada,CAN,,,,
7/30/2024,Swimming,Women's 100m Backstroke Final,Kaylee McKEOWN,AUS,Regan SMITH,USA,Katharine BERKOFF,USA,,
7/30/2024,Swimming,Men's 800m Freestyle Final,Daniel WIFFEN,IRL,Bobby FINKE,USA,Gregorio PALTRINIERI,ITA,,
7/30/2024,Swimming,Men's 4 x 200m Freestyle Relay Final,Great Britain,GBR,United States,USA,Australia,AUS,,
7/31/2024,Triathlon,Women's Individual,Cassandre BEAUGRAND,FRA,Julie DERRON,SUI,Beth POTTER,GBR,,
7/31/2024,Triathlon,Men's Individual,Alex YEE,GBR,Hayden WILDE,NZL,Leo BERGERE,FRA,,
7/31/2024,Diving,Women's Synchronised 10m Platform Final,China,CHN,DPR Korea,PRK,Great Britain,GBR,,
7/31/2024,Rowing,Men's Quadruple Sculls Final A,Netherlands,NED,Italy,ITA,Poland,POL,,
7/31/2024,Rowing,Women's Quadruple Sculls Final A,Great Britain,GBR,Netherlands,NED,Germany,GER,,
7/31/2024,Cycling BMX Freestyle,Women's Park Final,DENG Yawen,CHN,Perris BENEGAS,USA,Natalya DIEHM,AUS,,
7/31/2024,Cycling BMX Freestyle,Men's Park Final,Jose TORRES GIL,ARG,Kieran Darren David REILLY,GBR,Anthony JEANJEAN,FRA,,
7/31/2024,Shooting,Trap Women's Final,Adriana RUANO OLIVA,GUA,Silvana Maria STANCO,ITA,Penny SMITH,AUS,,
7/31/2024,Judo,Women -70 kg Contest for Bronze Medal A,,,,,Michaela POLLERES,AUT,,
7/31/2024,Judo,Women -70 kg Contest for Bronze Medal B,,,,,Gabriella WILLEMS,BEL,,
7/31/2024,Judo,Women -70 kg Final,Barbara MATIC,CRO,Miriam BUTKEREIT,GER,,,,
7/31/2024,Judo,Men -90 kg Contest for Bronze Medal A,,,,,Maxime-Gael NGAYAP HAMBOU,FRA,,
7/31/2024,Judo,Men -90 kg Contest for Bronze Medal B,,,,,Theodoros TSELIDIS,GRE,,
7/31/2024,Judo,Men -90 kg Final,Lasha BEKAURI,GEO,MURAO Sanshiro,JPN,,,,
7/31/2024,Canoe Slalom,Women's Canoe Single Final,Jessica FOX,AUS,Elena LILIK,GER,Evy LEIBFARTH,USA,,
