Date,Subscribers_raw,Subcribers
2024-07-12,0,0
2024-07-13,0,0
2024-07-14,4,4
2024-07-15,6,10
2024-07-16,1,11
2024-07-17,1,12
2024-07-18,0,12
2024-07-19,0,12
2024-07-20,0,12
2024-07-21,1,13
2024-07-22,0,13
2024-07-23,0,13
2024-07-24,1,14
2024-07-25,0,14
2024-07-26,0,14
2024-07-27,0,14
2024-07-28,0,14
2024-07-29,0,14
2024-07-30,0,14
2024-07-31,0,14
2024-08-01,0,14
2024-08-02,0,14
2024-08-03,0,14
2024-08-04,0,14
2024-08-05,0,14
2024-08-06,0,14
2024-08-07,0,14
2024-08-08,0,14
2024-08-09,0,14
2024-08-10,0,14
2024-08-11,0,14
2024-08-12,0,14
2024-08-13,0,14
2024-08-14,0,14
2024-08-15,0,14
2024-08-16,0,14
2024-08-17,0,14
2024-08-18,0,14
2024-08-19,0,14
2024-08-20,1,15
2024-08-21,7,22
2024-08-22,1,23
2024-08-23,1,24
2024-08-24,1,25
2024-08-25,2,27
2024-08-26,0,27
2024-08-27,0,27
2024-08-28,0,27
2024-08-29,0,27
2024-08-30,1,28
2024-08-31,0,28
2024-09-01,0,28
2024-09-02,0,28
2024-09-03,0,28
2024-09-04,0,28
2024-09-05,0,28
2024-09-06,0,28
2024-09-07,0,28
2024-09-08,0,28
2024-09-09,0,28
2024-09-10,0,28
2024-09-11,0,28
2024-09-12,0,28
2024-09-13,0,28
2024-09-14,1,29
2024-09-15,23,52
2024-09-16,3,55
2024-09-17,0,55
2024-09-18,1,56
2024-09-19,6,62
2024-09-20,2,64
2024-09-21,2,66
2024-09-22,2,68
2024-09-23,0,68
2024-09-24,0,68
2024-09-25,1,69
2024-09-26,7,76
2024-09-27,10,86
2024-09-28,8,94
2024-09-29,6,100
