player,detail,peak_date,birth_year,gender
Thomas Burke,gold,1896,1875,M
Fritz Hofmann,silver,1896,1871,M
Francis Lane,bronze,1896,1874,M
Alajos Szokolyi,bronze,1896,1871,M
Frank Jarvis,gold,1900,1878,M
Walter Tewksbury,silver,1900,1876,M
Stan Rowley,bronze,1900,1876,M
Archie Hahn,gold,1904,1880,M
Nathaniel Cartmell,silver,1904,1883,M
William Hogenson,bronze,1904,1884,M
Reggie Walker,gold,1908,1889,M
James Rector,silver,1908,1884,M
Robert Kerr,bronze,1908,1882,M
Ralph Craig,gold,1912,1889,M
Alvah Meyer,silver,1912,1888,M
Donald Lippincott,bronze,1912,1893,M
Charley Paddock,gold,1920,1900,M
Morris Kirksey,silver,1920,1895,M
Harry Edward,bronze,1920,1898,M
Harold Abrahams,gold,1924,1899,M
Jackson Scholz,silver,1924,1897,M
Arthur Porritt,bronze,1924,1900,M
Percy Williams,gold,1928,1908,M
Jack London,silver,1928,1905,M
Georg Lammers,bronze,1928,1905,M
Eddie Tolan,gold,1932,1908,M
Ralph Metcalfe,silver,1932,1910,M
Arthur Jonath,bronze,1932,1909,M
Jesse Owens,gold,1936,1913,M
Ralph Metcalfe,silver,1936,1910,M
Tinus Osendarp,bronze,1936,1916,M
Harrison Dillard,gold,1948,1923,M
Barney Ewell,silver,1948,1918,M
Lloyd LaBeach,bronze,1948,1922,M
Lindy Remigino,gold,1952,1931,M
Herb McKenley,silver,1952,1922,M
McDonald Bailey,bronze,1952,1920,M
Bobby Morrow,gold,1956,1935,M
Thane Baker,silver,1956,1931,M
Hector Hogan,bronze,1956,1931,M
Armin Hary,gold,1960,1937,M
Dave Sime,silver,1960,1936,M
Peter Radford,bronze,1960,1939,M
Bob Hayes,gold,1964,1942,M
Enrique Figuerola,silver,1964,1938,M
Harry Jerome,bronze,1964,1940,M
Jim Hines,gold,1968,1946,M
Lennox Miller,silver,1968,1946,M
Charles Greene,bronze,1968,1945,M
Valeriy Borzov,gold,1972,1949,M
Robert Taylor,silver,1972,1948,M
Lennox Miller,bronze,1972,1946,M
Hasely Crawford,gold,1976,1950,M
Don Quarrie,silver,1976,1951,M
Valeriy Borzov,bronze,1976,1949,M
Allan Wells,gold,1980,1952,M
Silvio Leonard,silver,1980,1955,M
Petar Petrov,bronze,1980,1955,M
Carl Lewis,gold,1984,1961,M
Sam Graddy,silver,1984,1964,M
Ben Johnson,bronze,1984,1961,M
Carl Lewis,gold,1988,1961,M
Linford Christie,silver,1988,1960,M
Calvin Smith,bronze,1988,1961,M
Linford Christie,gold,1992,1960,M
Frankie Fredericks,silver,1992,1967,M
Dennis Mitchell,bronze,1992,1966,M
Donovan Bailey,gold,1996,1967,M
Frankie Fredericks,silver,1996,1967,M
Ato Boldon,bronze,1996,1973,M
Maurice Greene,gold,2000,1974,M
Ato Boldon,silver,2000,1973,M
Obadele Thompson,bronze,2000,1976,M
Justin Gatlin,gold,2004,1982,M
Francis Obikwelu,silver,2004,1978,M
Maurice Greene,bronze,2004,1974,M
Usain Bolt,gold,2008,1986,M
Richard Thompson,silver,2008,1985,M
Walter Dix,bronze,2008,1986,M
Usain Bolt,gold,2012,1986,M
Yohan Blake,silver,2012,1989,M
Justin Gatlin,bronze,2012,1982,M
Usain Bolt,gold,2016,1986,M
Justin Gatlin,silver,2016,1982,M
Andre De Grasse,bronze,2016,1994,M
Marcell Jacobs,gold,2020,1994,M
Fred Kerley,silver,2020,1995,M
Andre De Grasse,bronze,2020,1994,M
Noah Lyles,gold,2024,1997,M
Kishane Thompson,silver,2024,2001,M
