player,detail,peak_date,birth_year,gender
Lefty Grove,LHP,1931,1900,M
Frankie Frisch,2B,1931,1897,M
Jimmie Foxx,1B,1932,1907,M
Chuck Klein,OF,1932,1904,M
Jimmie Foxx,1B,1933,1907,M
Carl Hubbell,LHP,1933,1903,M
Mickey Cochrane,C,1934,1903,M
Dizzy Dean,RHP,1934,1910,M
Hank Greenberg,1B,1935,1911,M
Gabby Hartnett,C,1935,1900,M
Lou Gehrig,1B,1936,1903,M
Carl Hubbell,LHP,1936,1903,M
Charlie Gehringer,2B,1937,1903,M
Joe Medwick,OF,1937,1911,M
Jimmie Foxx,1B,1938,1907,M
Ernie Lombardi,C,1938,1908,M
Joe DiMaggio,OF,1939,1914,M
Bucky Walters,RHP,1939,1909,M
Hank Greenberg,OF,1940,1911,M
Frank McCormick,1B,1940,1911,M
Joe DiMaggio,OF,1941,1914,M
Dolph Camilli,1B,1941,1907,M
Joe Gordon,2B,1942,1915,M
Mort Cooper,RHP,1942,1913,M
Spud Chandler,RHP,1943,1907,M
Stan Musial,OF,1943,1920,M
Hal Newhouser,LHP,1944,1921,M
Marty Marion,SS,1944,1917,M
Hal Newhouser,LHP,1945,1921,M
Phil Cavarretta,1B,1945,1916,M
Ted Williams,OF,1946,1918,M
Stan Musial,1B,1946,1920,M
Joe DiMaggio,OF,1947,1914,M
Bob Elliott,3B,1947,1916,M
Lou Boudreau,SS,1948,1917,M
Stan Musial,OF,1948,1920,M
Ted Williams,OF,1949,1918,M
Jackie Robinson,2B,1949,1919,M
Phil Rizzuto,SS,1950,1917,M
Jim Konstanty,RHP,1950,1917,M
Yogi Berra,C,1951,1925,M
Roy Campanella,C,1951,1921,M
Bobby Shantz,LHP,1952,1925,M
Hank Sauer,OF,1952,1917,M
Al Rosen,3B,1953,1924,M
Roy Campanella,C,1953,1921,M
Yogi Berra,C,1954,1925,M
Willie Mays,OF,1954,1931,M
Yogi Berra,C,1955,1925,M
Roy Campanella,C,1955,1921,M
Mickey Mantle,OF,1956,1931,M
Don Newcombe,RHP,1956,1926,M
Mickey Mantle,OF,1957,1931,M
Hank Aaron,OF,1957,1934,M
Jackie Jensen,OF,1958,1927,M
Ernie Banks,SS,1958,1931,M
Nellie Fox,2B,1959,1927,M
Ernie Banks,SS,1959,1931,M
Roger Maris,OF,1960,1934,M
Dick Groat,SS,1960,1930,M
Roger Maris,OF,1961,1934,M
Frank Robinson,OF,1961,1935,M
Mickey Mantle,OF,1962,1931,M
Maury Wills,SS,1962,1932,M
Elston Howard,C,1963,1929,M
Sandy Koufax,LHP,1963,1935,M
Brooks Robinson,3B,1964,1937,M
Ken Boyer,3B,1964,1931,M
Zoilo Versalles,SS,1965,1939,M
Willie Mays,OF,1965,1931,M
Frank Robinson,OF,1966,1935,M
Roberto Clemente,OF,1966,1934,M
Carl Yastrzemski,OF,1967,1939,M
Orlando Cepeda,1B,1967,1937,M
Denny McLain,RHP,1968,1944,M
Bob Gibson,RHP,1968,1935,M
Harmon Killebrew,3B,1969,1936,M
Willie McCovey,1B,1969,1938,M
Boog Powell,1B,1970,1941,M
Johnny Bench,C,1970,1947,M
Vida Blue,LHP,1971,1949,M
Joe Torre,3B,1971,1940,M
Dick Allen,1B,1972,1942,M
Johnny Bench,C,1972,1947,M
Reggie Jackson,OF,1973,1946,M
Pete Rose,OF,1973,1941,M
Jeff Burroughs,OF,1974,1951,M
Steve Garvey,1B,1974,1948,M
Fred Lynn,OF,1975,1952,M
Joe Morgan,2B,1975,1943,M
Thurman Munson,C,1976,1947,M
Joe Morgan,2B,1976,1943,M
Rod Carew,1B,1977,1945,M
George Foster,OF,1977,1948,M
Jim Rice,OF,1978,1953,M
Dave Parker,OF,1978,1951,M
Don Baylor,LF/DH,1979,1949,M
Keith Hernandez,1B,1979,1953,M
Willie Stargell,1B,1979,1940,M
George Brett,3B,1980,1953,M
Mike Schmidt,3B,1980,1949,M
Rollie Fingers,RHP,1981,1946,M
Mike Schmidt,3B,1981,1949,M
Robin Yount,SS,1982,1955,M
Dale Murphy,OF,1982,1956,M
Cal Ripken Jr.,SS,1983,1960,M
Dale Murphy,OF,1983,1956,M
Willie Hernández,LHP,1984,1954,M
Ryne Sandberg,2B,1984,1959,M
Don Mattingly,1B,1985,1961,M
Willie McGee,OF,1985,1958,M
Roger Clemens,RHP,1986,1962,M
Mike Schmidt,3B,1986,1949,M
George Bell,OF,1987,1959,M
Andre Dawson,OF,1987,1954,M
Jose Canseco,OF,1988,1964,M
Kirk Gibson,OF,1988,1957,M
Robin Yount,OF,1989,1955,M
Kevin Mitchell,OF,1989,1962,M
Rickey Henderson,OF,1990,1958,M
Barry Bonds,OF,1990,1964,M
Cal Ripken Jr.,SS,1991,1960,M
Terry Pendleton,3B,1991,1960,M
Dennis Eckersley,RHP,1992,1954,M
Barry Bonds,OF,1992,1964,M
Frank Thomas,1B,1993,1968,M
Barry Bonds,OF,1993,1964,M
Frank Thomas,1B,1994,1968,M
Jeff Bagwell,1B,1994,1968,M
Mo Vaughn,1B,1995,1967,M
Barry Larkin,SS,1995,1964,M
Juan González,OF,1996,1969,M
Ken Caminiti,3B,1996,1963,M
Ken Griffey Jr.,OF,1997,1969,M
Larry Walker,OF,1997,1966,M
Juan González,OF,1998,1969,M
Sammy Sosa,OF,1998,1968,M
Iván Rodríguez,C,1999,1971,M
Chipper Jones,3B,1999,1972,M
Jason Giambi,1B,2000,1971,M
Jeff Kent,2B,2000,1968,M
Ichiro Suzuki,OF,2001,1973,M
Barry Bonds,OF,2001,1964,M
Miguel Tejada,SS,2002,1974,M
Barry Bonds,OF,2002,1964,M
Alex Rodriguez,SS,2003,1975,M
Barry Bonds,OF,2003,1964,M
Vladimir Guerrero,OF,2004,1975,M
Barry Bonds,OF,2004,1964,M
Alex Rodriguez,3B,2005,1975,M
Albert Pujols,1B,2005,1980,M
Justin Morneau,1B,2006,1981,M
Ryan Howard,1B,2006,1979,M
Alex Rodriguez,3B,2007,1975,M
Jimmy Rollins,SS,2007,1978,M
Dustin Pedroia,2B,2008,1983,M
Albert Pujols,1B,2008,1980,M
Joe Mauer,C,2009,1983,M
Albert Pujols,1B,2009,1980,M
Josh Hamilton,OF,2010,1981,M
Joey Votto,1B,2010,1983,M
Justin Verlander,RHP,2011,1983,M
Ryan Braun,OF,2011,1983,M
