player,detail,peak_date,birth_year,gender
Stanley Matthews,1st,1956,1915,M
Alfredo Di Stéfano,2nd,1956,1926,M
Raymond Kopa,3rd,1956,1931,M
Alfredo Di Stéfano,1st,1957,1926,M
Billy Wright,2nd,1957,1924,M
Duncan Edwards,3rd,1957,1936,M
Raymond Kopa,3rd,1957,1931,M
Raymond Kopa,1st,1958,1931,M
Helmut Rahn,2nd,1958,1929,M
Just Fontaine,3rd,1958,1933,M
Alfredo Di Stéfano,1st,1959,1926,M
Raymond Kopa,2nd,1959,1931,M
John Charles,3rd,1959,1931,M
Luis Suárez,1st,1960,1935,M
Ferenc Puskás,2nd,1960,1927,M
Uwe Seeler,3rd,1960,1936,M
Omar Sívori,1st,1961,1935,M
Luis Suárez,2nd,1961,1935,M
Johnny Haynes,3rd,1961,1934,M
Josef Masopust,1st,1962,1931,M
Eusébio,2nd,1962,1942,M
Karl-Heinz Schnellinger,3rd,1962,1939,M
Lev Yashin,1st,1963,1929,M
Gianni Rivera,2nd,1963,1943,M
Jimmy Greaves,3rd,1963,1940,M
Denis Law,1st,1964,1940,M
Luis Suárez,2nd,1964,1935,M
Amancio,3rd,1964,1939,M
Eusébio,1st,1965,1942,M
Giacinto Facchetti,2nd,1965,1942,M
Luis Suárez,3rd,1965,1935,M
Bobby Charlton,1st,1966,1937,M
Eusébio,2nd,1966,1942,M
Franz Beckenbauer,3rd,1966,1945,M
Flórián Albert,1st,1967,1941,M
Bobby Charlton,2nd,1967,1937,M
Jimmy Johnstone,3rd,1967,1944,M
George Best,1st,1968,1946,M
Bobby Charlton,2nd,1968,1937,M
Dragan Džajić,3rd,1968,1946,M
Gianni Rivera,1st,1969,1943,M
Gigi Riva,2nd,1969,1944,M
Gerd Müller,3rd,1969,1945,M
Gerd Müller,1st,1970,1945,M
Bobby Moore,2nd,1970,1941,M
Gigi Riva,3rd,1970,1944,M
Johan Cruyff,1st,1971,1947,M
Sandro Mazzola,2nd,1971,1942,M
George Best,3rd,1971,1946,M
Franz Beckenbauer,1st,1972,1945,M
Gerd Müller,2nd,1972,1945,M
Günter Netzer,3rd,1972,1944,M
Johan Cruyff,1st,1973,1947,M
Dino Zoff,2nd,1973,1942,M
Gerd Müller,3rd,1973,1945,M
Johan Cruyff,1st,1974,1947,M
Franz Beckenbauer,2nd,1974,1945,M
Kazimierz Deyna,3rd,1974,1947,M
Oleg Blokhin,1st,1975,1952,M
Franz Beckenbauer,2nd,1975,1945,M
Johan Cruyff,3rd,1975,1947,M
Franz Beckenbauer,1st,1976,1945,M
Rob Rensenbrink,2nd,1976,1947,M
Ivo Viktor,3rd,1976,1942,M
Allan Simonsen,1st,1977,1952,M
Kevin Keegan,2nd,1977,1951,M
Michel Platini,3rd,1977,1955,M
Kevin Keegan,1st,1978,1951,M
Hans Krankl,2nd,1978,1953,M
Rob Rensenbrink,3rd,1978,1947,M
Kevin Keegan,1st,1979,1951,M
Karl-Heinz Rummenigge,2nd,1979,1955,M
Ruud Krol,3rd,1979,1949,M
Karl-Heinz Rummenigge,1st,1980,1955,M
