player,detail,peak_date,birth_year,gender
Maria Gorokhovskaya,Gold,1952,1921,F
Nina Bocharova,Silver,1952,1924,F
Margit Korondi,Bronze,1952,1932,F
Larisa Latynina,Gold,1956,1934,F
Ágnes Keleti,Silver,1956,1921,F
Sofia Muratova,Bronze,1956,1929,F
Larisa Latynina,Gold,1960,1934,F
Sofia Muratova,Silver,1960,1929,F
Polina Astakhova,Bronze,1960,1936,F
Věra Čáslavská,Gold,1964,1942,F
Larisa Latynina,Silver,1964,1934,F
Polina Astakhova,Bronze,1964,1936,F
Věra Čáslavská,Gold,1968,1942,F
Zinaida Voronina,Silver,1968,1947,F
Natalia Kuchinskaya,Bronze,1968,1949,F
Ludmilla Tourischeva,Gold,1972,1952,F
Karin Janz,Silver,1972,1952,F
Tamara Lazakovich,Bronze,1972,1954,F
Nadia Comăneci,Gold,1976,1961,F
Nellie Kim,Silver,1976,1957,F
Ludmilla Tourischeva,Bronze,1976,1952,F
Yelena Davydova,Gold,1980,1961,F
Nadia Comăneci,Silver,1980,1961,F
Maxi Gnauck,Bronze,1980,1964,F
Mary Lou Retton,Gold,1984,1968,F
Ecaterina Szabo,Silver,1984,1968,F
Simona Păucă,Bronze,1984,1969,F
Yelena Shushunova,Gold,1988,1969,F
Daniela Silivaș,Silver,1988,1972,F
Svetlana Boginskaya,Bronze,1988,1973,F
Tatiana Gutsu,Gold,1992,1976,F
Shannon Miller,Silver,1992,1977,F
Lavinia Miloșovici,Bronze,1992,1976,F
Lilia Podkopayeva,Gold,1996,1978,F
Gina Gogean,Silver,1996,1977,F
Simona Amânar,Bronze,1996,1979,F
Lavinia Miloșovici,Bronze,1996,1976,F
Simona Amânar,Gold,2000,1979,F
Maria Olaru,Silver,2000,1982,F
Liu Xuan,Bronze,2000,1979,F
Carly Patterson,Gold,2004,1988,F
Svetlana Khorkina,Silver,2004,1979,F
Zhang Nan,Bronze,2004,1986,F
Nastia Liukin,Gold,2008,1989,F
Shawn Johnson,Silver,2008,1992,F
Yang Yilin,Bronze,2008,1992,F
Gabby Douglas,Gold,2012,1995,F
Viktoria Komova,Silver,2012,1995,F
Aliya Mustafina,Bronze,2012,1994,F
Simone Biles,Gold,2016,1997,F
Aly Raisman,Silver,2016,1994,F
Aliya Mustafina,Bronze,2016,1994,F
Sunisa Lee,Gold,2020,2003,F
Rebeca Andrade,Silver,2020,1999,F
Angelina Melnikova,Bronze,2020,2000,F
Simone Biles,Gold,2024,1997,F
Rebeca Andrade,Silver,2024,1999,F
Sunisa Lee,Bronze,2024,2003,F
Gustave Sandras,Gold,1900,1872,M
Noël Bas,Silver,1900,1877,M
Lucien Démanet,Bronze,1900,1874,M
Julius Lenhart,Gold,1904,1875,M
Wilhelm Weber,Silver,1904,1880,M
Adolf Spinnler,Bronze,1904,1879,M
Alberto Braglia,Gold,1908,1883,M
Walter Tysall,Silver,1908,1880,M
Louis Ségura,Bronze,1908,1889,M
Alberto Braglia,Gold,1912,1883,M
Louis Ségura,Silver,1912,1889,M
Adolfo Tunesi,Bronze,1912,1887,M
