player,detail,peak_date,birth_year,gender
Ellery Harding Clark,Gold,1896,1874,M
James Brendan Connolly,Silver,1896,1868,M
Robert Garrett,Bronze,1896,1875,M
Irving Baxter,Gold,1900,1876,M
Patrick Leahy,Silver,1900,1877,M
Lajos Gönczy,Bronze,1900,1881,M
Samuel Jones,Gold,1904,1880,M
Garrett Serviss,Silver,1904,1881,M
Paul Weinstein,Bronze,1904,1878,M
Harry Porter,Gold,1908,1882,M
Géo André,Silver,1908,1889,M
Con Leahy,Bronze,1908,1876,M
István Somodi,Bronze,1908,1885,M
Alma Richards,Gold,1912,1890,M
Hans Liesche,Silver,1912,1891,M
George Horine,Bronze,1912,1890,M
Richmond Landon,Gold,1920,1898,M
Harold Muller,Silver,1920,1901,M
Bo Ekelund,Bronze,1920,1894,M
Harold Osborn,Gold,1924,1899,M
Leroy Brown,Silver,1924,1902,M
Pierre Lewden,Bronze,1924,1901,M
Bob King,Gold,1928,1906,M
Benjamin Hedges,Silver,1928,1907,M
Claude Ménard,Bronze,1928,1906,M
Duncan McNaughton,Gold,1932,1910,M
Bob Van Osdel,Silver,1932,1910,M
Simeon Toribio,Bronze,1932,1905,M
Cornelius Johnson,Gold,1936,1913,M
Dave Albritton,Silver,1936,1913,M
Delos Thurber,Bronze,1936,1916,M
John Winter,Gold,1948,1924,M
Bjørn Paulson,Silver,1948,1923,M
George Stanich,Bronze,1948,1928,M
Walt Davis,Gold,1952,1931,M
Ken Wiesner,Silver,1952,1925,M
José da Conceição,Bronze,1952,1931,M
Charles Dumas,Gold,1956,1937,M
Chilla Porter,Silver,1956,1936,M
Igor Kashkarov,Bronze,1956,1933,M
Robert Shavlakadze,Gold,1960,1933,M
Valeriy Brumel,Silver,1960,1942,M
John Thomas,Bronze,1960,1941,M
Valeriy Brumel,Gold,1964,1942,M
John Thomas,Silver,1964,1941,M
John Rambo,Bronze,1964,1943,M
Dick Fosbury,Gold,1968,1947,M
Ed Caruthers,Silver,1968,1945,M
Valentin Gavrilov,Bronze,1968,1946,M
Jüri Tarmak,Gold,1972,1946,M
Stefan Junge,Silver,1972,1950,M
Dwight Stones,Bronze,1972,1953,M
Jacek Wszoła,Gold,1976,1956,M
Greg Joy,Silver,1976,1956,M
Dwight Stones,Bronze,1976,1953,M
Gerd Wessig,Gold,1980,1959,M
Jacek Wszoła,Silver,1980,1956,M
Jörg Freimuth,Bronze,1980,1961,M
