player,detail,peak_date,birth_year,gender
Eric Lemming,Gold,1908,1880,M
Arne Halse,Silver,1908,1887,M
Otto Nilsson,Bronze,1908,1879,M
Eric Lemming,Gold,1912,1880,M
Julius Saaristo,Silver,1912,1891,M
Mór Kóczán,Bronze,1912,1885,M
Jonni Myyrä,Gold,1920,1892,M
Urho Peltonen,Silver,1920,1893,M
Pekka Johansson,Bronze,1920,1895,M
Jonni Myyrä,Gold,1924,1892,M
Gunnar Lindström,Silver,1924,1896,M
Eugene Oberst,Bronze,1924,1901,M
Erik Lundqvist,Gold,1928,1908,M
Béla Szepes,Silver,1928,1903,M
Olav Sunde,Bronze,1928,1903,M
Matti Järvinen,Gold,1932,1909,M
Matti Sippala,Silver,1932,1908,M
Eino Penttilä,Bronze,1932,1906,M
Gerhard Stöck,Gold,1936,1911,M
Yrjö Nikkanen,Silver,1936,1914,M
Kalervo Toivonen,Bronze,1936,1913,M
Tapio Rautavaara,Gold,1948,1915,M
Steve Seymour,Silver,1948,1920,M
József Várszegi,Bronze,1948,1910,M
Cy Young,Gold,1952,1928,M
Bill Miller,Silver,1952,1930,M
Toivo Hyytiäinen,Bronze,1952,1925,M
Egil Danielsen,Gold,1956,1933,M
Janusz Sidło,Silver,1956,1933,M
Viktor Tsybulenko,Bronze,1956,1930,M
Viktor Tsybulenko,Gold,1960,1930,M
Walter Krüger,Silver,1960,1930,M
Gergely Kulcsár,Bronze,1960,1934,M
Pauli Nevala,Gold,1964,1940,M
Gergely Kulcsár,Silver,1964,1934,M
Jānis Lūsis,Bronze,1964,1939,M
Jānis Lūsis,Gold,1968,1939,M
Jorma Kinnunen,Silver,1968,1941,M
Gergely Kulcsár,Bronze,1968,1934,M
Klaus Wolfermann,Gold,1972,1946,M
Jānis Lūsis,Silver,1972,1939,M
Bill Schmidt,Bronze,1972,1947,M
Miklós Németh,Gold,1976,1946,M
Hannu Siitonen,Silver,1976,1949,M
Gheorghe Megelea,Bronze,1976,1954,M
Dainis Kūla,Gold,1980,1959,M
Aleksandr Makarov,Silver,1980,1951,M
Wolfgang Hanisch,Bronze,1980,1951,M
Arto Härkönen,Gold,1984,1959,M
David Ottley,Silver,1984,1955,M
Kenth Eldebrink,Bronze,1984,1955,M
Tapio Korjus,Gold,1988,1961,M
Jan Železný,Silver,1988,1966,M
Seppo Räty,Bronze,1988,1962,M
Jan Železný,Gold,1992,1966,M
Seppo Räty,Silver,1992,1962,M
Steve Backley,Bronze,1992,1969,M
Jan Železný,Gold,1996,1966,M
Steve Backley,Silver,1996,1969,M
Seppo Räty,Bronze,1996,1962,M
Jan Železný,Gold,2000,1966,M
Steve Backley,Silver,2000,1969,M
Sergey Makarov,Bronze,2000,1973,M
Andreas Thorkildsen,Gold,2004,1982,M
Vadims Vasiļevskis,Silver,2004,1982,M
Sergey Makarov,Bronze,2004,1973,M
Andreas Thorkildsen,Gold,2008,1982,M
Ainārs Kovals,Silver,2008,1981,M
Tero Pitkämäki,Bronze,2008,1982,M
Keshorn Walcott,Gold,2012,1993,M
Antti Ruuskanen,Silver,2012,1984,M
Vítězslav Veselý,Bronze,2012,1983,M
Thomas Röhler,Gold,2016,1991,M
Julius Yego,Silver,2016,1989,M
Keshorn Walcott,Bronze,2016,1993,M
Neeraj Chopra,Gold,2020,1997,M
Jakub Vadlejch,Silver,2020,1990,M
Vítězslav Veselý,Bronze,2020,1983,M
Arshad Nadeem,Gold,2024,1997,M
Neeraj Chopra,Silver,2024,1997,M
Anderson Peters,Bronze,2024,1997,M
Babe Didrikson,Gold,1932,1911,F
Ellen Braumüller,Silver,1932,1910,F
Tilly Fleischer,Bronze,1932,1911,F
Tilly Fleischer,Gold,1936,1911,F
Luise Krüger,Silver,1936,1915,F
Maria Kwaśniewska,Bronze,1936,1913,F
Herma Bauma,Gold,1948,1915,F
Kaisa Parviainen,Silver,1948,1914,F
Lily Carlstedt,Bronze,1948,1926,F
Dana Zátopková,Gold,1952,1922,F
Aleksandra Chudina,Silver,1952,1923,F
Yelena Gorchakova,Bronze,1952,1933,F
Inese Jaunzeme,Gold,1956,1932,F
Marlene Ahrens,Silver,1956,1933,F
Nadezhda Konyayeva,Bronze,1956,1931,F
Elvīra Ozoliņa,Gold,1960,1939,F
Dana Zátopková,Silver,1960,1922,F
Birutė Kalėdienė,Bronze,1960,1934,F
Mihaela Peneș,Gold,1964,1947,F
Márta Rudas,Silver,1964,1937,F
Yelena Gorchakova,Bronze,1964,1933,F
Angéla Németh,Gold,1968,1946,F
Mihaela Peneș,Silver,1968,1947,F
Eva Janko,Bronze,1968,1945,F
Ruth Fuchs,Gold,1972,1946,F
Jacqueline Todten,Silver,1972,1954,F
Kate Schmidt,Bronze,1972,1953,F
Ruth Fuchs,Gold,1976,1946,F
Marion Becker,Silver,1976,1950,F
Kate Schmidt,Bronze,1976,1953,F
María Caridad Colón,Gold,1980,1958,F
Saida Gunba,Silver,1980,1959,F
Ute Hommola,Bronze,1980,1952,F
