player,detail,peak_date,birth_year,gender
Spyridon Louis,gold,1896,1873,M
Charilaos Vasilakos,silver,1896,1875,M
Gyula Kellner,bronze,1896,1871,M
Michel Théato,gold,1900,1878,M
Émile Champion,silver,1900,1879,M
Ernst Fast,bronze,1900,1881,M
Thomas Hicks,gold,1904,1876,M
Albert Corey,silver,1904,1878,M
Arthur Newton,bronze,1904,1883,M
Johnny Hayes,gold,1908,1886,M
Charles Hefferon,silver,1908,1878,M
Joseph Forshaw,bronze,1908,1880,M
Ken McArthur,gold,1912,1881,M
Christian Gitsham,silver,1912,1888,M
Gaston Strobino,bronze,1912,1891,M
Hannes Kolehmainen,gold,1920,1889,M
Jüri Lossmann,silver,1920,1891,M
Valerio Arri,bronze,1920,1892,M
Albin Stenroos,gold,1924,1889,M
Romeo Bertini,silver,1924,1893,M
Clarence DeMar,bronze,1924,1888,M
Boughera El Ouafi,gold,1928,1898,M
Manuel Plaza,silver,1928,1900,M
Martti Marttelin,bronze,1928,1897,M
Juan Carlos Zabala,gold,1932,1911,M
Sam Ferris,silver,1932,1900,M
Armas Toivonen,bronze,1932,1899,M
Sohn Kee-chung,gold,1936,1912,M
Ernest Harper,silver,1936,1902,M
Nam Sung-yong,bronze,1936,1912,M
Delfo Cabrera,gold,1948,1919,M
Tom Richards,silver,1948,1910,M
Étienne Gailly,bronze,1948,1922,M
Emil Zátopek,gold,1952,1922,M
Reinaldo Gorno,silver,1952,1918,M
Gustaf Jansson,bronze,1952,1922,M
Alain Mimoun,gold,1956,1921,M
Franjo Mihalić,silver,1956,1920,M
Veikko Karvonen,bronze,1956,1926,M
Abebe Bikila,gold,1960,1932,M
Rhadi Ben Abdesselam,silver,1960,1929,M
Barry Magee,bronze,1960,1934,M
Abebe Bikila,gold,1964,1932,M
Basil Heatley,silver,1964,1933,M
Kōkichi Tsuburaya,bronze,1964,1940,M
Mamo Wolde,gold,1968,1932,M
Kenji Kimihara,silver,1968,1941,M
Mike Ryan,bronze,1968,1941,M
Frank Shorter,gold,1972,1947,M
Karel Lismont,silver,1972,1949,M
Mamo Wolde,bronze,1972,1932,M
Waldemar Cierpinski,gold,1976,1950,M
Frank Shorter,silver,1976,1947,M
Karel Lismont,bronze,1976,1949,M
Waldemar Cierpinski,gold,1980,1950,M
Gerard Nijboer,silver,1980,1955,M
Satymkul Dzhumanazarov,bronze,1980,1951,M
Carlos Lopes,gold,1984,1947,M
John Treacy,silver,1984,1957,M
Charlie Spedding,bronze,1984,1952,M
Gelindo Bordin,gold,1988,1959,M
Douglas Wakiihuri,silver,1988,1963,M
Ahmed Salah,bronze,1988,1956,M
Hwang Young-cho,gold,1992,1970,M
Kōichi Morishita,silver,1992,1967,M
Stephan Freigang,bronze,1992,1967,M
Josia Thugwane,gold,1996,1971,M
Lee Bong-ju,silver,1996,1970,M
Erick Wainaina,bronze,1996,1973,M
Gezahegne Abera,gold,2000,1978,M
Erick Wainaina,silver,2000,1973,M
Tesfaye Tola,bronze,2000,1974,M
Stefano Baldini,gold,2004,1971,M
Meb Keflezighi,silver,2004,1975,M
Vanderlei de Lima,bronze,2004,1969,M
Samuel Wanjiru,gold,2008,1986,M
Jaouad Gharib,silver,2008,1972,M
Tsegay Kebede,bronze,2008,1987,M
Stephen Kiprotich,gold,2012,1989,M
Abel Kirui,silver,2012,1982,M
Wilson Kipsang Kiprotich,bronze,2012,1982,M
Eliud Kipchoge,gold,2016,1984,M
Feyisa Lelisa,silver,2016,1990,M
Galen Rupp,bronze,2016,1986,M
Eliud Kipchoge,gold,2020,1984,M
Abdi Nageeye,silver,2020,1989,M
Bashir Abdi,bronze,2020,1989,M
Tamirat Tola,gold,2024,1991,M
Bashir Abdi,silver,2024,1989,M
Benson Kipruto,bronze,2024,1991,M
Joan Benoit,gold,1984,1957,F
Grete Waitz,silver,1984,1953,F
Rosa Mota,bronze,1984,1958,F
Rosa Mota,gold,1988,1958,F
Lisa Martin,silver,1988,1960,F
Katrin Dörre,bronze,1988,1961,F
Valentina Yegorova,gold,1992,1964,F
Yuko Arimori,silver,1992,1966,F
Lorraine Moller,bronze,1992,1955,F
Fatuma Roba,gold,1996,1973,F
Valentina Yegorova,silver,1996,1964,F
Yuko Arimori,bronze,1996,1966,F
Naoko Takahashi,gold,2000,1972,F
Lidia Șimon,silver,2000,1973,F
Joyce Chepchumba,bronze,2000,1970,F
Mizuki Noguchi,gold,2004,1978,F
Catherine Ndereba,silver,2004,1972,F
Deena Kastor,bronze,2004,1973,F
Constantina Tomescu,gold,2008,1970,F
Catherine Ndereba,silver,2008,1972,F
Zhou Chunxiu,bronze,2008,1978,F
Tiki Gelana,gold,2012,1987,F
Priscah Jeptoo,silver,2012,1984,F
Tatyana Petrova Arkhipova,bronze,2012,1983,F
Jemima Sumgong,gold,2016,1984,F
Eunice Kirwa,silver,2016,1984,F
Mare Dibaba,bronze,2016,1989,F
Peres Jepchirchir,gold,2020,1993,F
Brigid Kosgei,silver,2020,1994,F
Molly Seidel,bronze,2020,1994,F
Sifan Hassan,gold,2024,1993,F
Tigst Assefa,silver,2024,1996,F
Hellen Obiri,bronze,2024,1989,F
