player,detail,peak_date,birth_year,gender
Fanny Durack,Gold,1912,1889,F
Wilhelmina Wylie,Silver,1912,1891,F
Jennie Fletcher,Bronze,1912,1890,F
Ethelda Bleibtrey,Gold,1920,1902,F
Irene Guest,Silver,1920,1900,F
Frances Schroth,Bronze,1920,1893,F
Ethel Lackie,Gold,1924,1907,F
Mariechen Wehselau,Silver,1924,1906,F
Gertrude Ederle,Bronze,1924,1905,F
Albina Osipowich,Gold,1928,1911,F
Eleanor Garatti,Silver,1928,1909,F
Joyce Cooper,Bronze,1928,1909,F
Helene Madison,Gold,1932,1913,F
Willy den Ouden,Silver,1932,1918,F
Eleanor Saville,Bronze,1932,1909,F
Rie Mastenbroek,Gold,1936,1919,F
Jeannette Campbell,Silver,1936,1916,F
Gisela Arendt,Bronze,1936,1918,F
Greta Andersen,Gold,1948,1927,F
Ann Curtis,Silver,1948,1926,F
Marie-Louise Linssen-Vaessen,Bronze,1948,1928,F
Katalin Szőke,Gold,1952,1935,F
Hannie Termeulen,Silver,1952,1929,F
Judit Temes,Bronze,1952,1930,F
Dawn Fraser,Gold,1956,1937,F
Lorraine Crapp,Silver,1956,1938,F
Faith Leech,Bronze,1956,1941,F
Dawn Fraser,Gold,1960,1937,F
Chris von Saltza,Silver,1960,1944,F
Natalie Steward,Bronze,1960,1943,F
Dawn Fraser,Gold,1964,1937,F
Sharon Stouder,Silver,1964,1948,F
Kathy Ellis,Bronze,1964,1946,F
Jan Henne,Gold,1968,1947,F
Susan Pedersen,Silver,1968,1953,F
Linda Gustavson,Bronze,1968,1949,F
Sandy Neilson,Gold,1972,1956,F
Shirley Babashoff,Silver,1972,1957,F
Shane Gould,Bronze,1972,1956,F
Kornelia Ender,Gold,1976,1958,F
Petra Priemer,Silver,1976,1961,F
Enith Brigitha,Bronze,1976,1955,F
Barbara Krause,Gold,1980,1959,F
Caren Metschuck,Silver,1980,1963,F
Ines Diers,Bronze,1980,1963,F
Nancy Hogshead,Gold,1984,1962,F
Carrie Steinseifer,Gold,1984,1968,F
Annemarie Verstappen,Bronze,1984,1965,F
Kristin Otto,Gold,1988,1966,F
Zhuang Yong,Silver,1988,1972,F
Catherine Plewinski,Bronze,1988,1968,F
Zhuang Yong,Gold,1992,1972,F
Jenny Thompson,Silver,1992,1973,F
Franziska van Almsick,Bronze,1992,1978,F
Le Jingyi,Gold,1996,1975,F
Sandra Völker,Silver,1996,1974,F
Angel Martino,Bronze,1996,1967,F
Inge de Bruijn,Gold,2000,1973,F
Therese Alshammar,Silver,2000,1977,F
Jenny Thompson,Bronze,2000,1973,F
Dara Torres,Bronze,2000,1967,F
Jodie Henry,Gold,2004,1983,F
Inge de Bruijn,Silver,2004,1973,F
Natalie Coughlin,Bronze,2004,1982,F
Britta Steffen,Gold,2008,1983,F
Lisbeth Trickett,Silver,2008,1985,F
Natalie Coughlin,Bronze,2008,1982,F
Ranomi Kromowidjojo,Gold,2012,1990,F
Aliaksandra Herasimenia,Silver,2012,1985,F
Tang Yi,Bronze,2012,1993,F
Simone Manuel,Gold,2016,1996,F
Sarah Sjöström,Bronze,2016,1993,F
Penny Oleksiak,Bronze,2016,2000,F
Emma McKeon,Gold,2020,1994,F
Siobhán Haughey,Silver,2020,1997,F
Cate Campbell,Bronze,2020,1992,F
Sarah Sjöström,Gold,2024,1993,F
Torri Huske,Silver,2024,2002,F
Siobhán Haughey,Bronze,2024,1997,F
Alfréd Hajós,Gold,1896,1878,M
Otto Herschmann,Silver,1896,1877,M
Charles Daniels,Gold,1908,1885,M
Zoltán Halmay,Silver,1908,1881,M
Harald Julin,Bronze,1908,1890,M
Duke Kahanamoku,Gold,1912,1890,M
Cecil Healy,Silver,1912,1881,M
