player,detail,peak_date,birth_year,gender
Kelvin KIPTUM,Marathon,2024,1999,M
Tamirat TOLA,Marathon,2024,1991,M
Benson KIPRUTO,Marathon,2024,1991,M
Sisay LEMMA,Marathon,2024,1990,M
Alexander MUNYAO,Marathon,2024,1996,M
Bashir ABDI,Marathon,2024,1989,M
John KORIR,Marathon,2024,1996,M
CyBrian KOTUT,Marathon,2024,1992,M
Vincent Kipkemoi NGETICH,Marathon,2024,1999,M
Kenenisa BEKELE,Marathon,2024,1982,M
Timothy KIPLAGAT,Marathon,2024,1993,M
Emile CAIRESS,Marathon,2024,1997,M
Eliud KIPCHOGE,Marathon,2024,1984,M
Mohamed ESA,Marathon,2024,2000,M
Tadese TAKELE,Marathon,2024,2002,M
Deresa GELETA,Marathon,2024,1996,M
Joshua BELET,Marathon,2024,1998,M
Evans CHEBET,Marathon,2024,1988,M
Othmane EL GOUMRI,Marathon,2024,1992,M
Amos KIPRUTO,Marathon,2024,1992,M
Gabriel Gerald GEAY,Marathon,2024,1996,M
Brimin KIPKORIR,Marathon,2024,1989,M
Hailemaryam KIROS,Marathon,2024,1997,M
Bethwel KIBET,Marathon,2024,1991,M
Dawit WOLDE,Marathon,2024,1991,M
Stephen KIPROP,Marathon,2024,1999,M
Milkesa MENGESHA,Marathon,2024,2000,M
Jemal MEKONEN,Marathon [Half Marathon],2024,1996,M
Birhanu LEGESE,Marathon,2024,1994,M
Solomon Kirwa YEGO,Marathon,2024,1987,M
Felix KIRWA,Marathon,2024,1995,M
Haymanot ALEW,Marathon,2024,1997,M
Seifu TURA,Marathon,2024,1997,M
Chalu DESO,Marathon,2024,1997,M
Albert KORIR,Marathon,2024,1994,M
Kibiwott KANDIE,Marathon [Half Marathon],2024,1996,M
Alphonce Felix SIMBU,Marathon,2024,1992,M
Philimon Kiptoo KIPCHUMBA,Marathon,2024,1998,M
Abdi NAGEEYE,Marathon,2024,1989,M
Leul GEBRESILASE,Marathon,2024,1992,M
Conner MANTZ,Marathon,2024,1996,M
Ronald KORIR,Marathon,2024,1991,M
Lemi BERHANU,Marathon,2024,1994,M
Tadesse ABRAHAM,Marathon,2024,1982,M
