player,detail,peak_date,birth_year,gender
Jon Jones,Heavyweight,2024,1987,M
Tom Aspinall,Heavyweight,2024,1993,M
Ciryl Gane,Heavyweight,2024,1990,M
Alexander Volkov,Heavyweight,2024,1988,M
Sergei Pavlovich,Heavyweight,2024,1992,M
Curtis Blaydes,Heavyweight,2024,1991,M
Jailton Almeida,Heavyweight,2024,1991,M
Serghei Spivac,Heavyweight,2024,1995,M
Stipe Miocic,Heavyweight,2024,1982,M
Jairzinho Rozenstruik,Heavyweight,2024,1988,M
Marcin Tybura,Heavyweight,2024,1985,M
Derrick Lewis,Heavyweight,2024,1985,M
Tai Tuivasa,Heavyweight,2024,1993,M
Alexander Romanov,Heavyweight,2024,1990,M
Marcos Rogério de Lima,Heavyweight,2024,1985,M
Rodrigo Nascimento,Heavyweight,2024,1992,M
Alex Pereira,Light Heavyweight,2024,1987,M
Jiří Procházka,Light Heavyweight,2024,1992,M
Magomed Ankalaev,Light Heavyweight,2024,1992,M
Jamahal Hill,Light Heavyweight,2024,1991,M
Jan Błachowicz,Light Heavyweight,2024,1983,M
Aleksandar Rakić,Light Heavyweight,2024,1992,M
Volkan Oezdemir,Light Heavyweight,2024,1989,M
Nikita Krylov,Light Heavyweight,2024,1992,M
Khalil Rountree Jr.,Light Heavyweight,2024,1990,M
Johnny Walker,Light Heavyweight,2024,1992,M
Carlos Ulberg,Light Heavyweight,2024,1990,M
Azamat Murzakanov,Light Heavyweight,2024,1989,M
Anthony Smith,Light Heavyweight,2024,1988,M
Dominick Reyes,Light Heavyweight,2024,1989,M
Bogdan Guskov,Light Heavyweight,2024,1990,M
Alonzo Menifield,Light Heavyweight,2024,1987,M
Dricus du Plessis,Middleweight,2024,1994,M
Sean Strickland,Middleweight,2024,1991,M
Israel Adesanya,Middleweight,2024,1989,M
Robert Whittaker,Middleweight,2024,1990,M
Nassourdine Imavov,Middleweight,2024,1995,M
Caio Borralho,Middleweight,2024,1993,M
Marvin Vettori,Middleweight,2024,1993,M
Jared Cannonier,Middleweight,2024,1984,M
Brendan Allen,Middleweight,2024,1995,M
Roman Dolidze,Middleweight,2024,1988,M
Paulo Costa,Middleweight,2024,1991,M
Jack Hermansson,Middleweight,2024,1988,M
Khamzat Chimaev,Middleweight,2024,1994,M
Anthony Hernandez,Middleweight,2024,1993,M
Michel Pereira,Middleweight,2024,1993,M
Chris Curtis,Middleweight,2024,1987,M
Belal Muhammad,Welterweight,2024,1988,M
Leon Edwards,Welterweight,2024,1991,M
Kamaru Usman,Welterweight,2024,1987,M
Shavkat Rakhmonov,Welterweight,2024,1994,M
Jack Della Maddalena,Welterweight,2024,1996,M
Sean Brady,Welterweight,2024,1992,M
Colby Covington,Welterweight,2024,1988,M
