player,detail,peak_date,birth_year,gender
Vasily Alekseyev,Gold,1972,1942,M
Rudolf Mang,Silver,1972,1950,M
Gerd Bonk,Bronze,1972,1951,M
Vasily Alekseyev,Gold,1976,1942,M
Gerd Bonk,Silver,1976,1951,M
Helmut Losch,Bronze,1976,1947,M
Sultan Rakhmanov,Gold,1980,1950,M
Jürgen Heuser,Silver,1980,1953,M
Tadeusz Rutkowski,Bronze,1980,1951,M
Dean Lukin,Gold,1984,1960,M
Mario Martinez,Silver,1984,1957,M
Manfred Nerlinger,Bronze,1984,1960,M
Aleksandr Kurlovich,Gold,1988,1961,M
Manfred Nerlinger,Silver,1988,1960,M
Martin Zawieja,Bronze,1988,1963,M
Aleksandr Kurlovich,Gold,1992,1961,M
Leonid Taranenko,Silver,1992,1956,M
Manfred Nerlinger,Bronze,1992,1960,M
Andrei Chemerkin,Gold,1996,1972,M
Ronny Weller,Silver,1996,1969,M
Stefan Botev,Bronze,1996,1968,M
Hossein Rezazadeh,Gold,2000,1978,M
Ronny Weller,Silver,2000,1969,M
Andrei Chemerkin,Bronze,2000,1972,M
Hossein Rezazadeh,Gold,2004,1978,M
Viktors Ščerbatihs,Silver,2004,1974,M
Velichko Cholakov,Bronze,2004,1982,M
Matthias Steiner,Gold,2008,1982,M
Evgeny Chigishev,Silver,2008,1979,M
Viktors Ščerbatihs,Bronze,2008,1974,M
Behdad Salimi,Gold,2012,1989,M
Sajjad Anoushiravani,Silver,2012,1984,M
Jeon Sang-guen,Bronze,2012,1984,M
Lasha Talakhadze,Gold,2016,1993,M
Gor Minasyan,Silver,2016,1994,M
Irakli Turmanidze,Bronze,2016,1984,M
Lasha Talakhadze,Gold,2020,1993,M
Ali Davoudi,Silver,2020,1999,M
Man Asaad,Bronze,2020,1993,M
Lasha Talakhadze,Gold,2024,1993,M
Varazdat Lalayan,Silver,2024,1999,M
Gor Minasyan,Bronze,2024,1994,M
Ding Meiyuan,Gold,2000,1979,F
Agata Wróbel,Silver,2000,1981,F
Cheryl Haworth,Bronze,2000,1983,F
Tang Gonghong,Gold,2004,1979,F
Jang Mi-ran,Silver,2004,1983,F
Agata Wróbel,Bronze,2004,1981,F
Jang Mi-ran,Gold,2008,1983,F
Ele Opeloge,Silver,2008,1985,F
Mariam Usman,Bronze,2008,1990,F
Zhou Lulu,Gold,2012,1988,F
Tatiana Kashirina,Silver,2012,1991,F
Jang Mi-ran,Bronze,2012,1983,F
Meng Suping,Gold,2016,1989,F
Kim Kuk-hyang,Silver,2016,1993,F
Sarah Robles,Bronze,2016,1988,F
Li Wenwen,Gold,2020,2000,F
Emily Campbell,Silver,2020,1994,F
Sarah Robles,Bronze,2020,1988,F
Li Wenwen,Gold,2024,2000,F
Park Hye-jeong,Silver,2024,2003,F
Emily Campbell,Bronze,2024,1994,F
