country_code,country,population,yearly_change_perc,net_change,density,land_area,migrants,fert_rate,med_age,urban_pop_perc,world_share_perc
IND,India,1450935791,0.89,12866195,488,2973190,"-630,830",2.0,28,37.0,17.78
CHN,China,1419321278,-0.23,-3263655,151,9388211,"-318,992",1.0,40,66.0,17.39
USA,United States,345426571,0.57,1949236,38,9147420,"1,286,132",1.6,38,82.0,4.23
IDN,Indonesia,283487931,0.82,2297864,156,1811570,"-38,469",2.1,30,59.0,3.47
PAK,Pakistan,251269164,1.52,3764669,326,770880,"-1,401,173",3.5,20,34.0,3.08
NGA,Nigeria,232679478,2.1,4796533,255,910770,"-35,202",4.4,18,54.0,2.85
BRA,Brazil,211998573,0.41,857844,25,8358140,"-225,510",1.6,34,91.0,2.6
BGD,Bangladesh,173562364,1.22,2095374,1333,130170,"-473,362",2.1,26,42.0,2.13
RUS,Russia,144820423,-0.43,-620077,9,16376870,"-178,042",1.5,40,75.0,1.77
ETH,Ethiopia,132059767,2.62,3368075,132,1000000,"30,069",3.9,19,22.0,1.62
MEX,Mexico,130861007,0.86,1121248,67,1943950,"-104,581",1.9,29,87.0,1.6
JPN,Japan,123753041,-0.5,-617906,339,364555,"153,357",1.2,49,93.0,1.52
EGY,Egypt,116538258,1.75,2002486,117,995450,"123,884",2.7,24,41.0,1.43
PHL,Philippines,115843670,0.83,952471,389,298170,"-160,373",1.9,26,49.0,1.42
COD,DR Congo,109276265,3.3,3486534,48,2267050,"-26,968",6.0,16,44.0,1.34
VNM,Vietnam,100987686,0.63,635494,326,310070,"-59,645",1.9,33,41.0,1.24
IRN,Iran,91567738,1.06,959031,56,1628550,"190,156",1.7,33,73.0,1.12
TUR,Turkey,87473805,0.23,203304,114,769630,"-275,952",1.6,33,76.0,1.07
DEU,Germany,84552242,0.0,4011,243,348560,"36,954",1.4,45,76.0,1.04
THA,Thailand,71668011,-0.05,-34424,140,510890,"23,321",1.2,40,53.0,0.88
GBR,United Kingdom,69138192,0.66,455230,286,241930,"417,114",1.6,40,84.0,0.85
TZA,Tanzania,68560157,2.92,1942551,77,885800,"-29,865",4.5,17,39.0,0.84
FRA,France,66548530,0.17,109708,122,547557,"90,527",1.6,42,82.0,0.82
ZAF,South Africa,64007187,1.26,794803,53,1213090,"166,972",2.2,28,66.0,0.78
ITA,Italy,59342867,-0.26,-156586,202,294140,"95,246",1.2,48,72.0,0.73
KEN,Kenya,56432944,1.98,1093941,99,569140,"-19,781",3.2,20,31.0,0.69
MMR,Myanmar,54500091,0.68,366293,83,653290,"-37,979",2.1,30,34.0,0.67
COL,Colombia,52886363,1.08,565211,48,1109500,"141,643",1.6,32,81.0,0.65
KOR,South Korea,51717590,-0.06,-31149,532,97230,"75,963",0.7,45,82.0,0.63
SDN,Sudan,50448963,0.81,406172,29,1765048,"-544,257",4.3,18,35.0,0.62
UGA,Uganda,50015092,2.79,1358491,250,199810,"-117,924",4.2,17,29.0,0.61
ESP,Spain,47910526,0.0,-1053,96,498800,"111,674",1.2,45,79.0,0.59
DZA,Algeria,46814308,1.41,650089,20,2381740,"-31,240",2.7,28,74.0,0.57
IRQ,Iraq,46042015,2.15,967966,106,434320,"-17,735",3.2,21,72.0,0.56
ARG,Argentina,45696159,0.35,157758,17,2736690,"3,454",1.5,33,95.0,0.56
AFG,Afghanistan,42647492,2.88,1192731,65,652860,"-44,089",4.8,17,27.0,0.52
YEM,Yemen,40583164,3.03,1192365,77,527970,"-10,482",4.5,18,33.0,0.5
CAN,Canada,39742430,1.13,443325,4,9093510,"368,599",1.3,40,80.0,0.49
POL,Poland,38539201,-0.58,-223643,126,306230,"-238,062",1.3,42,59.0,0.47
MAR,Morocco,38081173,0.98,368668,85,446300,"-46,802",2.2,30,67.0,0.47
AGO,Angola,37885849,3.09,1135943,30,1246700,"-2,629",5.0,17,68.0,0.46
UKR,Ukraine,37860221,0.34,127385,65,579320,"1,146,012",1.0,42,79.0,0.46
UZB,Uzbekistan,36361859,1.99,709552,85,425400,"-7,066",3.5,27,48.0,0.45
MYS,Malaysia,35557673,1.23,431375,108,328550,"174,770",1.5,31,77.0,0.44
MOZ,Mozambique,34631766,2.96,996606,44,786380,"-38,940",4.7,16,41.0,0.42
GHA,Ghana,34427414,1.89,639500,151,227540,"-13,114",3.3,21,58.0,0.42
PER,Peru,34217848,1.1,372231,27,1280000,"18,406",2.0,30,80.0,0.42
SAU,Saudi Arabia,33962757,2.1,698465,16,2149690,"122,170",2.3,30,92.0,0.42
MDG,Madagascar,31964956,2.47,769024,55,581795,"-1,795",3.9,19,40.0,0.39
CIV,Côte d'Ivoire,31934230,2.47,768576,100,318000,"7,838",4.2,18,49.0,0.39
NPL,Nepal,29651054,-0.15,-43560,207,143350,"-401,282",2.0,25,24.0,0.36
CMR,Cameroon,29123744,2.65,751057,62,472710,"-13,892",4.3,18,59.0,0.36
VEN,Venezuela,28405543,0.37,104689,32,882050,"-105,297",2.1,29,,0.35
NER,Niger,27032412,3.34,872545,21,1266700,"-4,041",5.9,15,18.0,0.33
AUS,Australia,26713205,0.99,262081,3,7682300,"138,510",1.6,38,86.0,0.33
PRK,North Korea,26498823,0.31,80619,220,120410,"-2,473",1.8,36,63.0,0.32
SYR,Syria,24672760,4.57,1078137,134,183630,"546,494",2.7,23,53.0,0.3
MLI,Mali,24478595,2.98,709468,20,1220190,"-46,880",5.5,16,44.0,0.3
BFA,Burkina Faso,23548781,2.27,523005,86,273600,"-25,807",4.1,17,33.0,0.29
TWN,Taiwan,23213962,-0.44,-103183,656,35410,"-25,832",0.9,44,83.0,0.28
LKA,Sri Lanka,23103565,0.57,131948,368,62710,"-27,245",2.0,33,18.0,0.28
MWI,Malawi,21655286,2.61,550804,230,94280,"-1,507",3.6,18,19.0,0.27
ZMB,Zambia,21314956,2.85,590991,29,743390,"7,381",4.0,18,46.0,0.26
KAZ,Kazakhstan,20592571,1.29,262467,8,2699700,"-7,368",3.0,30,55.0,0.25
TCD,Chad,20299123,5.07,980059,16,1259200,"204,040",6.0,16,22.0,0.25
CHL,Chile,19764771,0.54,105936,27,743532,"58,316",1.1,36,85.0,0.24
ROU,Romania,19015088,-0.54,-103391,83,230170,"-28,466",1.7,43,55.0,0.23
SOM,Somalia,19009151,3.54,650536,30,627340,"26,859",6.0,16,46.0,0.23
SEN,Senegal,18501984,2.35,424411,96,192530,"-10,307",3.8,19,52.0,0.23
GTM,Guatemala,18406359,1.55,281521,172,107160,"-7,725",2.3,23,56.0,0.23
NLD,Netherlands,18228742,0.75,136218,541,33720,"121,628",1.4,41,89.0,0.22
ECU,Ecuador,18135478,0.86,155395,73,248360,"-19,704",1.8,29,65.0,0.22
KHM,Cambodia,17638801,1.23,214921,100,176520,"-32,960",2.5,26,26.0,0.22
