year,first,second,third,fourth,fifth
1952,FIN,USA,GRC,HKG,DEU
1953,FRA,USA,JPN,MEX,AUS
1954,USA,BRA,HKG,DEU,SWE
1955,SWE,SLV,LKA,DEU,JPN
1956,USA,DEU,SWE,GBR,ITA
1957,PER,BRA,GBR,CUB,DEU
1958,COL,BRA,USA,USA,POL
1959,JPN,NOR,USA,GBR,BRA
1960,USA,ITA,AUT,ZAF,ESP
1961,DEU,GBR,ARG,GBR,USA
1962,ARG,ISL,FIN,TWN,BRA
1963,BRA,DNK,IRL,PHL,KOR
1964,GRC,GBR,ISR,SWE,TWN
1965,THA,FIN,USA,SWE,NLD
1966,SWE,FIN,THA,IND,ISR
1967,USA,VEN,GBR,FIN,ISR
1968,BRA,CUW,FIN,VEN,USA
1969,PHL,FIN,AUS,ISR,JPN
1970,PRI,USA,AUS,JPN,ARG
1971,LBN,AUS,FIN,PRI,BRA
1972,AUS,BRA,VEN,ISR,GBR
1973,PHL,USA,NOR,ESP,ISR
1974,ESP,GBR,FIN,COL,ABW
1975,FIN,HTI,USA,SWE,PHL
1976,ISR,VEN,GBR,GBR,AUS
1977,TTO,AUT,GBR,COL,DEU
1978,ZAF,USA,ESP,COL,SWE
1979,VEN,BMU,GBR,BRA,SWE
1980,USA,GBR,NZL,PHL,SWE
1981,VEN,CAN,SWE,BRA,BEL
1982,CAN,GUM,ITA,GRC,USA
1983,NZL,USA,IRL,CHN,GBR
1984,SWE,ZAF,VEN,PHL,COL
1985,PRI,ESP,COD,VEN,URY
1986,VEN,USA,COL,POL,FIN
1987,CHL,ITA,USA,VEN,PRI
1988,THA,KOR,MEX,JPN,HKG
1989,NLD,SWE,USA,POL,MEX
1990,NOR,USA,COL,,,
1991,MEX,NLD,RUS,,,
1992,NAM,COL,IND,,,
1993,PRI,COL,VEN,,,
1994,IND,COL,VEN,,,
1995,USA,IND,CAN,,,
1996,VEN,ABW,FIN,,,
1997,USA,VEN,TTO,,,
1998,TTO,VEN,PRI,,,
1999,BWA,PHL,ESP,,,
2000,IND,VEN,ESP,,,
2001,PRI,GRC,USA,VEN,IND
2002,RUS,PAN,CHN,ZAF,VEN
2003,DOM,VEN,ZAF,SRB,JPN
2004,AUS,USA,PRI,PRY,TTO
2005,CAN,PRI,DOM,MEX,VEN
2006,PRI,JPN,CHN,PRY,USA
2007,JPN,BRA,VEN,KOR,USA
2008,VEN,COL,DOM,RUS,MEX
2009,VEN,DOM,XKX,AUS,PRI
2010,MEX,JAM,AUS,UKR,PHL
2011,AGO,UKR,BRA,PHL,CHN
2012,USA,PHL,VEN,AUS,BRA
2013,VEN,ESP,ECU,PHL,BRA
2014,COL,USA,UKR,NLD,JAM
2015,PHL,COL,USA,,,
2016,FRA,HTI,COL,,,
2017,ZAF,COL,JAM,,,
2018,PHL,ZAF,VEN,,,
2019,ZAF,PRI,MEX,,,
2020,MEX,BRA,PER,IND,DOM
2021,IND,PRY,ZAF,,,
2022,USA,VEN,DOM,,,
2023,NIC,THA,AUS,,,
2024,DNK,NGA,MEX,THA,VEN
