rank,model,num_followers (MM),nationality,ethnicity
1,Kendall Jenner,290.7,American,Caucasian
2,Gigi Hadid,77.8,American,Mixed
3,Georgina Rodriguez,64.4,Spanish,Hispanic
4,Bella Hadid,61.6,American,Mixed
5,Hailey Bieber,53.9,American,Caucasian
6,Chrissy Teigen,42.1,American,Mixed
7,Cara Delevingne,41.1,British,Caucasian
8,Emily Ratajkowski,29.7,American,Mixed
9,Taylor Hill,24.1,American,Caucasian
10,Irina Shayk,23.8,Russian,Caucasian
11,Gisele Bündchen,23.3,Brazilian,Caucasian
12,Ashley Graham,21.5,American,Caucasian
13,Barbara Palvin,21.1,Hungarian,Caucasian
14,Lena Mantler,20.9,German,Caucasian
15,Rosie Huntington Whiteley,20.5,British,Caucasian
16,Candice Swanepoel,20.3,South African,Caucasian
17,Adriana Lima,19.8,Brazilian,Mixed
18,Snejana Onopka,16.3,Ukrainian,Caucasian
19,Naomi Campbell,15.9,British,Black
20,Miranda Kerr,14.5,Australian,Caucasian
21,Karlie Kloss,12.5,American,Caucasian
22,Heidi Klum,12.4,German,Caucasian
23,Alessandra Ambrosio,12.3,Brazilian,Caucasian
24,Winnie Harlow,10.2,Canadian,Black
25,Kaia Gerber,10.0,American,Caucasian
26,Behati Prinsloo,9.3,Namibian,Caucasian
27,Stella Maxwell,9.3,British,Caucasian
28,Doutzen Kroes,8.7,Dutch,Caucasian
29,Elsa Hosk,8.7,Swedish,Caucasian
30,Josephine Skriver,8.7,Danish,Caucasian
31,Sara Sampaio,8.6,Portuguese,Caucasian
32,Cindy Crawford,8.3,American,Caucasian
33,Romee Strijd,8.2,Dutch,Caucasian
34,Kiko Mizuhara,7.8,Japanese-Korean,Asian
35,Jasmine Tookes,7.5,American,Black
36,Tyra Banks,7.3,American,Black
37,Thylane Blondeau,7.1,French,Caucasian
38,Lily Aldridge,6.9,American,Caucasian
39,Kate Upton,6.6,American,Caucasian
40,Haley Kalil,6.3,American,Caucasian
41,Jasmine Sanders,6.2,German-American,Mixed
42,Liu Wen,6.1,Chinese,Asian
43,Joan Smalls,6.0,Puerto Rican,Black
44,Alana Monteiro,5.7,American,Black
45,Iskra Lawrence,5.4,British,Caucasian
46,Toni Garrn,5.2,German,Caucasian
47,Devon Windsor,4.8,American,Caucasian
48,Izabel Goulart,4.4,Brazilian,Caucasian
49,Steph Adams,4.3,Australian,Caucasian
50,Natalia Vodianova,4.2,Russian,Caucasian
51,Meadow Walker,4.1,American,Caucasian
52,Jourdan Dunn,4.0,British,Black
53,Alina Baikova,3.9,Ukrainian,Caucasian
54,Bar Refaeli,3.8,Israeli,Caucasian
55,Chanel Iman,3.6,American,Mixed
56,Barbie,3.6,Global,Mixed
57,Meredith Mickelson,3.6,American,Caucasian
58,Koki,3.5,Japanese,Asian
59,Shanina Shaik,3.5,Australian,Mixed
60,Maria Borges,3.4,Angolan,Black
61,Lais Ribeiro,3.3,Brazilian,Black
62,Martha Hunt,3.0,American,Caucasian
63,Natalia Bryant,3.0,American,Black
64,Emily DiDonato,2.9,American,Caucasian
65,Irene Kim,2.9,South Korean,Asian
66,Poppy Delevingne,2.8,British,Caucasian
67,Nina Daniele,2.7,American,Caucasian
68,Tess Holliday,2.6,American,Caucasian
69,Victoria Brito,2.4,Brazilian,Black
70,Claudia Schiffer,2.4,German,Caucasian
71,Charlotte McKinney,2.3,American,Caucasian
72,Olivia Arben,2.2,British,Caucasian
73,Lily Donaldson,2.2,British,Caucasian
74,Elena Kosmina,2.2,Ukrainian,Caucasian
75,Coco Rocha,2.1,Canadian,Caucasian
76,Kelsey Merritt,2.1,Filipino,Asian
77,Delilah Belle,2.0,American,Caucasian
78,Anok Yai,2.0,Sudanese-American,Black
79,Flaviana Matata,2.0,Tanzanian,Black
80,Nina Agdal,1.9,Danish,Caucasian
81,Ann-Sophie Thieme,1.9,German,Caucasian
82,Ming Xi,1.9,Chinese,Asian
83,Leni Klum,1.9,German-American,Caucasian
84,Adwoa Aboah,1.9,British,Mixed
85,Adut Akech,1.9,South Sudanese-Australian,Black
86,Vittoria Ceretti,1.9,Italian,Caucasian
87,Cindy Bruna,1.8,French,Black
88,Imaan Hammam,1.8,Dutch,Mixed
89,Lorena Rae,1.8,German,Caucasian
90,Ines Trocchia,1.7,Italian,Caucasian
91,Kate Moss,1.7,British,Caucasian
92,Grace Elizabeth,1.7,American,Caucasian
93,Anja Rubik,1.7,Polish,Caucasian
94,Samantha Hoopes,1.7,American,Caucasian
95,Kelly Gale,1.7,Swedish,Mixed
96,Amelia Gray,1.7,American,Caucasian
97,Sui He,1.6,Chinese,Asian
98,Bianca Balti,1.6,Italian,Caucasian
99,Linda Evangelista,1.6,Canadian,Caucasian
100,Christy Turlington,1.5,American,Caucasian
101,Zinnia Kumar,1.5,Australian,Asian
102,Brooks Nader,1.5,American,Caucasian
103,Alex Consani,1.5,American,Caucasian
104,Maye Musk,1.5,Canadian-South African,Caucasian
105,Georgia Fowler,1.5,New Zealander,Caucasian
106,Zarina Yeva,1.5,Kazakh,Caucasian
107,Deva Cassel,1.4,Italian,Caucasian
108,Tina Kunakey di Vita,1.4,French,Mixed
109,Hikari Mori,1.4,Japanese,Asian
110,Yael Shelbia,1.4,Israeli,Caucasian
111,Devon Aoki,1.4,American-Japanese,Mixed
112,Georgia May Jagger,1.4,British,Caucasian
113,Cindy Mello,1.4,Brazilian,Caucasian
114,Ellen Milgrau,1.4,Brazilian,Caucasian
115,Isabeli Fontana,1.4,Brazilian,Caucasian
116,Gizele Oliveira,1.4,Brazilian,Caucasian
117,Kira Dikhtyar,1.3,Russian,Caucasian
118,Myriem Boukadida,1.3,Tunisian,Arab
119,Halima Aden,1.3,Somali-American,Black
120,Ines Rau,1.3,French,Black
121,Natasha Poly,1.3,Russian,Caucasian
122,Anne Vyalitsyna,1.3,Russian,Caucasian
123,Josie Canseco,1.2,American,Caucasian
124,Duckie Thot,1.2,Australian,Black
125,Catrinel Marlon,1.2,Romanian,Caucasian
126,Paulina Porizkova,1.2,Czech-American,Caucasian
127,Caroline de Maigret,1.2,French,Caucasian
128,Aneta Mlcakova,1.2,Czech,Caucasian
129,Theolanda Franco,1.2,Brazilian,Black
130,Pritika Swarup,1.2,Indian-American,Asian
131,Carla Bruni,1.2,French-Italian,Caucasian
132,Helena Christensen,1.2,Danish-Peruvian,Mixed
133,Cintia Dicker,1.2,Brazilian,Mixed
134,Rose Bertram,1.1,Belgian,Mixed
135,Karolina Kurkova,1.1,Czech,Caucasian
136,Eden Fines,1.1,Israeli,Caucasian
137,Frida Aasen,1.1,Norwegian,Caucasian
138,Rhay Polster,1.1,Brazilian,Caucasian
139,Erin Heatherton,1.1,American,Caucasian
140,Aketch Joy Winnie,1.1,South Sudanese,Black
141,Ai Tominaga,1.1,Japanese,Asian
142,Camille Kostek,1.1,American,Caucasian
143,Constance Jablonski,1.1,French,Caucasian
144,Elvira Jain,1.0,Russian,Caucasian
145,Daria Konovalova,1.0,Russian,Caucasian
146,Lindsay Ellingson,1.0,American,Caucasian
147,Xiao Wen Ju,1.0,Chinese,Asian
148,Eunice Olumide,1.0,British-Nigerian,Mixed
149,Charlotte D'Alessio,1.0,Canadian,Caucasian
150,Madisin Rian,1.0,American,Black
