sex,age_group,year,suicide_rate
Males,15-19,1907,3.3
Males,20-24,1907,9.1
Males,25-29,1907,18.3
Males,30-34,1907,18.7
Males,35-39,1907,24.2
Males,40-44,1907,36.2
Males,45-49,1907,47.4
Males,50-54,1907,41.2
Males,55-59,1907,46.4
Males,60-64,1907,58.5
Males,65-69,1907,42.7
Males,70-74,1907,57.2
Males,75-79,1907,60.8
Males,80-84,1907,90.4
Males,85+,1907,67.8
Females,15-19,1907,1.9
Females,20-24,1907,6.4
Females,25-29,1907,4.0
Females,30-34,1907,8.6
Females,35-39,1907,4.5
Females,40-44,1907,2.6
Females,45-49,1907,8.7
Females,50-54,1907,5.5
Females,55-59,1907,7.7
Females,60-64,1907,12.1
Females,65-69,1907,11.7
Females,70-74,1907,0.0
Females,75-79,1907,21.7
Females,80-84,1907,15.0
Females,85+,1907,0.0
Males,15-19,1908,3.7
Males,20-24,1908,13.6
Males,25-29,1908,13.7
Males,30-34,1908,22.1
Males,35-39,1908,28.1
Males,40-44,1908,41.4
Males,45-49,1908,41.5
Males,50-54,1908,45.6
Males,55-59,1908,57.0
Males,60-64,1908,57.9
Males,65-69,1908,60.1
Males,70-74,1908,46.0
Males,75-79,1908,29.3
Males,80-84,1908,24.9
Males,85+,1908,0.0
Females,15-19,1908,4.7
Females,20-24,1908,6.8
Females,25-29,1908,6.1
Females,30-34,1908,3.9
Females,35-39,1908,8.2
Females,40-44,1908,10.3
Females,45-49,1908,7.3
Females,50-54,1908,7.9
Females,55-59,1908,9.4
Females,60-64,1908,2.4
Females,65-69,1908,2.9
Females,70-74,1908,0.0
Females,75-79,1908,0.0
Females,80-84,1908,0.0
Females,85+,1908,0.0
Males,15-19,1909,4.5
Males,20-24,1909,11.0
Males,25-29,1909,16.5
Males,30-34,1909,27.2
Males,35-39,1909,23.5
Males,40-44,1909,35.9
Males,45-49,1909,40.0
Males,50-54,1909,33.8
Males,55-59,1909,51.0
Males,60-64,1909,47.4
Males,65-69,1909,64.8
Males,70-74,1909,41.9
Males,75-79,1909,22.6
Males,80-84,1909,72.3
Males,85+,1909,62.6
Females,15-19,1909,5.5
Females,20-24,1909,5.7
Females,25-29,1909,6.0
Females,30-34,1909,7.7
Females,35-39,1909,11.7
Females,40-44,1909,7.5
Females,45-49,1909,13.9
Females,50-54,1909,7.6
Females,55-59,1909,0.0
Females,60-64,1909,7.0
Females,65-69,1909,0.0
Females,70-74,1909,8.1
Females,75-79,1909,0.0
Females,80-84,1909,0.0
Females,85+,1909,0.0
Males,15-19,1910,2.7
Males,20-24,1910,10.7
Males,25-29,1910,17.2
Males,30-34,1910,24.0
Males,35-39,1910,29.4
Males,40-44,1910,41.0
Males,45-49,1910,44.0
Males,50-54,1910,46.8
Males,55-59,1910,53.8
Males,60-64,1910,72.3
Males,65-69,1910,42.2
Males,70-74,1910,31.1
Males,75-79,1910,27.3
Males,80-84,1910,46.6
Males,85+,1910,90.4
Females,15-19,1910,3.6
Females,20-24,1910,4.6
Females,25-29,1910,5.4
Females,30-34,1910,4.4
Females,35-39,1910,5.8
Females,40-44,1910,3.3
Females,45-49,1910,8.6
Females,50-54,1910,17.1
Females,55-59,1910,8.9
Females,60-64,1910,4.6
Females,65-69,1910,5.5
Females,70-74,1910,7.9
Females,75-79,1910,0.0
Females,80-84,1910,0.0
Females,85+,1910,0.0
Males,15-19,1911,3.1
Males,20-24,1911,13.1
Males,25-29,1911,20.9
Males,30-34,1911,26.7
Males,35-39,1911,34.7
Males,40-44,1911,37.7
Males,45-49,1911,41.8
Males,50-54,1911,47.8
Males,55-59,1911,52.4
Males,60-64,1911,56.0
Males,65-69,1911,39.5
Males,70-74,1911,23.9
Males,75-79,1911,42.2
Males,80-84,1911,56.4
Males,85+,1911,29.0
Females,15-19,1911,2.7
Females,20-24,1911,4.1
Females,25-29,1911,5.8
Females,30-34,1911,11.8
Females,35-39,1911,10.0
Females,40-44,1911,8.8
Females,45-49,1911,10.1
Females,50-54,1911,5.9
Females,55-59,1911,8.7
Females,60-64,1911,2.3
Females,65-69,1911,5.4
Females,70-74,1911,7.6
Females,75-79,1911,6.0
Females,80-84,1911,0.0
Females,85+,1911,0.0
Males,15-19,1912,5.2
Males,20-24,1912,16.2
Males,25-29,1912,21.6
Males,30-34,1912,31.5
Males,35-39,1912,38.7
Males,40-44,1912,43.8
Males,45-49,1912,45.1
Males,50-54,1912,55.6
Males,55-59,1912,61.0
Males,60-64,1912,35.9
Males,65-69,1912,54.5
Males,70-74,1912,33.7
Males,75-79,1912,36.8
