Country,gdp_per_capita,Continent,is_west,Flag,Population
Luxembourg,135321.0,Europe,True,🇱🇺,645397
Switzerland,106098.0,Europe,True,🇨🇭,8758971
Ireland,103500.0,Europe,True,🇮🇪,5093520
Norway,90434.0,Europe,True,🇳🇴,5432701
Singapore,89370.0,Asia,False,🇸🇬,5847649
United States,86601.0,North America,True,🇺🇸,332403650
Iceland,85787.0,Europe,True,🇮🇸,375318
Macau,77186.0,Asia,False,🇲🇴,682100
Qatar,71568.0,Asia,False,🇶🇦,2889287
Denmark,69273.0,Europe,True,🇩🇰,5860707
Netherlands,67984.0,Europe,True,🇳🇱,17665602
Australia,65966.0,Oceania,True,🇦🇺,26160180
San Marino,59841.0,Europe,True,🇸🇲,34471
Austria,58669.0,Europe,True,🇦🇹,9093950
Sweden,57213.0,Europe,True,🇸🇪,10468138
Belgium,56129.0,Europe,True,🇧🇪,11592625
Germany,55521.0,Europe,True,🇩🇪,83149300
Finland,54774.0,Europe,True,🇫🇮,5536190
Canada,53834.0,North America,True,🇨🇦,38418619
Hong Kong,53165.0,Asia,False,🇭🇰,7431021
Israel,53111.0,Asia,True,🇮🇱,9845500
United Kingdom,52423.0,Europe,True,🇬🇧,67322169
United Arab Emirates,49550.0,Asia,False,🇦🇪,9948395
France,48012.0,Europe,True,🇫🇷,65468855
New Zealand,47072.0,Oceania,True,🇳🇿,5254610
Andorra,45279.0,Europe,True,🇦🇩,79245
Malta,44140.0,Europe,True,🇲🇹,535800
European Union,43350.0,Europe,True,🇪🇺,447730000
Italy,40287.0,Europe,True,🇮🇹,58871980
Aruba,39697.0,North America,True,🇦🇼,107609
Puerto Rico,37926.0,North America,True,🇵🇷,3193694
Cyprus,37767.0,Asia,True,🇨🇾,1208045
Bahamas,36322.0,North America,True,🇧🇸,409984
South Korea,36132.0,Asia,False,🇰🇷,51835351
Spain,35789.0,Europe,True,🇪🇸,47423841
Brunei,34872.0,Asia,False,🇧🇳,445439
Slovenia,34544.0,Europe,True,🇸🇮,2117726
Taiwan,33234.0,Asia,False,🇹🇼,23894238
Saudi Arabia,32881.0,Asia,False,🇸🇦,35837747
Japan,32859.0,Asia,False,🇯🇵,124214719
Kuwait,32290.0,Asia,False,🇰🇼,4573532
Estonia,31531.0,Europe,True,🇪🇪,1327579
Czech Republic,31366.0,Europe,True,🇨🇿,10693939
Bahrain,29573.0,Asia,False,🇧🇭,1518412
Portugal,29341.0,Europe,True,🇵🇹,10287999
Guyana,28921.0,South America,False,🇬🇾,800584
Lithuania,28713.0,Europe,True,🇱🇹,2607287
Slovakia,26290.0,Europe,True,🇸🇰,5442288
Barbados,24759.0,North America,True,🇧🇧,281197
Greece,24342.0,Europe,True,🇬🇷,10228183
Latvia,24223.0,Europe,True,🇱🇻,1830145
Saint Kitts and Nevis,24203.0,North America,True,🇰🇳,47800
Hungary,23881.0,Europe,True,🇭🇺,9750440
Poland,23563.0,Europe,True,🇵🇱,37779798
