Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989
Afghanistan,,,,,,,,,,
Albania,728,818,825,816,788,789,856,832,805,861
Algeria,2462,2502,2447,2514,2640,2989,2929,2936,2327,2309
Andorra,,,,,,,,,,
Angola,1055,962,937,952,983,1074,978,1090,1151,1303
Antigua and Barbuda,1935,2200,2479,2794,3260,3849,4730,5612,6756,7544
Argentina,8361,6671,3258,3963,4375,3249,3857,3910,4524,2867
Armenia,,,,,,,,,,
Aruba,,,,,,,,,,
Australia,11008,12529,12235,11592,12576,10968,11246,12999,16247,18209
Austria,10732,9281,9268,9417,8883,9091,12886,16093,17633,17548
Azerbaijan,,,,,,,,,,
Bahamas,12292,12496,13749,14962,15630,16801,17854,19330,19688,21819
Bahrain,10623,11531,11699,11590,11638,10615,8023,8391,10011,10079
Bangladesh,311,322,294,277,303,318,318,339,356,378
Barbados,4156,4558,4748,5027,5465,5703,6242,6851,7261,8007
Belarus,,,,,,,,,,
Belgium,12529,10366,9129,8626,8245,8569,11874,14740,16009,16098
Belize,1485,1544,1515,1553,1687,1628,1724,1964,2276,2557
Benin,614,401,386,331,342,359,448,519,528,476
Bhutan,324,341,350,369,373,375,411,481,534,520
Bolivia,696,616,669,620,631,669,641,684,712,716
Bosnia and Herzegovina,,,,,,,,,,
Botswana,1220,1057,1075,1146,1098,985,1289,1948,2439,2628
Brazil,1230,1383,1446,1135,1106,1720,1955,2087,2289,3088
Brunei,,,,,,21771,14544,16561,15281,16683
Bulgaria,4286,4609,4794,4914,5211,4458,3947,4581,7507,7679
Burkina Faso,339,288,262,233,203,219,279,316,340,331
Burundi,232,235,241,248,219,248,253,232,211,213
Cape Verde,569,550,522,494,494,542,685,836,997,1007
Cambodia,,,,,,,27,18,34,41
Cameroon,1005,1106,1032,1012,1042,1060,1345,1514,1494,1293
Canada,11281,12397,12544,13493,13947,14186,14540,16408,19041,20842
Central African Republic,322,325,307,287,273,349,443,478,506,486
Chad,223,258,244,238,249,263,314,345,391,358
